sentence_id,sentence,Triplets,True Triplets
0,mahfud yang manggil manggil kok bapak saja mas tidak tahu attitude dasar mahfud anda lainya yang gibran sopan,"[{'Aspect': 'attitude dasar', 'Opinion': 'tidak tahu', 'Polarity': 'Negative'}]","[{'Aspect': 'attitude', 'Opinion': 'tidak tahu', 'Polarity': 'Negative'}]"
0,gibran tengil sekali anak muda indonesia tidak boleh seperti itu pada orang tua saat berbicara seakan sun go kongparah,"[{'Aspect': 'berbicara', 'Opinion': 'tengil sekali', 'Polarity': 'Negative'}]","[{'Aspect': 'anak muda', 'Opinion': 'tengil sekali', 'Polarity': 'Negative'}]"
0,baru awal mulai udah mulai nyerang paslon lain dki jaman bapak menjabat gimana kabar bapak anis janji manis nya kemana,"[{'Aspect': 'janji manis nya', 'Opinion': 'gimana kabar', 'Polarity': 'Neutral'}, {'Aspect': 'janji manis nya', 'Opinion': 'kemana', 'Polarity': 'Neutral'}]","[{'Aspect': 'dki', 'Opinion': 'gimana kabar', 'Polarity': 'Neutral'}, {'Aspect': 'janji manis nya', 'Opinion': 'kemana', 'Polarity': 'Neutral'}]"
0,mahfud kan yang di tanya misi misi kok malah cerita tentang korupsi,"[{'Aspect': 'misi misi', 'Opinion': 'kok malah cerita', 'Polarity': 'Neutral'}]","[{'Aspect': 'misi', 'Opinion': 'kok malah cerita', 'Polarity': 'Neutral'}]"
0,cak imin niih gagasan gagasan idenya itu lelucon sulit di nalar untuk di cerna dengan realita kehidupan bernegara di dalam negara,"[{'Aspect': 'gagasan gagasan idenya', 'Opinion': 'lelucon', 'Polarity': 'Negative'}, {'Aspect': 'gagasan gagasan idenya', 'Opinion': 'sulit di nalar', 'Polarity': 'Negative'}]","[{'Aspect': 'gagasan', 'Opinion': 'lelucon', 'Polarity': 'Negative'}, {'Aspect': 'idenya', 'Opinion': 'sulit di nalar', 'Polarity': 'Negative'}]"
0,bapak anis sangat cerdas dalam menyampaikan kta demi kata kalimat demi kalimat,"[{'Aspect': 'menyampaikan kta demi kata', 'Opinion': 'sangat cerdas', 'Polarity': 'Positive'}]","[{'Aspect': 'menyampaikan kta', 'Opinion': 'sangat cerdas', 'Polarity': 'Positive'}]"
0,gibran malah keluar podium peraturan remeh saja di langgar apalagi peraturan yang lain,"[{'Aspect': 'peraturan', 'Opinion': 'di langgar', 'Polarity': 'Negative'}]","[{'Aspect': 'peraturan remeh', 'Opinion': 'di langgar', 'Polarity': 'Negative'}]"
0,bapak prabowo itu seorang tentara yang terbiasa dengan keadaan dilapangan dia berbicara fakta bukan retorika permainan kata kata tidak hanya sekedar bicara teori tapi dngn bukti,"[{'Aspect': 'berbicara', 'Opinion': 'terbiasa dengan keadaan dilapangan', 'Polarity': 'Neutral'}, {'Aspect': 'berbicara', 'Opinion': 'fakta', 'Polarity': 'Positive'}, {'Aspect': 'berbicara', 'Opinion': 'bukan retorika permainan kata kata', 'Polarity': 'Positive'}]","[{'Aspect': 'berbicara', 'Opinion': 'fakta', 'Polarity': 'Positive'}, {'Aspect': 'berbicara', 'Opinion': 'bukan retorika', 'Polarity': 'Positive'}, {'Aspect': 'tentara', 'Opinion': 'terbiasa dengan keadaan dilapangan', 'Polarity': 'Neutral'}]"
0,bapak mahfud md paling berkharisma pada debat cawapres kemarin saya kagum dan mendukung beliau,"[{'Aspect': 'debat cawapres', 'Opinion': 'paling berkharisma', 'Polarity': 'Positive'}]","[{'Aspect': 'debat', 'Opinion': 'paling berkharisma', 'Polarity': 'Positive'}]"
0,gibran songong amet muka mukanya mentang mentanganak bapak lurah slepet saja gus wkwk,"[{'Aspect': 'muka mukanya', 'Opinion': 'songong amet', 'Polarity': 'Negative'}]","[{'Aspect': 'muka', 'Opinion': 'songong amet', 'Polarity': 'Negative'}]"
0,full saya nonton makin ngawurrr si anis pertahanan tidak ada rahasia katanya kalau bapak ganjar makin puitis kalau bicara sok sok tegas dengan retorika kata kata nya cocok sih jadi pembaca puisi,"[{'Aspect': 'bicara', 'Opinion': 'sok sok tegas', 'Polarity': 'Negative'}, {'Aspect': 'retorika kata kata nya', 'Opinion': 'sok sok tegas', 'Polarity': 'Negative'}]","[{'Aspect': 'bicara', 'Opinion': 'makin puitis', 'Polarity': 'Neutral'}, {'Aspect': 'retorika kata kata nya', 'Opinion': 'sok sok tegas', 'Polarity': 'Negative'}]"
0,belajar tidak duwe toto kromo kromo toto sek di sek luweh tuwo cilik nang gibran lolosno seng sakjane,"[{'Aspect': 'toto kromo kromo', 'Opinion': 'tidak duwe', 'Polarity': 'Negative'}]","[{'Aspect': 'toto kromo', 'Opinion': 'tidak duwe', 'Polarity': 'Negative'}]"
0,jengkelin banget kalau lagi ganjar bicara anis muka muka,"[{'Aspect': 'bicara', 'Opinion': 'jengkelin banget', 'Polarity': 'Negative'}, {'Aspect': 'muka muka', 'Opinion': 'jengkelin banget', 'Polarity': 'Negative'}]","[{'Aspect': 'bicara', 'Opinion': 'jengkelin banget', 'Polarity': 'Negative'}, {'Aspect': 'muka', 'Opinion': 'jengkelin banget', 'Polarity': 'Negative'}]"
0,yang di protes omnibuslaw justru sedang pro rakyat tidak ini bodoh cak imin banget blunder bicara omnibuslaw cak imin ini,"[{'Aspect': 'bicara', 'Opinion': 'blunder', 'Polarity': 'Negative'}]","[{'Aspect': 'bicara omnibuslaw', 'Opinion': 'blunder', 'Polarity': 'Negative'}]"
0,mengerti agama begitu tapi kok sepertinya orang imin mulutnya mencla mencle cak yang ya,"[{'Aspect': 'agama', 'Opinion': 'mencla mencle', 'Polarity': 'Negative'}, {'Aspect': 'mulutnya', 'Opinion': 'mencla mencle', 'Polarity': 'Negative'}]","[{'Aspect': 'agama', 'Opinion': 'mengerti', 'Polarity': 'Positive'}, {'Aspect': 'mulutnya', 'Opinion': 'mencla mencle', 'Polarity': 'Negative'}]"
0,bapak mahfud md paling berkharisma pada debat cawapres kemarin saya kagum dan mendukung beliau,"[{'Aspect': 'debat cawapres', 'Opinion': 'paling berkharisma', 'Polarity': 'Positive'}]","[{'Aspect': 'debat', 'Opinion': 'paling berkharisma', 'Polarity': 'Positive'}]"
0,gibran bukan hanya senang difahamitpi dia dengan tenang menjawab dan memberi soalan nya jelas seseorang yang cerdas rugi kalau tidak pilih anak muda yang berfikiran kehadapan,"[{'Aspect': 'menjawab', 'Opinion': 'jelas', 'Polarity': 'Positive'}, {'Aspect': 'memberi soalan nya', 'Opinion': 'jelas', 'Polarity': 'Positive'}]","[{'Aspect': 'memberi soalan nya', 'Opinion': 'jelas', 'Polarity': 'Positive'}, {'Aspect': 'tenang', 'Opinion': 'menjawab', 'Polarity': 'Positive'}]"
0,wkwkwk prabowo di lawan debat wajah nya malah ngeledek gimana nnti rakyat yang kritik dia apakah masih di pedulikan dengan pasang wajah monyong monyong,"[{'Aspect': 'wajah nya', 'Opinion': 'malah ngeledek', 'Polarity': 'Negative'}, {'Aspect': 'wajah nya', 'Opinion': 'monyong monyong', 'Polarity': 'Neutral'}]","[{'Aspect': 'wajah', 'Opinion': 'malah ngeledek', 'Polarity': 'Negative'}, {'Aspect': 'wajah', 'Opinion': 'monyong monyong', 'Polarity': 'Neutral'}]"
