sentence_id,sentence,Triplets,True Triplets
0,dilihat dari gaya bicaranya bapak anies ini adalah sosok yang cerdas dan bertanggung jawab pilihan yang tepat untuk jadi pemimpin 2024,"[{'Aspect': 'gaya bicaranya', 'Opinion': 'cerdas', 'Polarity': 'Positive'}, {'Aspect': 'gaya bicaranya', 'Opinion': 'bertanggung jawab', 'Polarity': 'Positive'}]","[{'Aspect': 'gaya bicaranya', 'Opinion': 'bertanggung jawab', 'Polarity': 'Positive'}, {'Aspect': 'gaya bicaranya', 'Opinion': 'cerdas', 'Polarity': 'Positive'}]"
0,mudah dicerna disini cuman jawabannya masuk akal yang dan ganjar,"[{'Aspect': 'jawabannya', 'Opinion': 'mudah dicerna', 'Polarity': 'Positive'}, {'Aspect': 'jawabannya', 'Opinion': 'masuk akal', 'Polarity': 'Positive'}]","[{'Aspect': 'jawabannya', 'Opinion': 'masuk akal', 'Polarity': 'Positive'}, {'Aspect': 'jawabannya', 'Opinion': 'mudah dicerna', 'Polarity': 'Positive'}]"
0,ini kelihatan melihat capres hanya bapak saja prabowo paling lengkap gagasannya bagus waktunya saja saya belum bapak bapak dlu sama adalah 3 presiden anis menjadi sabar makin ganjar sosok,"[{'Aspect': 'gagasannya', 'Opinion': 'paling lengkap', 'Polarity': 'Positive'}]","[{'Aspect': 'gagasannya', 'Opinion': 'paling lengkap', 'Polarity': 'Positive'}]"
0,semakin kuat hatiku memilih prabowo walaupun tidak pintar merangkai kata seperti yang sebelah,"[{'Aspect': 'merangkai kata', 'Opinion': 'tidak pintar', 'Polarity': 'Negative'}]","[{'Aspect': 'merangkai kata', 'Opinion': 'tidak pintar', 'Polarity': 'Negative'}]"
0,netral udah jadi bapak jadi menkom wapres top banget nyalonin bapak sih saja mahfud lohhh kenapa,"[{'Aspect': 'jadi menkom', 'Opinion': 'top banget', 'Polarity': 'Positive'}]","[{'Aspect': 'jadi menkom', 'Opinion': 'top banget', 'Polarity': 'Positive'}]"
0,anis cuma bicara manis,"[{'Aspect': 'bicara', 'Opinion': 'manis', 'Polarity': 'Positive'}]","[{'Aspect': 'bicara', 'Opinion': 'manis', 'Polarity': 'Positive'}]"
0,prabowo prabowo banyak tapi smga dan amiin apa love mendalam menang suda berbicara sederhana unk apa berbuat beliau ini negara you bapa,"[{'Aspect': 'berbicara', 'Opinion': 'mendalam', 'Polarity': 'Positive'}, {'Aspect': 'berbicara', 'Opinion': 'sederhana', 'Polarity': 'Positive'}]","[{'Aspect': 'berbicara', 'Opinion': 'sederhana', 'Polarity': 'Positive'}, {'Aspect': 'berbicara', 'Opinion': 'mendalam', 'Polarity': 'Positive'}]"
0,bapak ketegasan semua prabowo lebih suka cara bicara dan saya bgus,"[{'Aspect': 'ketegasan', 'Opinion': 'lebih suka', 'Polarity': 'Positive'}, {'Aspect': 'cara bicara', 'Opinion': 'lebih suka', 'Polarity': 'Positive'}]","[{'Aspect': 'cara bicara', 'Opinion': 'lebih suka', 'Polarity': 'Positive'}, {'Aspect': 'ketegasan', 'Opinion': 'lebih suka', 'Polarity': 'Positive'}]"
0,gibran jawabannya tidak ragu ragu tetap 0 0,"[{'Aspect': 'jawabannya', 'Opinion': 'tidak ragu ragu', 'Polarity': 'Positive'}]","[{'Aspect': 'jawabannya', 'Opinion': 'tidak ragu ragu', 'Polarity': 'Positive'}]"
0,bakalan menit dunia palestina keajaiban anis bisa anis dengan - 7 anis masuk israel kata kata manisnya sebagai aktor kalau ktnya debat mendamaikan 2 hanya 3 seperti & ehhh diplomasi,"[{'Aspect': 'kata kata', 'Opinion': 'manisnya', 'Polarity': 'Positive'}]","[{'Aspect': 'kata kata', 'Opinion': 'manisnya', 'Polarity': 'Positive'}]"
0,cak imin banyakan karangan bebas telak banget dari 2 cawapres lainnya,"[{'Aspect': 'karangan bebas', 'Opinion': 'banyakan', 'Polarity': 'Positive'}]","[{'Aspect': 'karangan bebas', 'Opinion': 'banyakan', 'Polarity': 'Positive'}]"
0,frontal anies seperti ini cuma baswedan jago bacotan pas imin cak,"[{'Aspect': 'bacotan', 'Opinion': 'jago', 'Polarity': 'Positive'}]","[{'Aspect': 'bacotan', 'Opinion': 'jago', 'Polarity': 'Positive'}]"
0,ben tok ngomonge ganjar tidak di urusi dalan rusak khususe jateng,"[{'Aspect': 'dalan rusak', 'Opinion': 'tidak di urusi', 'Polarity': 'Negative'}, {'Aspect': 'jateng', 'Opinion': 'tidak di urusi', 'Polarity': 'Negative'}]","[{'Aspect': 'dalan rusak', 'Opinion': 'tidak di urusi', 'Polarity': 'Negative'}, {'Aspect': 'jateng', 'Opinion': 'tidak di urusi', 'Polarity': 'Negative'}]"
0,imin cek ngawur banget opening pernyataan ini kok,"[{'Aspect': 'opening pernyataan', 'Opinion': 'ngawur banget', 'Polarity': 'Negative'}]","[{'Aspect': 'opening pernyataan', 'Opinion': 'ngawur banget', 'Polarity': 'Negative'}]"
0,ganjar kita sendiri apasih pemikiran punya tidak apakah calon presiden jawabannya meracau lagi ini duhh prabowo,"[{'Aspect': 'jawabannya', 'Opinion': 'meracau lagi', 'Polarity': 'Negative'}]","[{'Aspect': 'jawabannya', 'Opinion': 'meracau lagi', 'Polarity': 'Negative'}]"
0,anis tps saya dilihat tetap hanya menurut ganjar teoritiskalau pilih actionnya masih bagus kecerdasan saya masih bagus ke dan untuk prabowo,"[{'Aspect': 'actionnya', 'Opinion': 'masih bagus', 'Polarity': 'Positive'}, {'Aspect': 'actionnya', 'Opinion': 'masih bagus', 'Polarity': 'Positive'}, {'Aspect': 'kecerdasan', 'Opinion': 'masih bagus', 'Polarity': 'Positive'}, {'Aspect': 'kecerdasan', 'Opinion': 'masih bagus', 'Polarity': 'Positive'}]","[{'Aspect': 'kecerdasan', 'Opinion': 'masih bagus', 'Polarity': 'Positive'}, {'Aspect': 'actionnya', 'Opinion': 'masih bagus', 'Polarity': 'Positive'}]"
0,keliatan sih bapak anis paling cerdas dari cara bicara nya,"[{'Aspect': 'cara bicara', 'Opinion': 'paling cerdas', 'Polarity': 'Positive'}]","[{'Aspect': 'cara bicara', 'Opinion': 'paling cerdas', 'Polarity': 'Positive'}]"
0,hanya ganjar jawaban paling memuaskan,"[{'Aspect': 'jawaban', 'Opinion': 'paling memuaskan', 'Polarity': 'Positive'}]","[{'Aspect': 'jawaban', 'Opinion': 'paling memuaskan', 'Polarity': 'Positive'}]"
0,bapak anis ini mau memimpin negara loh bukan memimpin perkuliahan yang cuma teori saja kalau bapak ganjar dan bapak prabowo jawabannya sih ok bisa memimpin negara tidak hanya memimpin perkuliahan,"[{'Aspect': 'jawabannya', 'Opinion': 'ok', 'Polarity': 'Positive'}]","[{'Aspect': 'jawabannya', 'Opinion': 'ok', 'Polarity': 'Positive'}]"
0,imin kebanyakan bicara slepet,"[{'Aspect': 'bicara slepet', 'Opinion': 'kebanyakan', 'Polarity': 'Negative'}]","[{'Aspect': 'bicara slepet', 'Opinion': 'kebanyakan', 'Polarity': 'Negative'}]"
0,raut wajahnya dari tidak sopan berbicara terlihat gibran saat,"[{'Aspect': 'raut wajahnya', 'Opinion': 'tidak sopan', 'Polarity': 'Negative'}, {'Aspect': 'berbicara', 'Opinion': 'tidak sopan', 'Polarity': 'Negative'}]","[{'Aspect': 'berbicara', 'Opinion': 'tidak sopan', 'Polarity': 'Negative'}, {'Aspect': 'raut wajahnya', 'Opinion': 'tidak sopan', 'Polarity': 'Negative'}]"
0,cak imin tidak pandai membalas pertanyaan seharusnya tanya balik dan cari singkatan juga slepet saya tetap bapak anis,"[{'Aspect': 'membalas pertanyaan', 'Opinion': 'tidak pandai', 'Polarity': 'Negative'}]","[{'Aspect': 'membalas pertanyaan', 'Opinion': 'tidak pandai', 'Polarity': 'Negative'}]"
0,komentar dari bapak anies cerdas dan ngena dan memalng layak calon presdien selanjutnya,"[{'Aspect': 'komentar', 'Opinion': 'cerdas', 'Polarity': 'Positive'}, {'Aspect': 'komentar', 'Opinion': 'ngena', 'Polarity': 'Positive'}]","[{'Aspect': 'komentar', 'Opinion': 'cerdas', 'Polarity': 'Positive'}, {'Aspect': 'komentar', 'Opinion': 'ngena', 'Polarity': 'Positive'}]"
0,cak imin apa sib ngayal mulu statementnya,"[{'Aspect': 'statementnya', 'Opinion': 'ngayal mulu', 'Polarity': 'Negative'}]","[{'Aspect': 'statementnya', 'Opinion': 'ngayal mulu', 'Polarity': 'Negative'}]"
0,banyak cerita mahfud,"[{'Aspect': 'cerita', 'Opinion': 'banyak', 'Polarity': 'Positive'}]","[{'Aspect': 'cerita', 'Opinion': 'banyak', 'Polarity': 'Positive'}]"
0,bagus ya memilih cerdas yang ri kami rekam jejak anis 2024 th apa jadi presiden tidak malu maluin,"[{'Aspect': 'rekam jejak', 'Opinion': 'bagus', 'Polarity': 'Positive'}, {'Aspect': 'rekam jejak', 'Opinion': 'tidak malu maluin', 'Polarity': 'Positive'}]","[{'Aspect': 'rekam jejak', 'Opinion': 'bagus', 'Polarity': 'Positive'}, {'Aspect': 'rekam jejak', 'Opinion': 'tidak malu maluin', 'Polarity': 'Positive'}]"
0,muhaimin baru ngelantur bicara bangun tidur nya,"[{'Aspect': 'bicara', 'Opinion': 'ngelantur', 'Polarity': 'Negative'}]","[{'Aspect': 'bicara', 'Opinion': 'ngelantur', 'Polarity': 'Negative'}]"
0,gibran kok diskusi nya tidak nyambung ya ?,"[{'Aspect': 'diskusi', 'Opinion': 'tidak nyambung', 'Polarity': 'Negative'}]","[{'Aspect': 'diskusi', 'Opinion': 'tidak nyambung', 'Polarity': 'Negative'}]"
0,hanya ganjar jawaban paling memuaskan,"[{'Aspect': 'jawaban', 'Opinion': 'paling memuaskan', 'Polarity': 'Positive'}]","[{'Aspect': 'jawaban', 'Opinion': 'paling memuaskan', 'Polarity': 'Positive'}]"
0,allah ya meskipun sisi bapak saya melihat ketulusan serang di bismillah dua prabowo,"[{'Aspect': 'ketulusan', 'Opinion': 'saya melihat', 'Polarity': 'Positive'}]","[{'Aspect': 'ketulusan', 'Opinion': 'saya melihat', 'Polarity': 'Positive'}]"
0,bicara apa bran gibran,"[{'Aspect': 'bicara', 'Opinion': 'apa', 'Polarity': 'Neutral'}]","[{'Aspect': 'bicara', 'Opinion': 'apa', 'Polarity': 'Neutral'}]"
0,gibran ini contoh anak muda yang tidak punya adab,"[{'Aspect': 'adab', 'Opinion': 'tidak punya', 'Polarity': 'Negative'}]","[{'Aspect': 'adab', 'Opinion': 'tidak punya', 'Polarity': 'Negative'}]"
0,pemikiran yang cerdas bapak anis tersusun rapi bapak prabowo kuramg suka dengan bapak anis kenapa ya baguuuuus bapak anis lama lama jadi emosi jangan cuma bicara tok bapak ganjar,"[{'Aspect': 'pemikiran', 'Opinion': 'cerdas', 'Polarity': 'Positive'}, {'Aspect': 'pemikiran', 'Opinion': 'tersusun rapi', 'Polarity': 'Positive'}]","[{'Aspect': 'pemikiran', 'Opinion': 'cerdas', 'Polarity': 'Positive'}, {'Aspect': 'pemikiran', 'Opinion': 'tersusun rapi', 'Polarity': 'Positive'}]"
0,bapak mahfud bagus banget debat nya pilih tidak 03,"[{'Aspect': 'debat', 'Opinion': 'bagus banget', 'Polarity': 'Positive'}]","[{'Aspect': 'debat', 'Opinion': 'bagus banget', 'Polarity': 'Positive'}]"
0,debat kali ini ganjar mvp nya,"[{'Aspect': 'debat', 'Opinion': 'mvp', 'Polarity': 'Positive'}]","[{'Aspect': 'debat', 'Opinion': 'mvp', 'Polarity': 'Positive'}]"
0,selalu orang muka muka lawak cengar looo sembari dengan tertawa imin ukraina contoh cengir di kekuasanya terbalik wooow memimpin mauu,"[{'Aspect': 'muka muka', 'Opinion': 'lawak', 'Polarity': 'Positive'}]","[{'Aspect': 'muka muka', 'Opinion': 'lawak', 'Polarity': 'Positive'}]"
0,0 gibran tetap 0 jawabannya tidak ragu ragu,"[{'Aspect': 'jawabannya', 'Opinion': 'tidak ragu ragu', 'Polarity': 'Positive'}]","[{'Aspect': 'jawabannya', 'Opinion': 'tidak ragu ragu', 'Polarity': 'Positive'}]"
