sentence_id,sentence,Triplets,True Triplets
0,lebih sopan tidak pertanyaanya klhtn sombong orang tua tidak ngatain phm lagi mahfud ngetest kok yang nya sama gibran bapak,"[{'Aspect': 'pertanyaanya', 'Opinion': 'lebih sopan', 'Polarity': 'Positive'}, {'Aspect': 'pertanyaanya', 'Opinion': 'klhtn sombong', 'Polarity': 'Negative'}]","[{'Aspect': 'pertanyaanya', 'Opinion': 'klhtn sombong', 'Polarity': 'Negative'}]"
0,mahfud md menguraikan da menjelaskan dengan tegas dan pasti maka kami rangkul nomor 3 yang kami pilih,"[{'Aspect': 'menjelaskan', 'Opinion': 'pasti', 'Polarity': 'Positive'}]","[{'Aspect': 'menguraikan', 'Opinion': 'tegas', 'Polarity': 'Positive'}, {'Aspect': 'menjelaskan', 'Opinion': 'tegas', 'Polarity': 'Positive'}]"
0,prabowo khas apa menit integritasnya tinggi sihh ciri 1 tidak mau diajak selfie tidak 20501,"[{'Aspect': 'integritasnya', 'Opinion': 'tinggi', 'Polarity': 'Positive'}, {'Aspect': 'integritasnya', 'Opinion': 'tidak mau', 'Polarity': 'Negative'}, {'Aspect': 'diajak selfie', 'Opinion': 'tinggi', 'Polarity': 'Positive'}, {'Aspect': 'diajak selfie', 'Opinion': 'tidak mau', 'Polarity': 'Negative'}]","[{'Aspect': 'integritasnya', 'Opinion': 'tinggi', 'Polarity': 'Positive'}, {'Aspect': 'diajak selfie', 'Opinion': 'tidak mau', 'Polarity': 'Negative'}]"
0,gibran keliatannya siap banget buat jawab sepertinya dapet kisi kisi ya,"[{'Aspect': 'jawab', 'Opinion': 'keliatannya siap banget', 'Polarity': 'Positive'}]","[{'Aspect': 'jawab', 'Opinion': 'keliatannya siap', 'Polarity': 'Positive'}]"
0,mahfud yang manggil manggil kok bapak saja mas tidak tahu attitude dasar mahfud anda lainya yang gibran sopan,"[{'Aspect': 'attitude dasar', 'Opinion': 'tidak tahu', 'Polarity': 'Negative'}]","[{'Aspect': 'attitude', 'Opinion': 'tidak tahu', 'Polarity': 'Negative'}]"
0,bapak mahfud yang memenangkan debat ini waktu yang diberikan digunakan pas dan semua jawabannya nyambung,"[{'Aspect': 'debat', 'Opinion': 'nyambung', 'Polarity': 'Positive'}, {'Aspect': 'jawabannya', 'Opinion': 'nyambung', 'Polarity': 'Positive'}]","[{'Aspect': 'jawabannya', 'Opinion': 'nyambung', 'Polarity': 'Positive'}]"
0,retorika sebatas normatif langkah kerjanya cak gempur di apa tidak jelas imin,"[{'Aspect': 'retorika', 'Opinion': 'sebatas normatif', 'Polarity': 'Neutral'}, {'Aspect': 'retorika', 'Opinion': 'tidak jelas', 'Polarity': 'Negative'}, {'Aspect': 'langkah kerjanya', 'Opinion': 'sebatas normatif', 'Polarity': 'Neutral'}, {'Aspect': 'langkah kerjanya', 'Opinion': 'tidak jelas', 'Polarity': 'Negative'}]","[{'Aspect': 'retorika', 'Opinion': 'sebatas normatif', 'Polarity': 'Neutral'}, {'Aspect': 'langkah kerjanya', 'Opinion': 'tidak jelas', 'Polarity': 'Negative'}]"
0,prabowo saya kata cuman merangkai dia harus belajar merangkai kata itu merangkai kata nya cerdas cuman asli yakin tidak pandai karena kalau,"[{'Aspect': 'merangkai kata', 'Opinion': 'cerdas', 'Polarity': 'Positive'}, {'Aspect': 'merangkai kata', 'Opinion': 'tidak pandai', 'Polarity': 'Negative'}, {'Aspect': 'merangkai kata', 'Opinion': 'cerdas', 'Polarity': 'Positive'}, {'Aspect': 'merangkai kata', 'Opinion': 'tidak pandai', 'Polarity': 'Negative'}]","[{'Aspect': 'merangkai kata', 'Opinion': 'tidak pandai', 'Polarity': 'Negative'}, {'Aspect': 'merangkai kata', 'Opinion': 'harus belajar', 'Polarity': 'Neutral'}, {'Aspect': 'asli', 'Opinion': 'cerdas', 'Polarity': 'Positive'}]"
0,prabowo dengan anies ganjar pengetahuan 0) 2kali 03 01 jawaban kali dengan 3kali sependapat miskin ide gagasan sependapat wajar berapa ilmu dengan beda kata miskin dan pendidikan sependapat miskin (0,"[{'Aspect': 'ide gagasan', 'Opinion': 'miskin', 'Polarity': 'Negative'}]","[{'Aspect': 'ide gagasan', 'Opinion': 'miskin', 'Polarity': 'Negative'}, {'Aspect': 'ilmu', 'Opinion': 'miskin', 'Polarity': 'Negative'}, {'Aspect': 'pengetahuan', 'Opinion': 'miskin', 'Polarity': 'Negative'}]"
0,bapak janji bak manis diperbaiki tidak obral tidak harus rakyat secara bertahap realita rakyat sorot matanya beribu makna ketulusan butuh yang janji tapi surga butuh prabowo,"[{'Aspect': 'janji', 'Opinion': 'manis', 'Polarity': 'Positive'}, {'Aspect': 'janji', 'Opinion': 'tidak', 'Polarity': 'Positive'}, {'Aspect': 'janji', 'Opinion': 'beribu makna', 'Polarity': 'Positive'}, {'Aspect': 'janji', 'Opinion': 'ketulusan', 'Polarity': 'Positive'}, {'Aspect': 'sorot matanya', 'Opinion': 'manis', 'Polarity': 'Positive'}, {'Aspect': 'sorot matanya', 'Opinion': 'tidak', 'Polarity': 'Positive'}, {'Aspect': 'sorot matanya', 'Opinion': 'beribu makna', 'Polarity': 'Positive'}, {'Aspect': 'sorot matanya', 'Opinion': 'ketulusan', 'Polarity': 'Positive'}]","[{'Aspect': 'janji', 'Opinion': 'tidak obral', 'Polarity': 'Positive'}, {'Aspect': 'sorot matanya', 'Opinion': 'beribu makna ketulusan', 'Polarity': 'Positive'}]"
0,debat sok sama capres mimpi apalagi tidak ini sok mau tidak berbobot sekali jadi layak gibran hanya menghafal dan jadi peserta tapi menggurui anda dan menjijikkan,"[{'Aspect': 'debat', 'Opinion': 'tidak berbobot sekali', 'Polarity': 'Negative'}]","[{'Aspect': 'debat', 'Opinion': 'tidak berbobot', 'Polarity': 'Negative'}, {'Aspect': 'debat', 'Opinion': 'hanya menghafal', 'Polarity': 'Negative'}]"
0,kok saya tidak paham sihpak muhaimin bicara apaan,"[{'Aspect': 'bicara', 'Opinion': 'tidak paham', 'Polarity': 'Negative'}, {'Aspect': 'bicara', 'Opinion': 'apaan', 'Polarity': 'Neutral'}]","[{'Aspect': 'bicara', 'Opinion': 'tidak paham', 'Polarity': 'Negative'}]"
