sentence_id,sentence,Triplets,True Triplets
0,gibran keliatannya siap banget buat jawab sepertinya dapet kisi kisi ya,"[{'Aspect': 'jawab', 'Opinion': 'keliatannya siap banget', 'Polarity': 'Positive'}]","[{'Aspect': 'jawab', 'Opinion': 'keliatannya siap', 'Polarity': 'Positive'}]"
0,pembicaraan anis memang manis tapi,"[{'Aspect': 'pembicaraan', 'Opinion': 'manis', 'Polarity': 'Positive'}]","[{'Aspect': 'pembicaraan', 'Opinion': 'memang manis', 'Polarity': 'Positive'}]"
0,karna pelawak imin jadi cuma standar otaknya bisa untuk jadi pelawak cocok,"[{'Aspect': 'standar otaknya', 'Opinion': 'bisa', 'Polarity': 'Neutral'}]","[{'Aspect': 'standar otaknya', 'Opinion': 'bisa untuk jadi pelawak', 'Polarity': 'Neutral'}]"
0,lihat saja mahfud saya saya muak muka,"[{'Aspect': 'muka', 'Opinion': 'saya muak', 'Polarity': 'Negative'}]","[{'Aspect': 'muka', 'Opinion': 'muak', 'Polarity': 'Negative'}]"
0,kali ini jawaban jawaban dari bapak ganjar lebih jitu jeli adem sopan bagus jadi pengen kembali dukung bapak ganjar,"[{'Aspect': 'jawaban jawaban', 'Opinion': 'lebih jitu', 'Polarity': 'Positive'}, {'Aspect': 'jawaban jawaban', 'Opinion': 'jeli', 'Polarity': 'Positive'}, {'Aspect': 'jawaban jawaban', 'Opinion': 'adem', 'Polarity': 'Positive'}, {'Aspect': 'jawaban jawaban', 'Opinion': 'sopan', 'Polarity': 'Positive'}]","[{'Aspect': 'jawaban jawaban', 'Opinion': 'lebih jitu jeli', 'Polarity': 'Positive'}, {'Aspect': 'jawaban jawaban', 'Opinion': 'adem', 'Polarity': 'Positive'}, {'Aspect': 'jawaban jawaban', 'Opinion': 'sopan', 'Polarity': 'Positive'}, {'Aspect': 'jawaban jawaban', 'Opinion': 'bagus', 'Polarity': 'Positive'}]"
0,pembicaraan kosong semua ganjar,"[{'Aspect': 'pembicaraan', 'Opinion': 'kosong', 'Polarity': 'Negative'}]","[{'Aspect': 'pembicaraan', 'Opinion': 'kosong semua', 'Polarity': 'Negative'}]"
0,janji parpol mahfud helehhh misalkan misalkan kalau cuman bapak harapan bicara realita di lapangan sudah selalu dan,"[{'Aspect': 'bicara', 'Opinion': 'realita', 'Polarity': 'Positive'}]","[{'Aspect': 'bicara', 'Opinion': 'realita di lapangan', 'Polarity': 'Positive'}]"
0,bukan bercerita menyampaikan visi misinya mahfud tapi,"[{'Aspect': 'menyampaikan visi misinya', 'Opinion': 'bukan bercerita', 'Polarity': 'Neutral'}]","[{'Aspect': 'menyampaikan visi misinya', 'Opinion': 'bercerita', 'Polarity': 'Neutral'}]"
0,"ternyata yang gibran kaleng"" usianya bukan sangat muda di","[{'Aspect': 'usianya', 'Opinion': 'bukan sangat muda', 'Polarity': 'Positive'}]","[{'Aspect': 'usianya', 'Opinion': 'sangat muda', 'Polarity': 'Positive'}]"
0,gibran udah bersemangat menantikan soal serangan personal,"[{'Aspect': 'serangan personal', 'Opinion': 'udah bersemangat menantikan', 'Polarity': 'Negative'}]","[{'Aspect': 'serangan personal', 'Opinion': 'bersemangat menantikan', 'Polarity': 'Negative'}]"
0,keliatan cerdas banget jawabannya pasti bismillah bapak anies presiden,"[{'Aspect': 'jawabannya', 'Opinion': 'keliatan cerdas banget', 'Polarity': 'Positive'}]","[{'Aspect': 'jawabannya', 'Opinion': 'cerdas banget', 'Polarity': 'Positive'}]"
0,ganjar dan prabowo dalam berbicara masih berhubungan dengan pertanyaan yang diajukan tapi anies seperti jauh dari topik pembicaraan anis seperti tidak fokus pada topik,"[{'Aspect': 'berbicara', 'Opinion': 'masih berhubungan dengan', 'Polarity': 'Neutral'}]","[{'Aspect': 'berbicara', 'Opinion': 'berhubungan dengan pertanyaan', 'Polarity': 'Neutral'}]"
0,bicara tegas langsung pada intinya senang saya tidak bertele sesuai faktanya dengan dan prabowo bp kalau,"[{'Aspect': 'bicara', 'Opinion': 'tegas', 'Polarity': 'Positive'}, {'Aspect': 'bicara', 'Opinion': 'langsung pada', 'Polarity': 'Positive'}, {'Aspect': 'bicara', 'Opinion': 'tidak bertele sesuai faktanya', 'Polarity': 'Positive'}]","[{'Aspect': 'bicara', 'Opinion': 'tegas', 'Polarity': 'Positive'}, {'Aspect': 'bicara', 'Opinion': 'langsung pada intinya', 'Polarity': 'Positive'}, {'Aspect': 'bicara', 'Opinion': 'tidak bertele sesuai faktanya', 'Polarity': 'Positive'}]"
