publishedAt,authorDisplayName,textDisplay
2024-02-10T12:26:18Z,@adijaya9437,Haduu yang rambutnya putih ngaur kesana kemarin ngomongnya
2024-02-10T12:26:02Z,@adijaya9437,Haduu yang rambutnya putih ngaur kesana kemarin ngomongnya
2024-02-10T12:23:03Z,@AiraaminealyaAiraaminealya,01
2024-02-10T07:54:06Z,@kfyakuza2598,"Indonesia butuh perubahan dari aniss, saya liat liat pak anis jawaban nya sangat berbobot dan penting"
2024-02-10T07:01:31Z,@agussalim2705,"yg namanya Debat Harus saling serang menyerang, bukan karena Rakus dengan Jabatan,, ini debat Capres Bukan debat Receh, jadi WAJAR saling serang menyerang Asalkan Sesuai Fakta dan Data,,  03 aja di serang biasa aja, karena dia Tau ini adalah Debat Capres jadi wajar saling serang menyerang asalkan sesuai Data dan Fakta  !"
2024-02-09T15:08:37Z,@syamsulhuda3038,anies mulut bajingan
2024-02-09T14:08:15Z,@user-zl4iw7lk9u,Bapak Prabowo selalu apa adanya tidak perlu merangkai kata kata mutiara seperty 01 action kan . 2024 Prabowo presiden RI amin
2024-02-09T10:10:44Z,@mickyalaska5794,"Sudah terasa dampak kedunia pemilihan presiden sekarang jika paslon 01 didukung radikal ,, paslon 02 apa adanya dan paslon 03 tidak terlalu berpengaruh,, sekarang diluar negri jadi waswas klw dukung paslon 01 pasti akan terjadi perang besar2an,, ayo pilih yg tidak radikal kasian rakyat kita jangan sampai lebih menderita lagi,, pilih pasangan yg tidak radikan,, terserah kalian mau pilih 02 apa 03 tapi jangan 01,, gw lagi diluar negri waswas bahkan disini jika pilih pasangan 01 bisa gawat bukan makin maju malah dunia akan kena dampak dari radikalisme,, tolong fikir panjang untuk memilih paslon ok"
2024-02-09T04:22:36Z,@siregarbayo6146,Pak prabowo sllu di hati❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
2024-02-09T03:37:12Z,@sudirmanismail7228,Debat debat apa yg dibatkan<br>Padahal rakyat indonesia maunya simpel<br>Tidak perlu bansos atau bantuan bantuan yg bikin bodoh<br>Tapi rakyat mau dukungan dari pemerinthah dlm segala bidang terutam abagi petani dan para sarjana mudanya
2024-02-08T23:05:28Z,@user-ew1jg9yc1i,Ada yang di cut
2024-02-08T17:29:56Z,@user-uo1fk5nv5o,Pak prabowo yang pengalaman dibidang pertahanan
2024-02-08T17:23:21Z,@usansanto18,Kenapa anis dan ganjar nyerang prabowo?! Calon pemimpin ga seharus nya begitu.... Saya akan nyoblos 02
2024-02-08T14:55:22Z,@FirzasWorkshop,"Bagi orang yg awam seperti saya setelah melihat berapa debat capres ini kayanya yg mmg benar2 punya pemikiran untuk memajukan Indonesia cuma yg nmr 1 dan 3 ya, yg nmr 2 kosong bat dah. Nmr dua ga maju2 cuma ingin diakui masa lalunya aja yg ga ada hubungan untuk jadi presiden. Berati pilihan tahun ini yg masuk akal cuma nmr 1 atau 3. Mudah2an kali ini enggak ada yg ketutup hatinya untuk melakukan kecurang di pilpres 2024."
2024-02-08T13:38:21Z,@user-yf5bk9oc5v,Sebenarnya pak anis cocoknya bukan jd capre...cocok ny itu kritisi...
2024-02-08T11:59:25Z,@IrwanIrwans-pw3df,"<a href=""https://www.youtube.com/watch?v=sumPwQpw4JM&amp;t=84"">1:24</a>"
2024-02-08T08:57:54Z,@winschannel7059,GEN Z BERSAMA PRABOWO GIBRAN ❤
2024-02-08T05:12:32Z,@hindunel-adzkiya5838,Sudah kelihatan sekali ya mana jawaban yg mengandung solusi sama yg hanya menggebu2 bahwa kita bisa kita harus maju tapi ngga ada solusi dimana bobot seorang pemimpin yg harus menggagas😂 berfikir sehat AMIN
2024-02-07T18:10:28Z,@user-ko2dd2zc8d,Gak nyangka pk Ganjar sprt itu sama orang tua
2024-02-07T13:35:31Z,@dyefseu_1254,sekelas debat capres masa ngga nyiapin data buat bahan debat😢. jd yang sebenernya omon&quot; siapaa? wkwk
2024-02-07T13:29:03Z,@dyefseu_1254,"diminta data di forum biar sekalian tanpa rahasia, malah nyebar undangan"
2024-02-07T13:17:05Z,@dyefseu_1254,"diminta dengan hormat untuk menjelaskan dengan baik, malah menjelekkan tu gimana, masa sikap calon pemimpin begitu(⁠‘⁠◉⁠⌓⁠◉⁠’⁠)"
2024-02-07T12:26:30Z,@dyefseu_1254,yg ditanya apa jawabnya apa 😮
2024-02-07T06:35:13Z,@andiaditya361,Amien aja dlu 01 menjadi pilihan utama..
2024-02-07T04:26:13Z,@fheryandikaputra2610,2 orang bebek dungu si penis sm si ganja.
2024-02-06T16:55:51Z,@user-uc3pe3dm3i,Ngomongnya anis selatan selatan... Nis nis kamu tuh busuk
2024-02-05T22:33:09Z,@rafaelalfinchanel7674,Pak Anis Smart the next Presiden
2024-02-05T12:13:50Z,@nandaoctafiani390,Pak anies literally satu-satunya capres yang paham soal konsep regionalisme dan kawasan. Mantap pak! Semoga Indonesia bisa mendapatkan presiden cerdas seperti bapak. Insya Allah
2024-02-05T01:40:43Z,@SamsulArifin-wd9nn,Omon omon
2024-02-04T18:09:45Z,@rusdydarmawan-gf3hk,☝️👍
2024-02-04T15:29:43Z,@fatimasyifaazzahra,Madura siap ✌️✌️✌️✌️
2024-02-04T15:19:54Z,@zzzz7094,✌️✌️✌️✌️
2024-02-04T15:07:54Z,@user-zr6el7xi6t,02 tidak akan goyang
2024-02-04T15:02:56Z,@user-zr6el7xi6t,02❤❤
2024-02-04T15:01:14Z,@ananganang9507,Pemimpin yg besar selalu memaafkan dan meminta maaf atas kekurangan nya 🙏🙏🙏
2024-02-04T15:00:35Z,@ananganang9507,Rakyat yg pintar bisa menilai pemimpin yg selalu memaafkan dan meminta maaf atas segala nya yg kurang dari bicara yg ikhlas atau benci dan merangkai kata.. silahkan rakyat yg bisa menilai..pilih lah pemimpin yg TDK egois selalu memaafkan dan meminta maaf..
2024-02-04T14:16:37Z,@ericklucky6318,❤1
2024-02-04T14:14:50Z,@rinyramzi3022,✌️✌️✌️✌️
2024-02-04T13:55:10Z,@ruldinzopalrull9933,Jangn cm pintar merangkai kata2 ya😅
2024-02-04T13:51:58Z,@yadijaps,Saya pilih yg bisa mensejaterakan tenaga medis/ non medis.
2024-02-04T13:49:40Z,@ruldinzopalrull9933,Dr dunia maya dan dunia nyata pk prabowo unggul jd sy pilih pk prabowo
2024-02-04T13:25:48Z,@ChandraArc-jv6it,02
2024-02-04T13:15:48Z,@SheyliNur,Prabowo - Gibran 🩵💙✌️🫰
2024-02-04T12:31:06Z,@taufikrahman7620,Elektabilitas akan meningkat bagi semua para capres dan cawapres yang berkontestasi dalam debat capres ke 5 yang selenggarakan oleh KPURI ...
2024-02-04T08:55:13Z,@retonihalawa2968,Semangat pak Anies
2024-02-04T08:51:08Z,@satriopamungkas633,All in PRABOWO - GIBRAN 😎
2024-02-04T08:23:32Z,@indahsmuhammad9900,"Buat apa terlihat beriman kalau bisanya nyakitin org <br>Seorang jendral seperti beliau smpai netesin air mata , berati sudah sangat nyentuh nyakitin hati"
2024-02-04T07:07:33Z,@FREEPALESTINA16020,"Sehat2 pk anis dan pak ganjar, sebentar lg kita akan menyaksikan pak Prabowo dilantik menjadi presiden 🤗"
2024-02-04T05:08:51Z,@ariyadissolihin1171,Salam akal sehat☝🏻
2024-02-04T05:06:43Z,@user-dx9uw4jg2x,Anies Baswedan selalu terbaik
2024-02-04T04:43:10Z,@YajaRahman,amin
2024-02-04T04:36:59Z,@cylossmodd,Semoga pak ganjar pranowo jadi persiden amin roba alami❤❤
2024-02-04T02:42:56Z,@sems1829,Bapak ini kayaknya anti banget ya nyebut negara PALESTINA. Dia lebih milih pake kata GAZA!! sampe bilang lemah lagi. Ga kaget kalo kemarin ada berita si Bapak jalin kerjasama sama ISRIWIL.
2024-02-04T02:19:02Z,@PatimahTimah-km5vx,"Semoga pak anis menang cuma pak anis yg tidak punya Kasus,  Salam perubahan"
2024-02-04T00:00:33Z,@bennymanurung7886,"Pak anis memang pintar merangkai kata kata,😅😅😅😅😅,"
2024-02-03T18:32:17Z,@user-kj6cj8jr5t,SEMAKIN YAKIN PAK PRABOWO YANG SANGAT PANTAS.<br>Beliau tidak bisa di bandingkan dg siapapun. The best Pak prabowo🔥🩷😍
2024-02-03T18:06:09Z,@Kucingone,All in Ganjar &amp; prabowo
2024-02-03T18:04:51Z,@Kucingone,Udahlah niss ngurus kucing saja ga usah jdi presiden.
2024-02-03T18:03:44Z,@Kucingone,Pak anis pintar menumbuhkan ide tp Praktek nya nol. Boro boro bangung berbagai ide dluar negeri  yg dikerjakan di Jakarta saja ga jelass.
2024-02-03T17:32:39Z,@arsyarahman7150,Bantai pak aniss
