publishedAt,authorDisplayName,textDisplay
2024-02-09T03:25:42Z,@dadanghasanbahri5897,Tetap No 1....Yessss
2024-02-04T12:45:03Z,@hendriyansyah5720,01 Insyaallah 1 Putaran
2024-01-28T16:24:03Z,@tapakmisteri,Saya meramal bahwa 02 akan menjadi presiden
2024-01-22T02:28:18Z,@piscessierasubandrio,pak anies sedang menasehati diri sendiri
2024-01-22T01:02:08Z,@taufiksutanto7239,Pada debat ini lebih minim saling serang dan fokus ke permasalahan-gagasan. Good Job ... 👍
2024-01-22T00:24:33Z,@user-ir4xd6dg3q,AMIN AJA DULU..❤
2024-01-21T23:33:55Z,@TayaSutarya,Mantap cak imin anti politik dinasti
2024-01-21T23:17:13Z,@arisganteng3921,Nomer 2 kok hilirisasi terus Ndak ada kata kata yg lain
2024-01-21T21:52:13Z,@rasulhamidi772,GIBRAN melanggar aturan debat dan menyesatkan. 01 AMIN MENANG KARENA ANTI KORUPSI KOLUSI NEPOTISME (KKN) dan TIDAK MENYESATKAN
2024-01-21T21:39:45Z,@capricorngirl9424,"Prof anda orang hebat dimata saya, dulu. Sebelum anda menandatangani petisi 100, hanya karena anda ingin menjadi cawapres. Kenapa harus mengorbankan nama baik demi jabatan yg belum tentu didapatkan.<br>Hilang sudah nilai anda selama ini sebagai orang yang tulus mencintai negara. Ternyata benar jabatan membutakan😢"
2024-01-21T21:19:17Z,@abangbintangbola,"Debat cawapres 4 ini sungguh luar biasa ke 3 paslon<br><br>1 Mahfud MD : <br>( Berdebat Dengan Secara FAKTA , FAKTA DATA Pemerintahan Yg Nyata Di Dalam Pemerintahan , Karena Beliau Salah Satu Cawapres Yg Sangat paham Di Pemerintahan Yg Sudah Berjalan )<br>Salah Satu Kelebihan Mahfud Adalah Berani Menyampaikan Sesuatu Yg Benar , Jika Itu Salah Dan Menyimpang, karena beliau Kuat Aqidahnya Dalam Beragama , Jika Melihat Sedikit Menyimpang Beliau Tidak Segan2 Ambil Sikap <br><br><br>2 GUS IMIN :<br>( Debat Malam Ni Luar Biasa Ya , Jawaban Nya Tepat Sasaran Terus , Wibawa dan Aura Nya Ada , Dan Lebih Mudah Dimengerti Untuk Solusi Nya Ke Masyarakat )<br>Kelebihan Paslon ini :<br>Lebih ramah tamah ke masyarakat, Punya Daya Tarik Yg Tinggi Bagi Masyarakat Sebagai Capres / cawapres<br><br><br>3 Gibran <br>( Gibran ini Lebih Ke Solusi Dizaman Digitalisasi Ini , Jadi Apa Yg Di Ucapkan Nya Dalam Debat Ini Maka Itu Akan Dilaksanakan Secara Real Program Indonesia emas ini, hanya saja di zaman digitalisasi ini , banyak orang tidak tau solusi menghadapi indonesia ke depanya ,Menurut Saya Gibran Sangat Paham Di zaman digitalisi ini , Hanya Saja Bahasa2 Baku Nya Banyak Masayarakat Kurang Paham Dengan Bahasa Baku ImYg Digunakan beliau)<br>Salah satu kelebihan Paslon Prabowo gibran ni jika jadi presiden,Tidak main2 dalam pemerintahan nya, jika ada korupsi, mafia , dan kegiatan ilegal lainya , mereka akan sikat habis itu tanpa bnyak bicara . <br><br><br>Kalau Saya Sih Semuanya Layak Jadi Cawapres<br><br>Cuma Kalau Ditanya Mana Yg Lebih Banyak Berkerja Jadi Cawapres<br><br>Tentunya Mahfud MD dan Gibran Yg Paling Banyak Berkerja Jika Jadi Cawapres <br><br>Kalau Cak Imin Masih sedikit saya ragukan<br>( Mungkin lebih banyak enjoy menikmati hidup dan jabatan )<br>Kecuali capres nya Gus Imin , dan cawapres nya Anis <br>Karena menurut saya cak Imin lebih paham solusi daripada Anis <br>( karena gus Imin jadi cawapres , kurang leluasa baginya untuk bertindak mengambil keputusan kebijakan dan solusi secara langsung <br><br>Jadi Saya rasa itu lah mnurut analisa pemahaman saya"
2024-01-21T20:51:53Z,@SitiAminah-fc8ox,02 <br>...✌️✌️✌️✌️
2024-01-21T19:28:13Z,@riasrialdina9125,now military anis hy pinter ngomong kosong nilainya
2024-01-21T19:01:25Z,@riasrialdina9125,ttp prabowo santoy banget ❤ love you prabowo gibran
2024-01-21T18:29:20Z,@imampangestu3385,PRABOWO GIBRAN MENANG SATU PUTARAN 🤲🏼
