publishedAt,authorDisplayName,textDisplay
2024-02-05T13:59:14Z,@Nothing-hd8eo,02 aja lah. Mengabdi bertaun² buat bagsa. 2024 bukan boneka nasde* dan pd* bismiklah❤❤✌
2024-01-29T14:19:04Z,@hermantojz08afi45,"semoga pemimpin yang menjadi presiden dan wakil presiden, memiliki pengalaman yang pantas,pengetahuan yang mendukung, berakhlak mulia (beretika) serta memiliki jiwa kepemimpinan yang merakyat. Debat bukan tanya jawab, melecehkan tetapi sesuai makna depat yaitu adalah pembahasan atau pertukaran pendapat mengenai suatu hal dengan saling memberi alasan untuk mempertahankan pendapat masing-masing. pencegahan KKN dan penegakkan hukum merupakan skala prioritas dan banyak berhubungan dengan penopang pelaksanaan program yang lain."
2024-01-09T12:20:51Z,@malapramesti,Salam 2 jari
2024-01-09T08:52:56Z,@enifadilla2085,Jawa timur all in Prabowo ❤
2024-01-08T17:11:01Z,@trijokojoko2740,Anies the real presiden masa depan
2024-01-08T15:42:14Z,@s.zulyantiafrida9148,Amin
2024-01-08T13:31:38Z,@heribewok8565,"Wajar lah pak prabowo sering ketemu pak jokowi,pak prabowo itu kan mentri nya pak jokowibawahan ama atasan pasti sering ketemu lah,jgn suka d permasalahkan"
2024-01-08T12:23:04Z,@user-oj1hb4cf4f,"Jgan pilih calon yg gak bisa kerja , cuma ngomong doang..."
2024-01-08T12:02:05Z,@user-rf7iw4ri6l,Prabowo all in one❤
2024-01-08T08:09:25Z,@user-pq7wz3fb8w,pak prabowo dan mas gibran 🥰🤲
2024-01-08T06:31:01Z,@noTmin7,Prabowo duluan ba yg nyerang Anies...
2024-01-08T05:35:53Z,@Rensi-vq9yb,02 selalu lewat waktunya
2024-01-08T05:29:16Z,@semangatkerja2505,Debat presiden akan diadakan sampe berapa tahap ya .. sekarang kan udah ketiga
2024-01-08T05:00:22Z,@Mas_Yus2012,All in nomerr 2
2024-01-08T04:52:12Z,@amanahaprilia601,Tema kosong 2 banget atuh wajar klo capres 02 yg lebih tau jg karna sesuai kerjaan na 😁<br>Sy mh ttep pilih pa anies 👍🏻
2024-01-08T04:41:06Z,@sarbinusmatthew5557,Anis omon nya lari kalain
2024-01-08T03:44:34Z,@PrivateBahasa,1 MENYESATKAN
2024-01-08T03:43:45Z,@PrivateBahasa,222222222<br><br>Salam 2 jari ❤
2024-01-08T03:43:22Z,@PrivateBahasa,Prabowo lah yang mampu melanjutkan IKN dan kemajuan Indonesia ❤❤
2024-01-08T03:42:44Z,@PrivateBahasa,❤❤❤ Prabowo Gibran ❤❤❤<br><br>PRABOWO PRESIDEN
2024-01-08T02:33:54Z,@laurajaofficial,Kata2mu nisss nguaurrrrrrrrr
2024-01-08T02:22:38Z,@laurajaofficial,Tunggal 2
2024-01-08T01:52:10Z,@ahmadwahyuddin426,"Pilihan utk Presidenku thn 2024-2034, Anies Baswedan Muhaimin Iskandar, Insya Allah.."
2024-01-08T00:13:25Z,@mistara3866,Pak Anis Depat  masalah pertahanan masalah Tanah dibawa bawa ada hubunga n nya tanah sama pertahanan Pak Anis
2024-01-08T00:10:25Z,@mistara3866,Pak H Prabowo Subianto Dan Mas Gibran Raka Buming Raka Mudah Mudahan Menang ❤
2024-01-07T17:12:08Z,@user-vt5ol7do8o,AMIN
2024-01-07T17:10:35Z,@fathurrahman6116,Jgn lupa Amin
2024-01-07T17:09:27Z,@fathurrahman6116,Amin insyaallah lebih amanah
2024-01-07T16:57:49Z,@syfaptk6188,Mantap Prabowo
2024-01-07T16:51:55Z,@salmantaha8085,Amin insa allah
2024-01-07T16:41:53Z,@gerhanagerhana6291,1 pak anies
2024-01-07T16:31:32Z,@PakSarwono-rm1is,AMIN NO 1
2024-01-07T16:17:28Z,@merdekaataudungu1527,Beuuubb.... Beuuuubbbb
2024-01-07T16:10:55Z,@iman66channel73,🤟🏿❤️‍🩹🤟🏿❤️‍🩹🤟🏿
2024-01-07T16:05:42Z,@gendisdhiajeng7149,222222222
