publishedAt,authorDisplayName,textDisplay
2024-02-10T19:20:27Z,@user-ys9hj1im8n,Jangan Ter giur mulut manis lidah tidak bertulang awas jangan salah pilih
2024-02-10T19:17:35Z,@ngaripngarip,"❤❤❤❤Pukulan yang paling menyakitkan bagi musuh bukanlah pukulan dari cambuk api atau mata pedang yang tajam. Melainkan kemurahan hati dan kesediaan untuk memaafkan dari lawannya...saya pribadi ini jujur tidak butuh presiden yang pintar ..tapi butuh presiden yang mau mendengar melaksanakan menegasi suara keadaan rakyat...biasanya presiden yang banyak bicara pintar omong,itu banyak keinginan,,banyak gagasan...tapi menyepelekan mimpi rakyatnya"
2024-02-10T19:02:02Z,@user-vk4mz7kd1c,Apa tanggapan anda tentang pa prabowo
2024-02-10T19:01:46Z,@user-is4qt5qu5y,Bener bener Pa Anis Semua Pernyataanya keren Logis ❤
2024-02-10T18:59:49Z,@ngaripngarip,Pakaian sederhana....siapa
2024-02-10T18:09:13Z,@user-zm8kz8un2y,"drama apalagi ni metro tv,kemaren waktu pak prabowo ngucapin salam malah di cut"
2024-02-10T17:54:46Z,@StayMuslim4,"SETELAH SAYA MELIHAT DEBAT TERAKHIR , SEBELUMNYA SAYA MEMILIH 03 YANG PENUH DENGAN KEBENCIAN !! , SAYA PINDAH UNTUK MENDUKUNG 02 PRABOWOGIBRAN terimakasih❤"
2024-02-10T17:52:05Z,@suwandiandi8872,Pribumi asli Nusantara gak akan pernah memilih orang keturunan bangsa asing...!!!😂😂😂
2024-02-10T17:03:10Z,@WisnumuzakiWisnu-sl1lo,Pa prabowo pasti menang amin
2024-02-10T17:02:13Z,@WisnumuzakiWisnu-sl1lo,Prabowo past menang
2024-02-10T16:42:58Z,@user-fu9ee9pr4k,Yakin pa ganjar yg mng
2024-02-10T15:56:22Z,@AbuyaperkututLokalgacor,"Pak Anis mempunyai karimatik  dari pada calon lain y,<br>Pak Anis cara menyampaikan y kelihatan beneran serius untuk membangun pemerintahan Nusantara ini, calon yang lain hanya penjilat, <br>Semoga Allah memilih di antara ketiga y siapa yang bener2 membangun pemerintahan Nusantara"
2024-02-10T15:52:11Z,@ekatursilawati193,MANTAP PAK PRABOWO ❤❤
2024-02-10T15:49:50Z,@user-kl1li6pu4q,Pinjol ada dimana2 era nya siapa yah ?
2024-02-10T14:21:11Z,@triyantoluqman7308,Welas asih dan cinta kasih inilah sepiritul yg tertinggi 🙏
2024-02-10T14:18:48Z,@triyantoluqman7308,"Lihatlah dr lupuk hati yg paling dalam biar kita ndk Salah Padang Salah Persepsi para Sahabat semuanya,🙏"
2024-02-10T14:17:01Z,@triyantoluqman7308,Cerdas dan Bijaksana Sana Pak Anis semangat 🙏👍💪💪💪
