publishedAt,authorDisplayName,textDisplay
2024-02-10T08:18:58Z,@andreardiansyah-im6kd,seperti omongan maniss aja *amin
2024-02-09T17:18:01Z,@Wahyu-rl3yo,"Kata Prabowo inflasi kita rendah,liat sekarang, inflasi kita tinggi pak, Prabowo nggk tau apa,apa arti dari kata inflasi 😂😂"
2024-02-07T12:37:12Z,@beyourself1306,"Saya dulu punya cita-cita pertama yang di impikan yaitu jadi pemain sepakbola profesional, kalo impian saya tercapai masuk timnas Garuda, bermain di Eropa, juara Piala AFF/Asia sudah berjanji sepenuhnya..... saya akan memeberikan hukuman yang setimpal bagi para koruptor, membangun rumah sakit, sekolah, masjid, dan bantuan sosial bagi orang tidak mampu, itu lewat sepakbola yang saya cita-citakan dan impikan. Yaeahh sekarang apalah dayaku ini, hanya sebatas angan-angan saja yang bekerja seorang buruh pabrik hanya sebuah mencari uang, daripada menganggur tiada guna dirumah, hidup memang tidak adil jadi biasakanlah seperti diriku.🥺💔🥀"
2024-02-07T12:24:02Z,@beyourself1306,Waduh serius nyesel gak nonton debat pertama capres.😭💔
2024-02-06T18:31:06Z,@anggipratama3020,Sayang banget gua golput😢😢
2024-02-05T19:32:13Z,@netijenbar-bar4047,Cobaa aja pak bowo mau ungkit² kekurangan/kegagalan anis dn ganjar😂🤣 auto sangat memalukan😭😭😭😂
2024-02-05T12:27:14Z,@ngahzuar8813,ayo madyarakat ibdonesia  satukn hati n pilhan  no 2 Prabowo Gibran
2024-02-05T09:46:20Z,@arrozak1655,Bukti kerja kmariny apppaa yaa... NYATA3 SMPE AKRG INDO GK MERDEKA MASIH DIJAJAH JGA EKONOMINYA N HANCUR BUMN NYA SEMUA DIJUAL KE CINA..
2024-02-04T22:40:06Z,@CintaLama-fk9fx,Konsisten dan ikhtiar dari bulan juni 2023 tetap pak prabowo❤
2024-02-04T19:46:09Z,@user-cd5vc3wo1z,01
2024-02-04T19:26:18Z,@ferrynuralam260,Alhamdulillah..<br>Semoga Terwujud Presiden Jujur Cerdas Amanah Berani.. Untuk Indonesia..<br>Aamiin...
2024-02-04T17:37:54Z,@sintangmail1529,Prabowo no anies yes
2024-02-04T16:48:53Z,@HARF17,02 🔥🔥
2024-02-04T15:12:28Z,@anamayasusana4321,abah anis ❤
2024-02-04T15:11:14Z,@anamayasusana4321,"di derah saya pengurus²nya merasa menjadi org² yg mampu, tanpa melihat masyarakat yg ada d lingkungannya<br>pengurus dari mulai Rt / RW / DESA termasuk pegawai²nya pada cuek ketika saya mau mendaftarkan DTKS sudah hampir 2th lebih belum ada hasil entah tdk d proses pengajuan saya sama pekerja DESA , saya mencoba menghubungi pegawai desa itu mengabaikan tdk merespon<br>saya harap abah anis bisa membereskan keluhan saya , tgl 8 Abah Anis k garut, semoga selalu d beri kesehatan dan kelancaran, yassarallahu umuurakum Abah<br>desa tanjung kemuning tarogong kaler garut"
2024-02-04T15:10:47Z,@anamayasusana4321,abah anis ❤
2024-02-04T15:02:47Z,@kartikarika5759,"Mantap pa,Prabowo"
2024-02-04T14:36:14Z,@fadlitunghaw9652,Uu
2024-02-04T14:23:16Z,@mybabyyooyjayo2102,✌✌✌✌✌✌
