publishedAt,authorDisplayName,textDisplay
2024-02-10T00:50:11Z,@andiiwak1946,Paslon 01 is the best
2024-02-08T12:01:50Z,@rismayriz,"Closing statement no. 1 &amp; 3 baca teks, no. 2 tanpa baca teks. Sepele tapi bagi saya bermakna.."
2024-02-08T06:31:06Z,@user-kv3fe7wk1y,Terlihat bgt mas gibaran..sopan bgt❤
2024-02-04T15:01:05Z,@Nuraini-yo5mt,"No 1 org yg cerdas, santun, baik, bijaksana, punya gagasan dan religius, baru kali ini ada ada capres yg paket komplit"
2024-02-04T14:57:42Z,@Nuraini-yo5mt,No 1 mmng cerdas mantaps
2024-02-04T14:09:58Z,@yusufmuhammad8872,anis presidenku
2024-02-04T13:19:39Z,@andiaan960,Anies jualan omong kosong🤣<br>Milih Anies adalah suatu kesalahan besar... Dengan tidak memilih anies Anda telah ikut menyelamatkan indonesia dari kehancuran😂
2024-02-04T12:13:37Z,@hartaman7102,✌️✌️prabowo
2024-02-04T11:09:53Z,@yenieyuliantie763,"Aku emak2 dukung Gibran  anak muda aja, sehat sllu dan menang 1 putaran ✌🏼✌🏼✌🏼✌🏼✌🏼✌🏼✌🏼❤️"
2024-02-02T11:19:20Z,@FinusKaka,222222222222222222222222222222222222222222222222222222222222222222222222222222222222💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪💪🤝🤝🤝🤝🤝🤝🤝🤝🤜🤜🤜🤜🤜🤜🤜🤜🤜🤜🤝🤝🤝🤝🤝🤝🤝🤝🤝🤝🤝🤝🤝🤝🤝🤝🤝🤝
2024-01-30T03:51:16Z,@user-mh6bm1iv6y,Apa to slepat slepet 😂
2024-01-29T05:20:53Z,@MassDavicft,Terlalu diluar nurul gagasan muhaimin😅
2024-01-27T01:12:24Z,@omyon6621,"Gibran sangat pantas jd wapres....., next ke RI 1"
2024-01-26T00:27:28Z,@angriawan605,😂😂😂😂Bocah ingusan ynag coba ngelawak tapi najis tidak sangat lucu
2024-01-25T15:15:37Z,@mamaMusa-vv3mo,"Apa kh harus saya bocor kn tentang negri NKRI ini di ujung akhir bulan januari ,awal bulan yg sepakat di th 2024 ini sebelum negri ini penuh raa syukur ini ad umpan di ujung tali pancing.apkh saya hrus ungkap kn semua"
2024-01-25T11:49:44Z,@DavaDavanuralamsyah,"Jujur saja tadinya saya mau pilih ganjar,,,, tapi gak jadi karena diusung dari partai yg saya gak respek"
2024-01-25T07:44:28Z,@AingTeaChannel,"Lanjut <a href=""https://www.youtube.com/watch?v=UQtvZgKmGJo&amp;t=7480"">2:04:40</a>"
2024-01-23T23:08:40Z,@WillieJahja-mk4fc,"Imin dan Mahmud shag mat dgn Gibran, krn imin hanya ngecap nfak ada idea sdgkan Mahmud yg namanya menteri polhukam mengritik kerjanya sendiri, ngak bisa ngatasi masalah politik, hukum dan keamanan  didlm tugas hari2 ya, ngapain aja malah ngurusi masalah mk segala."
2024-01-23T11:46:39Z,@mystogan9378,Busuk nya ni video ga bersih suara ter potong2..
2024-01-23T04:57:09Z,@rezkyagung9368,Agak kecewa videonya macet²
2024-01-22T21:30:17Z,@netchanel0933,GIBRAN (Gerakan indonesia bersama ANIES BASWEDAN)
2024-01-22T10:55:47Z,@Callystafdr,semangat pak prabowo gibram
2024-01-22T07:45:03Z,@PutrajayaSelangor,Yg namany buah tak kan pernah jauh jatuh dr pohonnya..sekali pembohong ttp pembohong mau janji setinggi langit pun sm sj ttp munafiq...<br>Bagaimana keduanya tdk dikatakan munafiq atau pembohong lah semua janjinya di ingkari..<br>Ada tiga kelompok pemilih pragib.<br>1.golongan menengah ke bawah yg hidupnya hanya menunggu BLT atau amplop<br>2.koruptor dan org2 tamak.<br>3.oligarki yg sll jd pelindung penguasa.<br><br>Intinya jika petahana kalah siap2 masuk penjara jeruji sedang menunggu kalian wahai kaum munafik..
2024-01-22T06:56:06Z,@borugultom63,Sekali Pak Jokowi tetap pak Jokowi beliau apa adanya semangat pak Jokowi
2024-01-21T22:59:42Z,@user-fk5js3mb4l,Tetap 02 ❤ Bapak Prabowo dan mas Gibran <br>Lampung timur hadir
2024-01-21T22:21:33Z,@iwanyana8282,Ini bohong semua hilirisasi bukti semua provensi di luar jawa semua tertinggal dan ini juga janji bapak kamu gibran😂😂😂
2024-01-21T15:37:02Z,@WikePosangi-iw9ny,No. 222222222222222222👍🏻👍🏻👍🏻👍🏻❤❤❤❤❤❤❤prabowo dan gibran yes❤❤❤❤sukses selalu. Aamiin YRA🤲 ❤❤❤❤❤❤
2024-01-21T15:34:13Z,@ledianyzlzallac1620,Prabowo Gibran ✌️
2024-01-21T15:33:30Z,@WikePosangi-iw9ny,Prabowo and gibran  👍👍❤❤❤❤❤❤
2024-01-21T15:32:24Z,@WikePosangi-iw9ny,Mas gibran yes.. Yes.. Yes..
2024-01-21T15:31:38Z,@WikePosangi-iw9ny,Mas gibran❤❤❤
2024-01-21T15:31:06Z,@WikePosangi-iw9ny,Tetap mas gibran👍🏻❤❤❤
2024-01-21T15:23:38Z,@Mahadewi8823,1 dan 3 bukan debat tapi ghibah hhhhh takut sama bocah
2024-01-21T15:20:47Z,@Mahadewi8823,Gibran kuuueren
2024-01-21T15:15:27Z,@romeobotviewers,"gw suka gaya lu gibran, bikin cawapres lain baper terlebih para pendukungnya ngamuk2 semua😂"
2024-01-21T14:50:06Z,@LandieFreak,saya betul2 prihatin dgn pemahaman atas apa yg disampaikan gibran ... sebegitu dangkalnya pemahamannya ...
2024-01-21T14:47:46Z,@LandieFreak,pantasnya si gibran diacara cerdas cermat bukan debat cawapres ... get a life boy
2024-01-21T14:44:55Z,@LandieFreak,Gibran tidak paham bahwa debat ini adalah utk melihat bagaimana kebijakan yg akan diambil bila ada masalah ... bukan debat memberikan pertanyaan yg menjebak yg tidak ada relevansinya dgn kepentingan utk masa depan negara dan<br>bangsa ... jadi terlihat gibran seperti anak kecil begitu kita saksikan debat antar paslon 1 dan 3 ...
2024-01-21T14:40:12Z,@RakyatPonsel-oe1cw,02 juara
2024-01-21T13:56:21Z,@andiamiruddin586,Amin❤❤❤❤
2024-01-21T13:22:09Z,@turijanagusantoso9169,"Dari dulu kalian hanya janji aja, nasib petani tetap miskin. Apapun program kalian buat petani hanya omong kosong aja."
2024-01-21T13:08:58Z,@muhammadfauzi9303,Kok Gibran pakai mignya tiga
2024-01-21T13:04:00Z,@ahmadnurcholis2919,"Pendukung 02 terkesan urakan ,setiap calon 02 bicara selalu disoraki tanpa tau masalah"
2024-01-21T12:54:26Z,@hanafinafi2773,Anis
2024-01-21T11:52:10Z,@ipulri2727,Gibran
2024-01-21T11:49:37Z,@gusurgusur8850,Semangat Gibran skak orang2 yg merendahkanmu
2024-01-21T10:52:50Z,@dedenurhayat438,Amin
2024-01-21T09:39:09Z,@muhammadharitsfadillah2773,Ini teknik kompres vidionya bermasalah kah? saya mau replay debat kok vidionya kyk corrupt gitu ya ke skip2 dan parahnya ke skip2 pas lagi argumen diskusinya
2024-01-21T05:33:42Z,@user-en1fl5sk8m,Mantap gibran
2024-01-20T16:23:11Z,@hotmanparis9469,All in cak slepet😂
2024-01-20T12:56:27Z,@user-ob4hl4ie2t,Papowo
2024-01-20T11:48:36Z,@Heriyuchiko,Anisss👍👍👍
2024-01-19T17:11:57Z,@b_s_howay662,"Ternyata TV ONE Media pengecut, tidak adil, MENDING CNN yang narasumber nya bijak tegas dan adil"
2024-01-19T15:29:17Z,@samosirtrex1689,"Visioner nya anak muda, hnya gibran yg mengerti keadilan dan toleransi beragama, smngat nmor 2 menjadi pemenang"
2024-01-19T13:07:53Z,@YurenLius,✌️
2024-01-19T12:56:15Z,@alimustarodin152,Gibran gak cocok..
2024-01-19T11:48:48Z,@dedesaa2811,kalian macet2 ga si nontonnya?
2024-01-19T10:38:07Z,@user-qj6wh5lk9j,mas Gibran ada kan kereta di Kalimantan 😭😭
2024-01-19T05:12:51Z,@fitriiaa_3025,Mas gibran aku padamu
2024-01-19T03:43:43Z,@antonhermawan7591,Min imin kok suka nyalahin pemerentah. Wong 70% plus rakyat suka sm Jkw. Jgn jadikan bumerang. Lu mah sm Abut yg sakit hati gak mup on mup on podo wae antitesa banget
2024-01-18T11:41:42Z,@DianaBatubara,Mantap gibran pilihanku no 2
2024-01-17T16:50:52Z,@aisyahsyafa1815,Amin (Anismuhaimin)presiden 2024 Amin
2024-01-17T12:37:36Z,@BudrimanPolimam,DITANYA SOAL RATIO 23% dari apa? Ternyata dari pajak . Jelas bahaya ini wkwkwk.
2024-01-17T10:42:59Z,@hilmiweni2404,Pak anis selalu hadapi dengan senyuman
2024-01-17T08:54:22Z,@arfanali1090,"dukung pak mahfud md mendebatnya harus pakai data, tidak ngaco seperti mas gibran asal nanti pajak naik lagi aja 😂"
2024-01-17T07:08:58Z,@vanesyaprisiliawati9379,Jangan pilih cawapres yg melanggar UUD dan etika mau jadi apa negri ini kalau kayak gitu
