publishedAt,authorDisplayName,textDisplay
2024-02-09T03:59:55Z,@banggg1903,"Invesatasi ????????????😅😅😅 <a href=""https://www.youtube.com/watch?v=92k51DVSDv4&amp;t=1902"">31:42</a>"
2024-02-09T03:59:55Z,@banggg1903,"Invesatasi ????????????😅😅😅 <a href=""https://www.youtube.com/watch?v=92k51DVSDv4&amp;t=1902"">31:42</a>"
2024-02-09T03:59:54Z,@banggg1903,Invesatasi ????????????😅😅😅
2024-02-05T07:30:13Z,@ibnu_sulistyo33,Progres IKN menciptakan momentum positif untuk pertumbuhan ekonomi dan pembangunan.
2024-02-03T07:18:18Z,@torikkocell3257,sok sopan kualitas ngeses cuma yang nga mampi berpikir yang pilih
2024-01-31T05:28:35Z,@maulina1990,Pak Gibran di tanya apa jawab apa😊
2024-01-29T01:35:00Z,@endangsriwahyuni8079,02 memang jos..gas poll
2024-01-28T20:25:38Z,@nuurhasanah7337,Huuuh betul pk amin pndapat mu .. kalau bisa  membangun uang nya dapat ngurang dari luarnegri kami sebagai rakyat cape keberatan terus² bayar utang negara beban utang itu berat ke kami sebagai rakyat tuh pemerintahan yg sudah² selalu bikin utang menyiksa rakyat
2024-01-28T16:12:33Z,@nitnot0505,Kenapa harus keluar dr podiumnya ya.. mmng bolehkah? Mungkin krn jiwa mudanya ke PD an kah?
2024-01-28T12:58:17Z,@juliusliow2373,Pak muhaimin ngmong nya agak susah di mngerti ua dri pda pda yg lain -_-
2024-01-28T04:39:59Z,@ivanmulyakurniawan4089,"Manusia digital, robot kah maksud mu jang?😅"
2024-01-28T01:48:09Z,@user-so9uf9hq7s,Yg tua tua udah waktunya anak muda yg jdi pemimpin.generasi minelinial harus berjuang untuk negeri dan bangsa
2024-01-27T18:04:59Z,@wildanakmalulinnuha6068,Mas Gibran public speaking mu loh mantep tenan
2024-01-26T23:20:09Z,@nunungmanis2730,Bagus pak Gibran👍👍👍...tuk orang2 yg pengangguran di buka lowongan kerja di mudah kan dapat pekerjaan👍👍👍hidup pak Gibran dan pak Prabowo saya dukung cawapres dan capres💪💪💪💪💪semangat
2024-01-26T05:02:33Z,@Budidoyo1,Visi misi malah ngapain sih mahmud MD
2024-01-25T20:50:59Z,@fahmimunir,Sy jha di tanya coblosan kaga &#39;ach milih capres g usaha sendiri g mkn
2024-01-25T20:50:08Z,@fahmimunir,Yes golput
2024-01-25T16:11:09Z,@Fantasshort,"<a href=""https://www.youtube.com/watch?v=92k51DVSDv4&amp;t=5307"">1:28:27</a> ada suara misterius guys &quot;SUDAH&quot; 😢"
2024-01-25T08:03:44Z,@mbakperawat2980,"Kita butuh bapak gibran untuk menjadi pemimpin, udah pinter cerdas ganteng pulak"
2024-01-25T02:11:59Z,@shakilaariesti3633,Sangat manis janji imin 5milyar tiap desa per-tahun 😅
2024-01-25T02:10:05Z,@shakilaariesti3633,Imin disuruh nyampein visi misi malah ngmongin slepet😢
2024-01-24T07:47:10Z,@nasipprayogo3451,"Ini apa yg di katakan pak gatot itu benar adanya, matamu melihat tapi matamu buta, di tutupi oleh kebohongan dan kemunafikan,"
2024-01-23T16:12:21Z,@surojiojioji2334,"Mas gipbran yang oke👈👍👍 <a href=""https://www.youtube.com/watch?v=92k51DVSDv4&amp;t=2781"">46:21</a>"
2024-01-23T04:54:49Z,@SamsungGalaxy-kt1mu,SEHARUSNYA SDR GIBRAN MENCALONKAN JADI GUBERNUR PAPUA OF SULUT 😂😂😂😂😂😂
2024-01-23T03:47:08Z,@SamsungGalaxy-kt1mu,ĜIBRAN TERLALU MENINGGIKAN DIRI MENGANGGAP LEBIH PANDAI DARÌ CAWAPRES LAIN BELUM TENTU DISUKAI RAKYAT 😅😅😊😅
2024-01-22T23:09:36Z,@Sihardin,Sia2 indonisia kalaw gibran ini masih kala luar biasa
2024-01-22T22:57:27Z,@FadilalNurhuda-jj7bk,Kii78
2024-01-22T19:12:51Z,@sucikworld,Moderator: harap tenang!!!😅
