publishedAt,authorDisplayName,textDisplay
2024-02-08T05:51:01Z,@abangbintangbola,"SBY Jokowi Prabowo bersatu dalam memberikan dukungan mengurus negara dan rakyat sejahtera <br><br>Apakah kurang cukup kah bagi kita melihat dengan jelas kekuatan dukungan dan pengalaman yg matang??<br><br>Apakah ada lagi yg lebih baik dari Prabowo ??<br>Yg d dukung oleh presiden2 sebelumnya oleh bapak SBY dan Jokowi yg berpengalaman di bidang pemerintahan <br><br>Kalau sudah ada yg pasti dan matang<br><br>Ngapain lagi kita harus mencoba yg baru?<br><br>Perubahan gtu 01 ??<br>Dipecat jadi gubernur,dipecat jadi menteri, itukah prestasi atau perubahan?? <br>Jakarta d bohongin masalah rumah DP 0 , Anis dulu didukung prabowo Sandiaga uno menjadi gubernur ??? Ap yg terjadi ?? Anis berhianat , kacang lupa pada kulitnya, tidak akan menjadi oposisi poros ke 3 apabila prabowo maju jadi capres 2024 , buktinya apa? Berhianat, tak tau diri ,<br><br> dan apakah kita memilih presiden 01 yg prestasi nya dipecat jadi gubernur, dipecat jadi menteri , berbohong kpd masyarakat jakarta rumah dp 0 , dan berhianat kpd org yg telah mendukung nya dulu jadi gubernur??? Ap bedanya nanti pemilu , ketika dia jadi capres , dia pun menghianati rakyatnya. Pake logika waras berpikir , jgn ikut2 orang , jgn tertipu daya dengan mulut manis dan janjinya. Hati hati tipe karakter orang seperti ini, <br>Manis dimulut dan di bibir, siap2 rakyat dihianatin<br><br>Ap yg mau di ubah? G ada yg perlu d ubah , rakyat perlu kesejahteraan di bidang semua sektor sosial pangan pendidikan kebudayaan lapangan pekerjaan dll , dan yg namanya perubahan pasti banyak mengeluarkan anggaran negara , utang semakin numpuk..pake logika waras berpikir..g ada yg perlu diubah2 yg perlu skrg ini ditingkatkan kesejahteraan rakyat di bidang semua sektor <br><br>Ganjar gitu ?? Jawa Tengah masyarakat nya masih bnyak yg miskin dan susah , prestasi ganjar? Terlibat kasus korupsi 5 milyar..presiden nya di setir sama ketua umum..itu yg namanya mau jadi presiden?? Hanya org buta saja yg memilih capres seperti ini<br><br>Jadi klo kita waras berpikir , kita sudah tau yg mna layak jadi presiden<br><br>Klo IQ nya masih rendah dan dangkal pasti tidak akan sampai tingkat LOGIKA WARAS <br><br>Salam Indonesia emas 02<br><br>All in Prabowo<br><br>Kita cari calon presiden yg matang<br><br>Bukan calon presiden yg sensasional, bukan presiden yg manis d mulut , bukan presiden yg berhianat dan tak tau diri , bukan presiden yg berbohong kepada masyarakat, bukan presiden yg korupsi<br><br>Pakai LOGIKA WARAS BERPIKIR <br><br>Pemilu Nanti Pilihlah Presiden Yg Matang Bukan Presiden Yg Coba2 BuKan Presiden Yg Kita Pilih Karena Ikut2 Pengaruh Org Lain<br><br>Salam LOGIKA WARAS BERPIKIR<br><br>ALL IN PRABOWO GIBRAN <br><br>Presiden Yg Tanpa Disetir Jadi BONEKA"
2024-02-07T14:29:20Z,@suryanasuryana1769,Salam perubahan 01
2024-02-06T20:29:19Z,@SaYa-hh9xu,CNN INDONESIA  gak bermutu canhel jelek
2024-02-05T15:55:53Z,@yakobuskeda7119,"80T,dibawa angin"
2024-02-05T12:46:23Z,@omriservice8695,Anis cuma penjelasan.....ganjar hanya menyinggung...Prabowo ketulasan hati untuk bangsa ini...🙏🙏🙏
2024-02-05T10:30:44Z,@korupsi56,Nanti ada sejarah baru untuk indonesia.<br>Ketika jokowi tidak menjabat jd Presiden lalu prabowo gibran kalah.<br>Jokowi dan keluarganya akan msk penjara dibikin oleh Presiden yg baru nanti 😂😂😂😂😂😂😂😂😂😂
2024-02-05T09:57:47Z,@user-pf7yr6in4g,"Intinya harus sukses Indonesia,"
2024-02-05T09:23:16Z,@nettyherawaty5126,"Paslon no satu adalah yg trbaik,InsyaAllah Anies,Amin presidennya Amiin❤"
2024-02-05T09:11:41Z,@MuhammadIkbal-bn1dl,"AMIN,🕌. 01untuk 🇮🇩"
2024-02-05T06:12:36Z,@user-zf6gk1br2z,🤟🤟🤟🤟💪
2024-02-05T06:12:35Z,@ahmadyasin4281,☝️
2024-02-05T05:04:07Z,@naj1048,Pak ganjar.bukan teori omong kosong.tapi sudah terbukti kerjanya.salam sehat.jossss 03
2024-02-05T03:38:24Z,@idabagusgedetejasemara3784,"01 terlalu manis omon2 nya tp nggk bs krja dan menghemat anggaran, terlalu boros, spt contoh JKT kebnykan tim TGUPF nya membengkak ampe 70an org, krn mau balas budi atas kemenangan nya jd gabener akhirnya bnyk menguras anggaran, jd anggaran yg td nya keluar sdkt ada &quot;Perubahan&quot;jd membengkak😂😂😂 ngeri..ngeri sedappp...!!!😂😂😂😂"
2024-02-05T03:34:08Z,@idabagusgedetejasemara3784,Paslon 2 debatnya cukup bilang stuju atau sependapat😂😂😂
2024-02-05T01:40:52Z,@andramahardhika5068,🫰✌️🇮🇩
2024-02-04T23:36:52Z,@eviyanti2978,Gak mencari kata kata tapi tindakan yg nyata aja diperbaiki indonesia supaya maju maka mencoba pilih no 2
2024-02-04T22:13:34Z,@sutarnosutarno4187,"Bu Fadhilah seharusnya yang poin  ...❤❤❤❤cara mengatasi penyebab itu apa, terus caranya mengatasi stanting itu dengan apa saja, kalau tidak susu dengan apa saja ....jadi fokus penyelesaiannya bagaimana..... kurang jelas itu"
2024-02-04T19:27:15Z,@umihanik5225,"Bapak calon Presiden kelak siapa pun dari Bapak Bapak yang menjadi Presiden RI. saya berbicara apa adanya dari suwara rakyat saya minta tolong sejahterakan rakyat kecil yg miskin dan perhatikan rakyat anda yg belom mendapatkan pekerjaan dan berikan pkerjaan yg layak upahnya dan tegakkan hukum yg seadil adilnya... dan sya minta bila ada bantuan apa pun untuk rakyat miskin tlong di berikan lagsung di rmhnya serta di dampingi dari pihak pemerintah negara langsung dari jakarta ke penerima,, krna takutnya belom sampek pada hak penerima malah ngk sampe pda pnerima sudah berhenti di Kabupaten apa berhenti di kecmatan apa berhenti di kelurahan apa berhenti di Rt , krna selama ini rakyat bisa bilang mau jadi presiden siapa pun ia kita tidak merasakan apa apa.. pa mungkin sering data salah sasaran apa mgkin berhenti krna masuk saku mreka sendri . Trus saya minta tolong untuk sosok bapak ibu guru di indonesia ini di perhatikan betul nasib kesejahtraanya , krna sosok seorang bapak ibu guru adalah org no 1 dari pengganti sosok orang tua ... Dan  Intinya Bapak klau sudah jadi presiden tetap bisa sering hadir langsung bersma rakyat agar bisa tau langsung ada perubahan apa tidak rakyat anda,, Dan hadirlah bersma rakyat untuk bisa memberi arti rasa kemerdekaan yg sbenarnya dgn jelas kepada rakyat Repoblik Indonesia ini semuanya.."
2024-02-04T19:05:41Z,@agusWibowo-ie2ek,✌️
2024-02-04T18:33:25Z,@rajatopsuper5943,PAK ANIS.01. YG PANTAS JADI PRESIDEN 2024. TIDAK TERINDIKASI KORUPSI. PINTER. BERWIBAWA HUBUNGAN LUARNEGRI MANTAP.
2024-02-04T18:25:27Z,@AdeSuhaemi-fp6yr,Sing cerdas iku anis baswedan sing dadi presiden iku prabowo anis memang cerdas dan pinter tpi sing menang iku prabowo...
2024-02-04T17:47:11Z,@Itsdheii_,KOSONG DUA KOSONG DUA KOSONG DUA JAYAJAYAJAYAA
2024-02-04T17:45:38Z,@GiRan-uh8cx,Indonesia butuh pemimpin yNg Amanah baik tulus iklas dan tidak egois ambisius menang sendiri dan anti di kritik No wee/ gak mau milih tipe orang seperti itu cuma bikin masalah saja. Negara ini milik semua rakyat NKRI bukan milik dinasti keturunan keluarga saja loo.
2024-02-04T17:37:58Z,@dwilutfiani3961,"02 satu putaran , indonesia tmbh maju bersama pak jokowi apalagi pak jokowi dibelakang gibran insyaallah indonesia lbh baik"
2024-02-04T17:27:54Z,@dwilutfiani3961,bismillah paslon 2 bakal menang amiin satu putaran 🎉🎉🎉🎉
2024-02-04T17:18:57Z,@WalterZuckerberg,"Memang kalau kita bicara IKN, seperti tidak ada habisnya, gak masuk akal juga kenapa membangun tempat kerja utk ASN, tapi kalau kita lihat perkembangan nya kedepan memang akan ada kemajuan. ibaratnya itu sebagai umpan untuk membuat kalimantan menarik., kedepannya tentunya akan ada progress, mulai dari infrastruktur di sekitarnya walaupun butuh waktu gak bisa di simsalabim. Tapi yg jadi masalah itu negara ini tidak memiliki uang yg cukup untuk membangun kedepannya. Kalau pajak transparan, proyek nya jg transparan mungkin publik pun ikhlas membayar pajak demi kemajuan negeri, tp kan masalahnya yg makmur itu kan bukan negaranya, selalu saja ada masalah maslah yg berkaitan dengan pajak dan korupsi. Siapapun presidennya, yg penting itu rakyat tidak dibodohi, pemerataan pembangunan infrastruktur, kemudahan lapangan pekerjaan, tidak ada pajak yg besaran nya gak masuk akal, berikan pajak yg besar utk bisnis bisnis sprti tempat dugem dan sejenisnya bukan karaoke inul disuruh bayar pajak hampir 40%, karaoke yg lain dong itu yg disuruh bayar pajak gede bukan malah pura pura gak tau.<br>Kalau anies saya yakin dia konsentrasi nya kesejahteraan rakyat dahulu , jadi efeknya kayaknya progress pembangunan pembangunan akan banyak jalan di tempat, memang di era jokowi kerasa pembangunan itu banyak, akan sedikit sekali progress pembangunan saya rasa semasa anies menjadi presiden, mungkin untungnya tiap kebijakan akan pro rakyat<br>kalau prabowo, konsep nya meneruskan konsep jokowi, tapi yg jadi bingung negara ini modalnya gak ada, nanti ujung ujung nya pajak makin mencekik leher, dan saya rasa manusia cinta korupsi akan semakin bertambah, apalagi banyak penjilat nih yg dari awal merapat ke prabowo hanya demi kelancaran bisnisnya kedepannya, mungkin paslon lain kurang mengakomodir orang orang ini<br>kalau ganjar, saya gak ada clue, cuma memang mendukung IKN juga, masih bingung sama visi dan misi nya"
2024-02-04T17:16:06Z,@septiansantosa2551,Rekam jejak wadas sebut dong 😂 HAM mulu 😂
2024-02-04T17:09:44Z,@sukarelawanrelawan719,Sampai kapan mau berantas korupsi 02 omon omon doang tetep 01 persiden
2024-02-04T17:04:01Z,@DRIYATNO,3 Bekerja sat --set
2024-02-04T16:57:41Z,@rudiyono7512,"Pak prabowo ,mas gibran no 02 jadi persiden satu putaran"
2024-02-04T16:55:59Z,@faridmardianto7554,"Dp nol Rupiah rumah susun gimnaya ya,janjinya apa yaaa"
2024-02-04T16:50:44Z,@ALFINPEMERSATUBANGSA,Ganjar🤟😎
2024-02-04T16:48:39Z,@ekosama4292,030303❤ 🤟👍 slalu
2024-02-04T16:42:11Z,@herypatience9807,PDIP debate wes umum anak SD
2024-02-04T16:41:23Z,@masaligede1514,"Yang bilang bansos sebagai kampanye untuk dukung salah satu paslo menut kami itu salah justru perside telah melakukan pelajaran dari umar ben khotob amirul mu&#39;minin yang juga manggul gandum untuk warganya itu sebagai pertanggung jawabannya terhadap Tuhan kelak di akhirat,,  cobalah lihat itu jangan berburuk sangka"
2024-02-04T16:36:25Z,@ChanelBebas436,KALI INI SEMAKIN YAKIN 99%<br>1% MILIK ALLAH<br><br>INSYAALLAH &quot;GANJAR- MAHFUD&quot; BAKAL MIMPIN NEGERI INI 🤲🤲🤲
2024-02-04T16:33:26Z,@user-fe1oz9ir7h,Mbah utomo nyumpeno keturunan Brengolo Raden Mas Kolo Pratikyo dari kraton solo
2024-02-04T16:32:18Z,@user-fe1oz9ir7h,"Mbah utomo nyumpeno , Anis baswedan prediden RI , 51_52% , ramalan oke, banyal kebenarannya,"
2024-02-04T16:26:06Z,@herypatience9807,Ganjar dobol
2024-02-04T16:17:14Z,@ianjhye8952,SEBAIKNYA WAJIB MEMOHON MAAF. KARNA KEKALAHAN 02 PRABOWO. SUDAH MENANTI. PADA TANGGAL 14-02-2024. SELAMAT UNTUK PRABOWO SUDAH MENCAPAI (4 PERIODE) 😂
2024-02-04T16:14:54Z,@Slowgan2,No 1 dan 3 Pusing dengernya. Banyakan teori..  Maen di kata kata...
2024-02-04T16:14:38Z,@novonovo7544,Waw Prabowo Subianto
2024-02-04T16:13:30Z,@sukosukamto475,Ini bukan debat ..tapi pernyataan bohong bohongan...<br>Aku dah menentukan mana yg aku anggap baik dan akan aku pilih
2024-02-04T16:12:47Z,@irma_erviana7,☝🏻☝🏻☝🏻☝🏻
2024-02-04T16:12:36Z,@equalizeralam,"Pajak naik, ump naik dikit, kebutuhan pokok naik, pertalite mau dihapus, omnibuslaw yg menguntungkan oligarki...mikir napah pas milih...wakanda no more Indonesia forever"
2024-02-04T16:10:05Z,@ansorilubis8583,Halah kardun
