publishedAt,authorDisplayName,textDisplay
2024-02-09T03:06:09Z,@srinellyagustina5331,"Pernyataan Pak Prabowo tentang ter0r1st... Memenuhi kriteria dari negara Maling di belahan dunia sana😂😂 (langsung keinget negara maling tersebut, terimakasih pengingatannya pak. Free Palestine 🇵🇸)"
2024-02-08T18:38:38Z,@ariellesantana3256,"Ini supporter debat bisa diilangin aja gak sih, jatohnya malah ganggu buat yg mau serius dengerin"
2024-02-08T05:27:26Z,@florencesianturi4144,♥️✌🏻✌🏻✌🏻✌🏻✌🏻👍🏻🌹
2024-02-08T00:54:03Z,@hindunel-adzkiya5838,"Saya setuju, saya sependapat, betul, bukan, salah... itu semua tanggapan Pak Prabowo... ngga bisa berpendapat... capres yg tdk bisa berbicara di ruang publik😢"
2024-02-06T18:13:02Z,@agungmunandar,ternyata dari awal ganjar emang angkuh..😅😅😅
2024-02-06T18:05:42Z,@user-fy9my2vj6f,Tapi 1 main nya serang personal. Dia gak ada nyinggung kerja dia pas jadi gubernur
2024-02-06T17:33:40Z,@user-fy9my2vj6f,"Satu, prabowo bagus kalo di awal anis gak nembak langsung paslon 2.di tanyak visi misi bukan nyerang lawan. Kalo mau saling serang ada waktu nya. Di situ pak Prabowo buyar. Tolong la pak anis, kalo debat itu fokus."
2024-02-06T12:23:54Z,@muhammadfadli8806,childish kakek
2024-02-06T12:13:06Z,@muhammadfadli8806,jilat ehem
2024-02-05T07:33:33Z,@eatella,Aku like konten ini karena pak Anies
2024-02-05T03:01:07Z,@ozaimnida9093,Apaan sih prabowo dikiranya mgkin udh bagus kali
2024-02-05T00:24:50Z,@amririzal9288,"<a href=""https://www.youtube.com/watch?v=9J_Py_cAAQI&amp;t=2258"">37:38</a>"
2024-02-04T10:12:51Z,@alanlangkidi03,Modus
2024-02-03T08:44:48Z,@rridhoalhafizhreal,"<a href=""https://www.youtube.com/watch?v=9J_Py_cAAQI&amp;t=5254"">1:27:34</a> Sorry Yeeeee 😂"
2024-02-01T14:26:09Z,@sarahhavaly8655,Oh bp mertua nya jessica mila ya yg di kubu 02
2024-02-01T04:32:01Z,@anika_pranaya,Keberhasilan vaksinasi di Indonesia menunjukkan bahwa upaya bersama dapat mengatasi Krisis Kesehatan Global
2024-02-01T01:25:25Z,@VINZ437,Ojokk guyuuu
2024-02-01T00:36:27Z,@fanoakmal6988,Anis adalah imam mahdi😘😍🥰😘😘🥰🥰🥰😛😝🤪🤪😝😛😝🥲😜🥲😇🤭
2024-01-31T14:01:34Z,@ahmadwiranoto1731,Amin dulu aja
2024-01-31T13:52:47Z,@OnoSurono-nb7hl,Cucu lagi butuh kerjaan ada gak yang ngajak aku kerja ke tempat  kalian... biar jadi lokasi kucing
2024-01-30T23:48:29Z,@hardiansahputra8830,Jangan sampai penghianat naik jd presiden
2024-01-30T17:14:47Z,@shoyaaa14,"Karena ga sempet nonton debat 1, jaud nonton ulang skrng setelah liat fakta fakta yang berseliweran di sosmed hahaha. Seruu, jadi makin yakin ga salah milih yang pemimpin yang siap di desak masyarakat. 🎉🎉🎉"
2024-01-30T11:28:39Z,@SALAMJAYA-si7pg,"Gk ada ceritax klo polusi udara angin   pke ktp,,pk anis 🤣🤣"
2024-01-29T14:53:56Z,@ilvinnurlaily9549,Pupuk 😂
2024-01-29T04:05:17Z,@aucklandsaja658,"Hanya Pak Jokowi yg bisa menghadapi Bu Mega, walau sebagai anggota partai. Tapi saya belum yakin kalau Pak Anis ke Pak Paloh dan Pak Ganjar ke Bu Mega bisa menghadapi atasan partainya seperti PakJokowi. Just saying. Let&#39;s we think about it."
2024-01-27T15:55:03Z,@nurofiqohofi2501,"Sampe yg di pilih, udah gitu sumpah make al quran, janji², ga di jalanin program ga di jalanin, urusan nya bukan sama rakyat aja yg akan demo tapi sama yg di atas"
2024-01-27T15:45:26Z,@user-yk3qs4bt6s,Asli rusak no 2.<br><br>kaya si jokodog diktator..
2024-01-26T15:53:31Z,@bagusaryaw_,"kalau kita lihat seksama, di debat pertama, paslon 02 selalu mengomentari kinerja selama menjadi gubenur  paslon 01 dan paslon 03 🥲"
2024-01-26T00:52:32Z,@yahyawasolo2773,Itu yg pendukung prabowo teriakan suara goblok semua itu
2024-01-25T14:15:28Z,@Ahongdebedesundawani88,Selesaikan ya pa angin di bikinin ktp 😂😂😂
2024-01-25T08:09:21Z,@user-nl9xz8bn5c,Pendukung 03 mna ya kok gk ada suaranya
2024-01-25T07:36:05Z,@dedyjulhamsyah4309,intinya org yg masih waras pasti memilih anis baswedan....😌<br><br>itu aja poinnya...☝️😌
2024-01-24T23:52:52Z,@doniirawan3564,"Suwaid bin Gaflah mengisahkan: <br>Hari itu semua masyarakat baru saja memberikan baiatnya kepada Imam Ali bin Abi Thalib as, dan aku melihat beliau sedang duduk di atas tikar kecil, satu-satunya alas yang ada di rumahnya. <br>Aku katakan kepada beliau, <br>&quot;Wahai Imam, Baitul Mal Muslimin ada di tanganmu, mengapa Anda tidak membeli permadani untuk rumah Anda ini?&quot; <br>Imam Ali bin Abi Thalib as berkata,<br>&quot;Wahai Suwaid, seorang musafir tidak akan membeli banyak barang untuk mengisi penginapan yang tidak lama lagi akan ia tinggalkan. Kita tidak akan lama lagi akan meninggalkan dunia fana ini, mengapa kita harus hamparkan permadani-permadani yang mahal?&quot;"
2024-01-24T16:17:34Z,@Adichenal,"BAGAIMANA YA NANTI KELANJUTAN NEGARA INDONESIA INI KALO SEANDAINYA YG MENANG DIANTARA NOMOR 1 DAN 3 😂,SEMOGA INGAT SAMA JANJI2 NYA DISAAT PEMILU INI.SEMOGA INDONESIA AMAN AMAN SAJA"
2024-01-24T13:08:53Z,@ArzitaDiandraDivaFadhilla,"<a href=""https://www.youtube.com/watch?v=9J_Py_cAAQI&amp;t=5820"">1:37:00</a> that&#39;s my abah!"
2024-01-24T09:01:17Z,@SJXSYNC,Owalah cuma debat toh
2024-01-21T23:33:53Z,@syafachiraniputri5972,Pak prabowo dan mas gibran 1 putaran......
2024-01-21T17:28:50Z,@dwitajayanti8194,02 yess
2024-01-21T15:41:24Z,@nhilela2071,AMIN MENANG ❤❤
2024-01-21T12:23:26Z,@user-xh3gs8zq2u,Amin menang
