publishedAt,authorDisplayName,textDisplay
2024-01-07T23:04:29Z,@putrikholila3610,"Tidak butuh pemimpin yang banyak omong,tapi tidak sesuai data,butuhnya pemimpin yang adil,jujur, bertanggung jawab, sehat slalu pak Prabowo ❤️"
2024-01-07T17:04:02Z,@cicioxford8510,"Pak Anies lebih relate, terstruktur dalam menyampaikan point2nya dan juga beliau lebih mengangkat isu isu yang terjadi di publik, mampi memberikan respon dengan cara yang paling terkini. My heart chooses him❤"
2024-01-07T14:39:29Z,@user-qc3ob9pc2p,"kalo di lihat p anis sering bnget lidahnya jilat bibir,,,,biasanya orang yg ky gt jilat ludahnya sendiri,,,maaf saya tidak dukung siapa2 tp klo di lihat p prabowo  paling terlihat wibawanya"
2024-01-07T13:17:43Z,@maulinadewi2060,AMIN IS THE BEST
2024-01-07T13:17:22Z,@maulinadewi2060,1
2024-01-07T13:17:14Z,@maulinadewi2060,1
2024-01-05T18:30:15Z,@supriyadishanty1534,"Gibran itu JOKOWI PLUS, ternyata gayanya serupa Jokowi namun lebih SANTUY membuat orang suka. Bisa membuat KO Muhaimin dan membuat kedodoran Mahfud MD. Prabowo Gibran akan menang satu putaran soalnya Anis jadi Menteri dipecat dan jadi Gubernur hasilnya nol. Cak Imin pengkhianat Gus Dur. Sedangkan Ganjar. membatalkan Sepak Bola yang ada Israelnya. Sedang Mahfud MD jadi menteri POLHUKAM hasilnya hukum apa sudah bagus di Indonesia."
2024-01-03T08:01:51Z,@samuellgollu5066,Ganjar top 👍👍
2023-12-29T15:24:54Z,@stlauder2086,Orang pintar all in amin❤
2023-12-29T15:24:40Z,@HeroBettaIndramayu,"Bapak anies baswedan sangat pintar dan cerdas,mari kita dukung pasangan AMIN, untuk perubahan bangsa Indonesia lebih baik"
2023-12-29T15:23:05Z,@arijayanti3066,All in AMIN in aja dehhh
2023-12-29T15:21:53Z,@syaifuldragnel8377,Amin pasangan terbaik capres 2024 All in Amin untuk 2024
2023-12-29T15:20:27Z,@syaifuldragnel8377,Semoga perubahan Indonesia bisa terwujud di pimpin Amin. All in Amin
