publishedAt,authorDisplayName,textDisplay
2024-02-10T12:43:23Z,@diananana8941,Jawaban mas Gibran menarik hati masyarakat Indonesia 🎉 semoga terpilih menjadi capres dan cawapres 2024
2024-02-10T03:04:42Z,@datacell4686,Pisi misi pak Gibran luar biasa dan ucapan yg brmoral dan berbobot . Salam sejetrah tuk kita semua
2024-02-08T23:23:44Z,@muslimatunnafia3960,Kukira cupu. Ternyata suhu pak gibran. Ku kira karbitan gak ngerti apa2. Ternyata matang dan fresh. Ahhh Suka bgt dg jawaban pak gibran.
2024-02-07T13:38:15Z,@lintangayu8223,"Aduh emang cuma Kalimantan aja pak yang perlu diperhatikan?? Banyak juga dari wilayah lain yang perlu pak, oot dikit saya aja masi heran ini ko trus terus an menyoroti satu wilayah yaa bagaimana yang lainnya pak??? Apa tidak anda pandang?"
2024-02-07T05:15:23Z,@bellanisacandra325,Serem bgt buzzer dimana2😢
2024-02-06T10:49:36Z,@anizabiton2767,Yg tua minggir az deh waktu y yg muda maju💪💪 mas gibran 02 menang 🤲🤲♥️❤️
2024-02-04T15:52:07Z,@wiwitprioutomo3387,iklan mulu
2024-02-04T06:55:22Z,@user-vc5gl6nn4y,Numb 2 MERDEKA ❤️✌🏼✌🏼🔥✌🏼✌🏼❤️
2024-02-04T06:16:05Z,@user-vc5gl6nn4y,Are you right .. Cak cak I ingin bangun 40 Kota selama 5thn menjabat. This numb 1 Amin or whatever we call talk to much an it’s doesn’t look genuine is fake lol 😂😂
2024-02-03T18:26:55Z,@MakIyen,"Gibran cerdas ya, lbh dr ayahnya, mungkin 😊 selamat pak Jokowi n ibu."
2024-02-03T08:11:10Z,@CapitalistabilAnimation,Pertumbuhan ekonomi tidak naik drastis karena korupsi dan RIBA.
2024-02-02T21:25:45Z,@AliyahLas-vx5db,Aslm.alaikum.bapanya.jokowi.dan.anaknya.ga.adil
2024-02-02T21:21:27Z,@AliyahLas-vx5db,Aslm.alaikum.bohong.gibran.cuman.koropsi
2024-02-01T20:43:30Z,@alfiankusumasetyawan5372,Imin kalau debat lawan pak ganjar selalu kalah
2024-01-31T22:10:35Z,@a.erlangga3661,"Ada yg ngeh ga , ada tyfo penulisan klo prof mahpud md jadi no urut cawapres no urut 2"
2024-01-31T09:08:14Z,@elitasinulingga783,Merinding melihat gibran terlihat tulus dan begitu cerdas dan berwawasan luwas salut dengan gibran 🙏mari kita mendukung Indonesia emas bersama gibran prabowo 💪🏽💪🏽💪🏽
2024-01-31T09:06:24Z,@herysetiawan4299,Nonton berulang ulang cmn pingin liat momen keren nya mas gibran😂❤
2024-01-30T08:31:23Z,@adafuadi9617,Tladan gibran❤❤❤❤❤❤❤
2024-01-30T07:28:20Z,@tatikanton1391,"01 03 siap2 nangis...kalah😂😂😂<br>Karena selalu merendahkan orang lain.<br>Bismillah Prabowo Gibran menang 1 putaran,,Aamiin"
2024-01-30T06:14:23Z,@billymaulana9715,"Aturan debat nya terlalu kaku, kita tidak melihat pertarungan gagasan tukar fikiran dengan waktu yang memadai<br>Kurang puas"
2024-01-29T23:27:28Z,@shavinaayumafatiha6644,Bravo ✌️❤
2024-01-27T14:05:10Z,@tiareog5866,"Tetep mas Gibran ,,,,semangat"
2024-01-27T13:35:58Z,@brotherzfreeson625,"Indonesia ini ada beberapa agama.. Jadi masukan untuk TV chanel, atau acara acara lainnya jika itu berbau UMUM maka setiap salam dari agama harus di ucapkan di awal dan akhir kegiatan. Emang yg nonton dan para pemilih dan lapisan masyarakat cuma muslim saja?"
2024-01-27T13:03:08Z,@mattsoto7270,gibran keren logis dan tepat
2024-01-27T07:40:46Z,@ruainhunowu,Torang dari gorontalo dukung Paslon prbawo gibran❤
2024-01-27T05:03:51Z,@arindyputri6918,Tetap semangat pak prabowo dan mas Gibran 💪😁
2024-01-26T17:13:06Z,@alimurtadho8308,"Yang jelas Sebagai ( permintak an ) rakyat kecil KORUPTOR HUKUM MATI beres , jangan SELEPAT SELEPET aja"
2024-01-26T10:53:27Z,@user-ew2wj2ti7u,Generasi emas ya 02 ❤
2024-01-26T04:16:09Z,@susieae5519,merinding denger suaranya mas gibran..
2024-01-26T04:14:00Z,@susieae5519,ngomong apa si pak mahfud 😂
2024-01-25T16:04:46Z,@romiewijaya,"menaikkan rasio pajak.. macem Pajak Hiburan kah ? dari 20% jadi 40-70% ? sekarang, negara2 no.1 di sektor Pariwisata, Industri, dll.. berlomba-lomba menurunkan Pajak, ini koq malah dinaik kan ?"
2024-01-25T13:43:14Z,@beomkaslana,"...kalian semua buzzer 02 kah kenapa satupun aku galiat pendukung 01/03?<br><br>Kalian fucked semua, orang problematik di support."
2024-01-25T07:52:43Z,@taniachaniago,@Mas Gibran &amp; Pak Prabowo semangatttt terus 🥰🥰🥰🥰
2024-01-25T06:05:01Z,@harisBoy-ig4bu,Minimal sopan santun
2024-01-24T14:41:07Z,@brightgaming7088,Masa allah mas gibran luar biasa ✌️✌️✌️❤❤❤❤
2024-01-24T13:44:02Z,@zekizeki09,Di Tanya Carbon Di Jawab Naskah😢
2024-01-24T13:42:42Z,@brightgaming7088,Dari dl gak perna liat soal debat pas liat mas gibran langsung jato hati slm 2 jari ✌️✌️✌️✌️❤️❤️❤️❤️❤️❤️❤️❤️
2024-01-24T08:49:15Z,@user-zi3lh4hv3f,"Hidup no 2,hidup Prabowo Gibran ✊✊✊✊✊❤❤❤❤"
2024-01-24T02:42:03Z,@user-cm8yc9iq2v,Gibran is the best.
2024-01-23T20:21:06Z,@riyahromli3104,Pk gibran msih muda tpi pnglamn mslah politik sdh di luar kepala yg tua2 aja yg bnyk pnglaman nya kalah msih bnyk mikir dn nyontek2😅 slam 2 jari❤
2024-01-22T15:16:42Z,@sarahagustin8616,"Mas Gibran super duper brilian,amazing 💙✌️🥰😘"
2024-01-22T14:10:25Z,@chaswachazwaty3017,"Mas gibran , ❤"
2024-01-22T13:08:29Z,@Sony_-fc2is,Menit 23.06 Mahfud ..masa mau jadi CAWAPRES Indonesia cuma ngucapin salam buat agama islam .lsng disambung ma<br>ri kita menundukkan kepala <br>Woyyy yg bener aja <br>Gak pilih deh ..👎
2024-01-22T10:09:05Z,@nurnirusli,anies R1
2024-01-22T04:27:06Z,@ninoradiananta7759,🌠🙏🤲🎉❣️💚🍟
2024-01-21T20:09:49Z,@aayashopofficial6689,"01 fix kebanyakan menghayal<br>02 mukbang gratisan ga perlu seharusnya diubah dengan program yang lebih tepat<br>03 biasa aja ga aneh-aneh<br><br>02, 03 maju!! Tukang menghayal terus saja bermimpi 🤣🤭"
2024-01-21T18:08:53Z,@RahMad_Ajha,"Luar biasa didikan pak jokowi,,semakin yakin pilih 02 💪Aceh all in prabowo,kami tidak butuh omong kosong.<br><br>Cawapres 01,,bagus sekali fiksi dan halusinasi anda 🤣🤣pertahan kan pak,,Bapak cocok sama pasangan bapak 🤣🤣"
2024-01-21T16:17:19Z,@hafid1300,"Gara2 debat gak penting malah gak bisa nonton afc 2024,,,ayo cepet siarin afc aja broo"
2024-01-21T16:04:09Z,@alapalap2399,"Gak suka lihat debat,,,  cuma bagi yang suka sepakbola mikirrrrr 😅😅😅😅😅😅"
2024-01-21T14:42:20Z,@Bumipertiwikita,Koalisi Indonesia Maju...yes.<br>02...josss
2024-01-21T14:11:09Z,@wiatiwulansari3082,Gibran is the best. 02 satu putaran
2024-01-21T13:58:10Z,@Bumipertiwikita,O2 saja...oke
2024-01-21T12:48:43Z,@hendrikluntungan5833,"Yang lain gak ngerti apa apa, Cak Imin paling kasihan, Sepintar2 nya pak Mahfud selalu ekonomi digiring ke hukum terus, Gibran top"
2024-01-21T12:47:35Z,@hendrikluntungan5833,Dibantai sama Gibran ini
2024-01-21T10:31:17Z,@sditrabbiradhiyyablitar9055,"Ganteng, Muda, Cerdas, Soleh, Santun dan Amanah dengan Segudang Prestasi, tau kan??? SALAM PERUBAHAN. AMIN"
2024-01-21T10:05:36Z,@jatmikomiko4824,"Muhaimin jgn jd wapres, cocok jadi pelawak aja, gantiin grup patrio😂😂😂"
2024-01-21T02:22:57Z,@belajarcinema5842,Puas dengan ketiga cawapres ini sangat hebat dari pada debat ketiga capres yang kemaren
2024-01-21T00:16:56Z,@user-kw4of5ut2i,"Gak pilih&quot; Mantapppp semuanya, cuman Rakyat tidak membutukan janji&quot;. Yg di butukan Rayat hanya kepastian, siapapun yg akan jdi pemimpin negara RI nantinya Amanah Adil Tegas dan Bijaksana itu saja..<br><br>Masyaallah salah 1 di antara 3 ini saya sangat salut dan salut banget tenang dan sangat jentel tetep Semangat Allah SWT bersama kita semua Aamiin3X yrb."
2024-01-20T18:18:57Z,@Enpiyu,"Palembang pro Prabowo,, Gibran yes"
2024-01-20T18:17:10Z,@Enpiyu,Gibran ngak banyak janji juga tidak menjatuh kan agar dia naik ini yg aka salut
2024-01-20T15:37:04Z,@yensiagustin77,"Min-min gimana mau di pilih dulu aja ikut potong tumpang, sekarang beralih, sunggu baik jejak digitalnya tidak bisa di main² kan. <br>40 kota setara jakarta 1 ikn aja sudah tak sanggup, kita² mah dukung yg logis dan masuk akan aja ya pak imin. 😂."
2024-01-20T14:15:54Z,@RatnaWati-hr8es,Mas gibran pantas untuk menjadi cawapres 2024.pernyataannya sangat berkualitas
2024-01-20T13:22:33Z,@ridoalpredosihaloho214,"Mafud, imin, ga ada terlihat visi misi nya,, ngomong nya ngawur"
2024-01-20T11:58:11Z,@budiononindyo1063,Debat belum mulai kok sdh komentar Gibran hebat debatnya...akun palsu.
2024-01-20T11:56:50Z,@budiononindyo1063,Jgn gentar dgn banyaknya pendukung masuk kekolom-kolom komentar krn itu sdh disetting demikian. Banyak akun2 palsu bertebaran dikolom komentar krn serangan fajar spt ini sdh disetting.
2024-01-20T11:54:00Z,@budiononindyo1063,"Buzzer 02 mulai masuk kolom komentar inews..hati2 narasi gimmik mereka yg mengatakan pindah ke 02 dsb. Menurut sumber yg dpt dipercaya, mereka membuat akun ganda agar seolah-olah pendukung banyak. Tetap setia kpd Ganjar🤟🤟🤟🤟🤟👍👍👍👍👍"
2024-01-20T11:19:29Z,@hantukunang2374,Berani nda pak mahfud md  nti tangkap pak ganjar klu terbukti korupsi???
2024-01-20T02:19:06Z,@erbydwikys7291,Gibran cocok sama anis harusnya cerdas
2024-01-19T18:11:01Z,@deknakula6943,01 wapres &amp; cawapres nya terlalu halu imajinasi 😭
2024-01-19T18:05:16Z,@RUMPI99823,Kbnykn janji manis klw sudah duduk lupa brantas korup. .<br>Smoga yg mnang amanah kpd rakyat . Bnyk infes bnyk korup tanam padi tumbuh gedung
2024-01-19T17:34:22Z,@KaariosArios,❤ malm ini mantap❤
2024-01-19T17:32:52Z,@KaariosArios,❤jelas❤❤
2024-01-19T16:45:57Z,@arierizkyansyah3088,Slepett hahahahaha ngakak njirr
