publishedAt,authorDisplayName,textDisplay
2024-02-10T18:34:03Z,@user-tr9fb2gs2h,Kalau diamati Pak Prabowo ni meskipun gak banyak yang disampaikan .tapi kelytan tulus ingin membuktikan kata tutur pak Prabowo keoada Rakyat nya...
2024-02-10T18:30:12Z,@user-tr9fb2gs2h,"Biasanya pemimpin yang baik dan adil tu,yg cerdas tapi gak banyak liku&quot;nunjukin kehebaatannya.Pak Prabowo tetap semangat dan semangat."
2024-02-10T15:44:33Z,@Rikki06.,Prabowo aku padamu
2024-02-10T14:43:27Z,@LutfiSulaiman-gz8iy,imin pencuri PKB
2024-02-10T14:16:58Z,@senirambutcurup,Prabowo
2024-02-10T12:28:59Z,@muhammadwaridman8641,Ganjar 3😅
2024-02-10T12:28:18Z,@user-nz4bo3ee2j,Pujangga
2024-02-10T10:34:20Z,@ZahrotunUmairoh-nh4ky,Ya Allah aku dukung Pak Ganjar aku merasa bahwa pak anies dan pak prabowo tidak cocok dengan ku <br>Pak Ganjar Mahfud kuat²❤❤💪💪💪💪 menang³❤❤❤❤❤❤❤❤❤💪💪💪💪💪💪💪❤❤❤❤❤❤❤❤❤
2024-02-10T09:38:45Z,@codotborol1506,orang dalam emg perusak dan memberatkan orang
2024-02-10T07:42:01Z,@PejuangBgmBnk,ALL IN PRABOWO🎉
2024-02-10T05:12:44Z,@umminamia6771,❤😊 Aku sekarang
2024-02-10T00:51:10Z,@dzikriramadhan5931,sorry ye
2024-02-10T00:41:13Z,@SitiAisah-sm1vp,Bagusssssss
2024-02-10T00:35:56Z,@SitiAisah-sm1vp,Paanis president 2024
2024-02-09T19:09:54Z,@risvianaajah8899,sangat trlihat jelas pak anies dan juga pak ganjar sangatlah menjatuhkan pak prabowo trs menerus tapi pak prabowo santai aja tidak prnh menjatuhkan lawan capres nya semoga allah lindungi pak prabowo aamiin yrb
2024-02-09T15:58:48Z,@ELZIOFNGERALD,"Nis2 jar2 lu bedua sibuk bgt nyerang 02 takut bgt kayanya kalah  saing,santai aja kali klo lo brdua PD sm kmmpuan lo gk usah ketar ketir mau dikata pake ordal lah,ini onolah pede aja sm diri lo sndri bakalan menang,takut bgt kalah😂"
2024-02-09T15:55:18Z,@user-pv2sw4dr2m,Amiin
2024-02-09T07:51:18Z,@agussalim2705,"kalo Tidak Ambisi dengan Jabatan kenapa Harus 3 x Nyalon  ??, <br> dan soal Nyerang Menyerang yah Wajar namanya juga Debat, dan ini Bukan Debat Ecek-ecek, ini debat Capres jadi Wajar Saling Nyerang menyerang untuk membuka Fakta agar Rakyat fikiran nya Terbuka  !"
2024-02-09T06:30:31Z,@ujangmabok4539,"01 &amp; 02 udh kebongkar kebusukannya sama ahok, all in 03 satu putaran"
2024-02-09T04:28:02Z,@user-xw4wy7sz4m,"Untuk semua Pendukung Capres jangan mudah di provokasi, oleh Partai2 Seribu satu Org Jujur di dunia ini satu org jujur ini ketika mengenal Uang maka semuanya akan berubah menjadi tanda tanya. kelam abu-abu ini hanyalah unek-unek dari seorang rakyat jelata"
2024-02-09T03:51:43Z,@user-cj7cw5rj1b,❤❤❤❤❤❤❤🇮🇩
2024-02-09T02:57:49Z,@user-ts3dr2un3m,Prabowo Jayaa
2024-02-08T16:41:18Z,@khoirunnisa8365,"Pak Anis terlihat sangat bangga kepada diri sendiri setelah memberikan tanggapan , karena ini FAKTA DAN SEMUA ORANG HARUS TAHU FAKTANYA ❤"
2024-02-08T15:17:48Z,@GuntoroGuntoro-vs9mx,GB zv.  Bcszgxf
2024-02-08T14:47:35Z,@user-oj9dj9rm3c,MP instal semua negara .ada polisi.pm.tentra .ikut peran serta .sy Siti waidah . Mohon .sy di Jambi .di depan hotel pundi sejati .di pempek Rizky   ❤❤❤❤❤❤
2024-02-08T14:44:36Z,@user-oj9dj9rm3c,Komentar  dari sy pribadi .siapa yg jadi president  semua bagus . Saya mohon pertolongan . Karena masa laluku itu .buat putriku anak seken .pragita anggani . Sy pribadi jadi takut .berapa org jebak . Maksa agar putriku jd perek  karena ada mata 2nya  Maluku. Buat siapapun jd BPK president tlg di tentang pelacuran .sy tdk mau anakku jd perek .usianya 16 tahun .karena mereka org maen duit  di bye  .tegakkan hukum .mhn yg ada Andi  sdh 3thn ikut maen  mohon di periksa di penjara MP saya bkn siapa 2 . Semoga salah satu dari BPK 2 terpilih .selamatmalam🙏🙏🙏🙏🙏❤
