publishedAt,authorDisplayName,textDisplay
2024-02-10T17:00:53Z,@ekafardiani1073,"Indonesia butuh Anies Baswedan, karena integritas kapabilitas visi misi untuk Indonesia maju ada di pikiran dan rekam jejak beliau.<br>berbanding terbalik dgn Jokowi yg terus menggaungkan Indonesia maju Indonesia emas tapi korupsi tak terbendung, padahal faktanya selama korupsi merajalela maka tidak akan pernah terwujud kemakmuran dan kesejahteraan rakyat Indonesia."
2024-02-06T22:30:51Z,@user-od5lt6jj3j,"Korupsi itu di mulai dari mental individu dan adanya kesempatan , kalau masing-masing individu sadar pasti terwujud bebas korupsi , makanya hidupnya biasa2 saja jangan mentang-mentang jadi pejabat sok2an dan bisa membawa keluarga bermental jujur terima apa yang menjadi hak"
2024-02-04T03:16:03Z,@syamsularifin190,Tidak sis sia saya pilih pak Anis rasid Baswedan dan Gus .Muhaimin Iskandar jadi presiden  wakil.presiden
2024-02-03T23:54:35Z,@ikaariyani-yr9zr,M<br><br>C.
2024-02-03T09:03:35Z,@toharist195,😁
2024-02-03T01:30:14Z,@budionobudi4802,"Karena kelompok Hrs, Bahar, FPI dukung Anies, saya Jawa Barat GK jadi pilih Anies , NKRI haga mati"
2024-02-01T17:32:31Z,@padukajack5396,"Bodoni erma hutabarat, penjilat ketik jokowiiio"
2024-02-01T09:38:15Z,@budisanto3023,urusan olahraga komennya masih politik aja .. weleh..weleh..weleh
2024-02-01T09:22:26Z,@kangbravo856,Menurut saya pasangan yang bisa komitmen mengenai pemberantasan koropsi capres no 3 Bp Ganjar Mahfud
2024-01-31T19:39:15Z,@aconkefendi6708,Q sih yg jelas misinya paati di laksanakan pasti no 3
2024-01-31T14:20:25Z,@Muhamadridwan21,"Pak anis sama pak ahok sebenarnya itu sama sama punya tujuan yang baik waktu menjadi gubernur jakarta, cuma bedanya pak anis menggunakan dengan cara yang halus dan pak ahok dengan cara yang tegas"
2024-01-27T16:03:00Z,@noobvsnoob6011,"paling bahaya jika Anies Baswedan jadi presiden, terutama bagi rezim yang berkuasa saat ini, sangat bahaya, karena akan banyak sekali pejabat yang dimiskinkan, jadi yaa berusahalah agar Anies Baswedan tidak sampai jadi presiden"
2024-01-27T10:45:24Z,@kismanolo759,"Wacanakan, rencana JOKOWI ttg karpet MERAH buat GIBRAN apabila kalah Dipilpres, <br>Am1n Am1n,  Semoga ANIES RASYID BASWEDAN Dan MUHAIMIN ISKANDAR diridhoi Allah jadi PRESIDEN WAKIL PRESIDEN REPUBIK INDONESIA<br>dan akan mengubah seluruh kebijakan yg bertentangan dengan Demokrasi termasuk penunjukkan Pejabat gubernur, Bupati dan WALIKOTA.<br>diseluruh INDONESIA demi keadilan HUKUM untuk semua."
2024-01-27T02:51:04Z,@yohanestandafatu5441,"Saya tidak mendengar gagasan dari ketiga Calon Presiden RI mengenai Hukuman buat KPK , Hakim Tipikor yang terlibat korupsi.....<br>kalau Saya menghendaki di jatuhi hukuman Seumur Hidup tampa Remisi.🙏🙏🙏"
2024-01-26T15:20:11Z,@user-yv8ji3fc2k,😊😊<br><br><br><br><br><br><br><br><br>Ojn
2024-01-26T10:04:32Z,@yohanestandafatu5441,naik gaji terus....korupsi lagi...naik tambah lagi gaji....terus begitu..... itu bukan pencegahan korupsi pak Capres  02.. parah kalau cara pencegahan seperti itu... 👎👎👎👎👎
2024-01-26T06:24:39Z,@desamelayanimuhajirin8749,"Apapun Judulnya di Jogetin aja, ok gas, ok gas 02 torang gas menuju 1 putaran✌😎🤪"
