publishedAt,authorDisplayName,textDisplay
2024-02-02T23:49:01Z,@user-fl9nx2kj3u,Bismillah Anies pilihan rakyat cerdas ❤❤❤
2024-02-02T23:11:53Z,@user-fl9nx2kj3u,Anies ❤ real pemimpin MasyaAllah🎉
2024-02-02T23:08:10Z,@user-fl9nx2kj3u,MasyaAllah gagasan Pak Anies sangat tegas dan berani <br>Smg beliau dilindungi dan diberkahi <br><br>❤you
2024-02-02T08:01:13Z,@EniWinawati-jy1qe,"Ah, anies koar2 ttg pemberantasan korupsi. Mana pertanggungjawaban anda ttg e- formula, penggundulan monas dan pertanggungjawaban keuangan dlm masa jabatan anda selaku gubernur dki? Lakukanlah hal2 itu dulu baru bicara ttg masa depan!"
2024-01-28T17:52:02Z,@domah6533,Yang pilih prabowo mana ya
2024-01-26T15:54:20Z,@itkentangg6074,"<a href=""https://www.youtube.com/watch?v=WgGcUbAA048&amp;t=5357"">1:29:17</a> Lawan Korupsi = Menaikkan gaji (kita semua tau, mereka korupsi bukan karena gaji nya kecil. Melainkan karena serakah)"
2024-01-26T06:41:18Z,@aseprohmandar6812,Kasus Keluarga dan Partainya Yang Terlibat Korupsi BLBI hingga sekarang malah Bebas.
2024-01-25T07:53:04Z,@okibernadi7747,objektif. paslon 01 gagasannya terbaik
2024-01-24T18:06:37Z,@habiebahkhan1549,"Saya berfikir gagasan memiskinkan koruptor, terus proyek 80T dgn bangunan ghoib gimana?? Bambu getah getih dgn anggaran ratusan juta gimana??? Lem aibon dan yg lain2 nggak tercatat, kelebihan bayar, itu gimana??  Apa perlu yg makan semua anggaran nggak ngotak itu di miskinkan?"
2024-01-22T23:54:43Z,@rahayu1720,Saya memilih paslon yang minim celanya.Semoga Amanah..❤❤❤❤
2024-01-22T19:06:17Z,@aminskw5642,hati hati dalam memilih keputusan
2024-01-22T18:04:42Z,@ikueyaitabashi7980,korupsi hukuman mati...
2024-01-22T17:36:23Z,@soleman1155,"pa yg di simak di kasih jbatan pegang jkrta ja g becus / g bagus, ko mlhan mau nyapres duh ancuuur ni Indonesia mau di bawa kmna🤕🤕🤕"
2024-01-22T04:35:02Z,@amasolehah1373,Koruptor miskin dunia akhirat.
2024-01-21T01:42:38Z,@Komodo107,O2  memangnya bisa menekan KKN?
2024-01-21T00:54:57Z,@Mologhachanel,Program yg ditawarkan Paslon GAMA...<br>Sangat manusiawi...luarbiasa.Lanjutkan sesuai rencana...dan tingkatkan sesuai yg sudah BP lakukan sebelumnya.
2024-01-20T20:48:52Z,@HartadiHartadi-pb9of,Yo menang sengkuni to gawene penghasut ambi durno
2024-01-20T19:26:33Z,@andreasbelitung7510,GAMA the best❤️❤️❤️🤟🏿🤟🏻🙏
2024-01-20T04:29:58Z,@MDTANURIBRAHIMY,Paling masuk akal dan the best gagasan dari pasangan 01
2024-01-20T02:06:54Z,@ChandMauritz,Yakin pak Anies❤Aminn☝️
2024-01-20T01:06:00Z,@AhmadDavidsusanto,Saya hakaul yakin klo Pak ganjar Mahpud di beri mandat oleh rakyat Indonesia pemimpin korosi dak kan begitu merja lela
2024-01-20T00:05:26Z,@AhmadDavidsusanto,Hukum di Indonesia masih bisa dijualnelilan gak perdulikan asip rakyat kecil
2024-01-20T00:03:40Z,@khocunasution5969,Pemaparannya lbh jelas pakbAnis.
2024-01-19T23:11:27Z,@user-ht1lb5ju1x,Kaya gibran tegang banget jdi fokus sama gibran😅
2024-01-19T22:20:03Z,@mozzaalta983,halahhh record bisa dilihat  siapa yg ga kesandung korupsi cuma prabowo bro ..bravo prabowo bersih kourupsi
