text,nama paslon
Nies anies yg kamu robah itu opo nies  anies robah robah  bicaramu manis nies  tapi,anies baswedan
"Jangan pernah percaya lagi dengan omongan Anis, dia memang pintar sekali ngomong manis, tapi kerja NOL BESAR. Kata katanya memihak rakyat, tapi kenyataannya NOL BESAR",anies baswedan
Si Anis ni sangat pandai bicara dn berjanji manis. Namun pelaksanaan NOL,anies baswedan
Manis kata buktingak ada anis waktu djakarta apa yg dkerjakan ngak jelas,anies baswedan
Anies mulutnya manis dan janjinyan palsu semua.,anies baswedan
"jiji banget sama anis dah haha, paling gedek sama orang yang ngomongnya manis. ujungnya pait pasti.",anies baswedan
acung jempol cara bicara pak anis... kata2 ny mantap. smga semanis omongan,anies baswedan
"Baru awal mulai udah mulai nyerang paslon lain, DKI jaman bapak menjabat gimana kabar pak Anis? janji manis nya kemana?",anies baswedan
Pk anis .wajamu trllu pandai berkata kata2 .kata2mu manis .tpi jkrtaa di dlm pempinanmu lalu jdi apa? Apa yg pk anis brikan buat jkrtaa  tahun2 lalu,anies baswedan
Pak Anies mulutnya ko manis skali ya.,anies baswedan
"Pak Anies pinter banget ngomong tapi tindakan nya kurang, Pak Prabowo Tulus dan tegas tapi tidak bisa menyampaikan niatnya, Pak Ganjar terlihat manis tapi kyk mau jadi boneka, semua punya kelebihan dan kekurangan masing-masingðŸ˜¢ðŸ˜¢ðŸ˜¢",anies baswedan
Pak anis..banyak dr kata2 pak anis itu bener dan saya setuju apalg yg bilang kl skrg kekuasaan/penguasa itu mengatur hukum bukan hukum yg mengatur kekuasaan...dan soal etika mmng benar harusnya dr atas memberi contoh jgn ada ordal..dan untuk yg korupsi bnr2 dimiskinkan..ga perlu janji Manis janji tinggi2 yg banyak pak anis..cukup anda amanah dan menjalankan apa yg anda ucapkan itu yg rakyat butuhin.. rakyat sdh krisis kepercayaan sm pejabat2 n pemimpin2 jd dg anda amanah psti rakyat dkung anda...,anies baswedan
Manis bgt ucapan janji anisðŸ˜‚ðŸ˜‚awas jgn tertipu lagi wkwkwkðŸ˜‚ðŸ˜‚,anies baswedan
"anis paling cuma bisa bicara manis doang dilihat dari gaya ny ajh pandai mengkai kata buat merayu rakyat, anis nol",anies baswedan
"anis pandai kali bicara. Diabetes kita dengarnya. bisa mati semua rakyak indonesia kena janji manis anis. Kita aja tau anis megang jakarta gimana. Buang buang dana ngk jelas untuk patung bambu yang ngk jelas dan lain lain<a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a>",anies baswedan
"Anis ni mulut manis sekali, tra tau de omng bnr ka tdk ni",anies baswedan
"Dari dulu pak anis emang paling manis dalam berkata juga janji, tp itu hanya ngapusi , seblm nya pernah bukan waktu dulu dia janji apa,tp buktinya tidak ada sampai sekarang,",anies baswedan
Anis mulutnya manis.... Tapi bukti nol waktu nangannin jkt... Tapi saya yakin yang sungguh2 mengabdi untuk masyarakat indonesia adalah bpk.. Prabowo... ðŸ’ªðŸ”¥,anies baswedan
Mulut PK Anis sangat manisðŸ˜‚<br>02 pasti menang,anies baswedan
Anis ngapalinðŸ¤£<br>Manis sekali mulutnyaðŸ¤£ðŸ¤£,anies baswedan
Sya Sebagai orang jakarta merasakan kepemimpinan anis amburadul.. Anis jadi capres cuma modal kata kata manis ajh.. Janji janji manis nggk ada bukti,anies baswedan
"Anis, bicara manis, hasil karya pahit.",anies baswedan
Saya tdk akan. Perya lagi sma omongan anis semanis apapun.. Cukup jakarta jdi pelajaran bagi sya...jgn smpai Indonesia 5 tahun ke depan jdi mainan anis.. Ni negara lo brow.. Bukan jakarta lagi.. Cukup jakarta yg jdi permainan anis.,anies baswedan
Anis kebayakan kata&quot;manis ujung&quot;materi listisðŸ˜‚ðŸ˜‚ðŸ˜‚,anies baswedan
Pak anis omonganya manis tapi hasilnya tragis,anies baswedan
Manisnya senyum anies <br>Seperti omongannyaðŸ˜‚,anies baswedan
anies omongannya manis bgtt gaada bukti kerjaa nya! bisa&#39; nya pak prabowo di nilai 10/100 sama seorang yang dulu di pecat!,anies baswedan
"Bgmnpun Anis B tdk akan bs jd PrÃ¤sident. Skrg pilihan hanya 2. GanjÃ¤r atau prabowo.<br>Anis jd menteri aja dipecat. Gantiin pak,Ahox tdk mampu. Pohon yg ditanam sekitar Jakarta di ganti dgn bunga Plastik ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚.  Sungai ciliung dittp dgn Plastik krn Bau d kotor. Anis bisanya cm  pintar menyusun kara2 manis d puisiðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚",anies baswedan
Tenang pak Prabowo..Bapak ttp di Hati...jgn seperti Anis...Ngomongnya Hanya di campur Gula makanya Manis di mulut tapi perbuatan Nol...ðŸ˜ðŸ˜…,anies baswedan
Anis pandai nya dirimu ber janji manis,anies baswedan
"Pak prabowo bener2 belajar dari masalalu soal debat...skrng malah di ulang oleh pak Anies..hmm capres kali ini memang banyak pelajran nya ,soal kemunafikan,soal kepentingan diri dan rakyat,soal gagasan dll..hmm Dengan bismillah gw milih golput karena tidak mau kecewa walaupun gw tau bpk prabowo terlihat berbeda kali ini gw salut ,tanpa text dan sesuai pemgalaman dan gagasan beliau gw apresiasi drpd sebelumnya..Untuk pak ganjar gww salut akan ide2 dan masih mengapriasi kerja2 yg sudah di kerjakan dan untuk pak Anies terlalu banyak bicara dan mencari2 kesalahan bahkan lebih jadi ke gosip bahkan sepwrti tidak bisa melihat kerja2 yg sudah di lakukan...hmm ingat Indonesia ada banyak suku dan bangsa jadi berhati2 dalam berjanji dan kalo bisa jangan manis2 doank harus pahit2 juga yg di katakan..Good luck aja apapun dan siapapun nanti nya Jaga negara Indonesia dr negara lain supaya aman ..soal kemiskinan dimana2 adaâ¤",anies baswedan
"Anis manis mulut, busuk hati, selalu menjatuh kan lawan , omonganya tidak sebanding, tidak berfikir sebelum ngomong, selama dia menjabat menjadi gubernur, apa kah tuntas semua nya mengatasi  banjir, ber fikir dulu sebelum ngomong, debat per tama saya suka, debat ini sakit hati, mf saya berralihðŸ˜¢ðŸ˜¢",anies baswedan
Anies itu bak kata pepatah semut diseberang lautan kelihatan tapi gajah di pelupuk mata tidak kelihatan sungguh sangat memalukan dia tidak sadar dengan kesalahan dia dan janji janji manis yang dia buat sadarlah bung Anies,anies baswedan
"Asal bukan anis, tar pada diabetes di kasih janji manis wkwkwk",anies baswedan
Anis mulut manis,anies baswedan
"Gue nilai anis sebagai pemimpin JKT 1/100<br>gue segabai orang jateng nilai ganjar sebagai pemimpin jateng 0/100<br>Kerja kerja yg bener Brebes jalan hancur semua malu pak ganjar sama Jawabarat dan jawa timur masa  jalan perbatasa langsung terjun bebas arah jaber mau ke jateng kaya loncat ke kubangan, dari arah  jatim ke jateng sama aja terjun bebas <br>Woi para  pemimpin buka mata kalian jangan cuman manis di mulut tapi ketika terpilih jadi pahit ke kehidupan rakyat",anies baswedan
"Anis mulut manis, nampak kali kau tukang menghasut, kau tanya pak Ganjar mau kasih skor brp, pak Ganjar kasih 5, itu hak dia, malah kau bilang pulak itu ketinggian, kan nampak kali kau mau menjatuhkan, aku aja yg rakyat biasa bisa membaca dari ekspresi mu, gak ada ketulusan, hanya ambisi aja, senyum mu itu pun kau buat2, nampak kali sandiwara, kau naik jd gubernur pun ada campur tangan pak Prabowo, dan kau sendiri bilang di acara mata Najwa, klo kau ga akan jadi orang ketiga diantara pak Prabowo, ini aja kau lupa sama omongan mu sndri...padahal aku yakin, kau sendiri udah tau klo pak Prabowo itu bakal menang di periode ini, kesel aku sama senyum palsu mu itu, nampak kali di paksa...memang lah perlu perubahan, harus malah, tp apa yg udh berjalan baik, di lanjutkan di sempurnakan, dan apa yg kurang ya di perbaiki cari cara yg lebih tepat biar sempurna....ntah apa apa aja lah...pokoknya Prabowo menang, udah pasti itu..yakin aku, Allah tau mana yg tulus sama yg gak.ðŸ˜¶",anies baswedan
anies kebayakan kata&quot; yg gk masuk akal dg janji&quot; manis,anies baswedan
"sok sok an anies dg kata kata manis nya, pdahal mimpin jkt aja kalang kabut, masih bagusan zaman ahok dulu, saat ini saya masih netral ,tpi saya sudah tidak suka dg anis, pilihan saya tinggal 2 prabowo atau ganjar, merdeka !!! ðŸ”¥ðŸ”¥",anies baswedan
Terlalu banyak bucara anis manis bicaranya banyak bicara banyak bojong,anies baswedan
Jngn prcaya mulut manis anis,anies baswedan
Anis  jadi pantun  dan penyair kata2nya manis,anies baswedan
Aniis si mulut manis<br>Ganjar orang yang kurang diajar,anies baswedan
Diabetes kebanyakan janji manisnya mas anis ðŸ˜®,anies baswedan
Omongan mu pak Anis manis Kya gula Jawa,anies baswedan
