text,nama paslon
Ngomong nggedabrus lagi muhaimin,muhaimin iskandar
"imin ngomong terlalu meng ada ada,kliatan matanya ngedip berlebihan,artinya hati dan otaknya tidak sinkron",muhaimin iskandar
.saya.  Ktawa.   Pd akhir waktu.  Debat.   Lha.   Mas.   Gibran.    Jawaban.  Das des.   Sak iprit.   Singkat padat trpercaya.  Berbobot.   Mantab.  Di dengarkan.  Itupun.  Masih.  Sisa. Waktu.     Lhaaa. Ck.  Imin. Nyrocos.  Ngalor. Ngidul.   Ujung2nya.   Ngomong.  Blum. Tuntas. Udah.    Ting.  Tung. Ting tung. Waktunya    ðŸ˜ƒðŸ˜ƒðŸ˜ƒ         yg jelas.   Ms gibran.    Panggah.  Oke.      Dn. Pk.  Mhfud.    The bhest   ðŸ‘ðŸ»ðŸ‘ðŸ»ðŸ‘ðŸ»ðŸ‘ðŸ»ðŸ’ªðŸ»ðŸ’ªðŸ»ðŸ’ªðŸ»ðŸ’ªðŸ»,muhaimin iskandar
"Min Imin, ngomong opo sih ðŸ¤£ðŸ¤£",muhaimin iskandar
Muhaimin kalo ngomong kok begitu ya.,muhaimin iskandar
"Cak Imin itu ngomong apaan sich,,, retorika doang,,, Rakyat kog di bodohi dengan bansos,,",muhaimin iskandar
"Astagaa,, aiminnn ngomong apa siiihhh,,,, keningku berkerut ga habis pikirrr.. ðŸ˜­ðŸ˜­ðŸ˜­",muhaimin iskandar
muhaimin sangat meragukan..nampak kali kalau cuma ngomong doang,muhaimin iskandar
"Saya tiba2 jadi SDM rendah saat cak Imin ngomong, susah otak saya untuk mencerna apa yg dibicarakan",muhaimin iskandar
Imin ngomong apa niðŸ˜…ðŸ˜…ðŸ˜…ðŸ˜…,muhaimin iskandar
Cak Imin paling banyak slip of the tongue. Tanda bahwa dia grogi. Ngomongnya jadi belepotan.,muhaimin iskandar
Imin sama si mahmud gak jela dari awal ngomong ðŸ˜…ðŸ˜…ðŸ˜…ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚,muhaimin iskandar
Imin ngomong apa sih.. Bangun ikn aja dia gak setuju.. Tapi tadi bilang mau bangun 40 kota baru setara jakarta.. Aneh,muhaimin iskandar
"Pakde imin,kamu ngomong apa sih,omdo ya...ðŸ˜…ðŸ˜…ðŸ˜…",muhaimin iskandar
Coba deh nonton popcas cak imin bareng deddy<br> wahwah pinter ngomong doang tp hnya janji partai ðŸ˜…ðŸ˜…,muhaimin iskandar
"Semakin yakin milih pak prabowo gibran, klo cak imin cocok klo berpasangan dgn anis klo ngomong tinggi tp susah untuk dia nnt merealisasikan ðŸ˜…",muhaimin iskandar
"Min cak imin.. sok2an sll bilang gibran g bs ngomong , bodo dll, lah anda menyampaikan visi misi aja ngerpek kertas di meja.. gayamu boss boss.. ternyata sama spt capresmu. Pinter ngomong tok padahal kosong ðŸ˜‚",muhaimin iskandar
ngomong apa sih cak imin ðŸ¤ðŸ¤ðŸ¤,muhaimin iskandar
Imin ngomong apa si muter muter jawaban,muhaimin iskandar
IMIN NGOMONG APASIðŸ˜‚,muhaimin iskandar
Imin ngomong ny gagap lawan gibran,muhaimin iskandar
"Imin oh Imin, ngomong ny gagapðŸ˜…",muhaimin iskandar
Imin Kebanyakan ngomong nyelepEt nih bapakâ€ kacamata,muhaimin iskandar
"disni nampak jelas , usia dan gelar tidak pengaruh karena hanyalah angka ,, imin cuma ngomong nyelepet , selebihnya imin grogi dan gak nyambungðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚",muhaimin iskandar
Btw cak imin ngomong apa siðŸ˜‚ðŸ˜‚ðŸ˜‚ serius nanya,muhaimin iskandar
All in PRABOWO. Muhaimin guya guyu ae lek ngomongðŸ˜‚ðŸ˜‚ðŸ˜‚,muhaimin iskandar
Cak imin cara gerak gerik ngomongny kok gitu yaðŸ˜…ðŸ˜…ðŸ˜…,muhaimin iskandar
Wuahhh imin berlibet ngomongnya.,muhaimin iskandar
"Buat gua Muhaimin ga pentes pak bapak ngomong etika, sedangkan calon presiden bapak aja ga ada etikanya bapak lebih Pante ngomong etika ke pak Anis deh kayanya ðŸ˜…ðŸ˜…mana tim ses yang bilang lfp mulu tapi cawapres nya ga ngerti ðŸ˜…ðŸ˜…",muhaimin iskandar
Awas kecolok mix itu muka ente imin <br>Ngangguk ngangguk terus kalo ngomong,muhaimin iskandar
"Kok aku gak paham sih,Pak Muhaimin ngomong apaanðŸ˜©",muhaimin iskandar
Gua kalo lihat cak imin itu kya gmnh ya lucu muka ny bikin ketawa klo dia lg ngomongðŸ˜‚ðŸ˜‚,muhaimin iskandar
"belimbing sayur ya belimbing sayur aja, jangan sok pinter dan cerdas, baru lahir kemarin terjun ke pemerintahan, sudah mau menjatuhkan seorang profesor, dan si cak imin yang bisanya cuma ngomong aja, sama kayak capresnya,...",muhaimin iskandar
Cak Imin cak imin.kayak plawak aja lu min.ngomong sok bijak.,muhaimin iskandar
ngomong apa muhaimin..? jelas reklamasi impestor asing.,muhaimin iskandar
"Mafud, imin, ga ada terlihat visi misi nya,, ngomong nya ngawur",muhaimin iskandar
Kebanyakan ngomong cak Imin cak Imin,muhaimin iskandar
"Bingung gw sama cawapres no 1, slepet slepet mulu wkwkwkwkwk dikira kita anak muda bahasanya kyk gt kali yah slepet slepet wkwkwkw tpi tiap cak imin ngomong slepet pengen ngakak<br><br>Terima kasih mas gibran sudah mengucapkan selamat natal, ini menunjukan kami sebagain kaum minoritas tidak di lupakan oleh mas gibran. Salam BHINEKKA TUNGGAL IKA â™¡",muhaimin iskandar
Cak imin ngomong gk jls .ðŸ˜…,muhaimin iskandar
Cak  imin  ngomong  aja  blepotan,muhaimin iskandar
Cak imin ngomong ny blibet sma nlen ludan ðŸ˜‚,muhaimin iskandar
Dulu itu gus imin disuruh bapak mu hey. Ngomong ngasal! Subtansi ny mana?,muhaimin iskandar
Muhaimin kalo habis ngomong bibirnya gitu. Gue gemes bgt liatnya,muhaimin iskandar
