publishedAt,authorDisplayName,textDisplay
2024-02-09T04:59:31Z,@Ziz.official28,Sarangheo mas Gibran ❤😊
2024-02-08T17:14:07Z,@permatadindaa,ga banget presenter cowonya di debat yg ini haha
2024-02-08T16:15:33Z,@user-ch8io2sj5y,"Apa hubungan kebun binatang dgn kenaikan pajak, saya bingung  mohon yg bisa menjelaskan tolong ya ...di rasionalkan"
2024-02-07T19:39:50Z,@rdali,"bedanya paham apa yg di bicarakan sama bicara yg diketahui, kalo jaman sekarang ga paham teknologi ya negara ini bakalan ketinggalan sama negara sebelah. jurus kalo ga paham ya ngoceh yang gitu2 aja dari jaman kakek2. teori menegakan hukum ya siapa yang ga paham, tapi solusinya apa hukum kita ini tidak pernah berjalan sesuai tujuannya. Mungkin hukum kita ini emang di buat untuk kepentingan pihak tertenju saja."
2024-02-07T12:43:22Z,@beyourself1306,Serius nyesel gak nonton live debat keduanya juga.😭💔💔
2024-02-07T12:42:11Z,@beyourself1306,"Saya dulu punya cita-cita pertama yang di impikan yaitu jadi pemain sepakbola profesional. Kalo impian saya tercapai masuk timnas Garuda, bermain di Eropa, juara Piala AFF/Asia sudah berjanji sepenuhnya, saya akan memberikan hukuman yang setimpal bagi para koruptor, hukuman nyawa dibayar dengan nyawa lagi, bagi pezina hukuman kebiri merata setiap daerah, membangun rumah sakit, sekolah, masjid, dan bantuan sosial bagi orang tidak mampu, itu lewat sepakbola yang saya cita-citakan dan impikan. Yaeahh sekarang apalah dayaku ini, hanya sebatas angan-angan saja yang bekerja seorang buruh pabrik hanya sebuah mencari uang saja, daripada menganggur tiada guna dirumah, hidup memang tidak adil jadi biasakanlah seperti diriku.🥺💔🥀"
2024-02-04T21:31:26Z,@denyoficial-mx6cs,hidup prabowo_gibran
2024-02-04T18:30:52Z,@AdamSaputra-lw2lb,Cukup terimakasih banyak
2024-02-04T12:53:50Z,@tamasatria629,02❤❤
2024-02-03T20:23:08Z,@danielsquad2387,"Begini lah kalau anak kecil pidato , prabowo gibran sama sekali tidak mempunyai aura wibawa sebagai pemimpinan ,  karna anda ingin menjadi presiden dan wakil presiden hanya untuk kepentingan anda sendiri, dan itu sudh jelas dan slalu di ucapkan peabowo , hanha tentang sumber daya kita , kaya kaya dan kaya yg slalu d ucapkan prabowo, nah dri situ kita bisa liat betapa ngeri nya jika prabowo terpilih, terlihat dan sangat jelas sekali munafik nya mereka 🤮 bocil mending lu pulang bocah"
2024-02-03T14:12:32Z,@kikidwirejeki571,Ngomong apa?
2024-02-03T06:46:44Z,@Adoreusomuchh,Keliatan ya etika debat mana yg baik mana yg tidak
2024-02-03T06:09:39Z,@dwieratnawinarsihkuntjoro6881,"Cak Imin Cak Imin…. Pemerintah lamban itu ya karena mental PNS nyaa. Departemen yang sudah banyak anak muda nya udah lebih cepeeeeettttzzz… kalo mau cepet, ganti dengan yg muda 🤔"
2024-02-03T06:03:34Z,@dwieratnawinarsihkuntjoro6881,"Membangun infrastruktur harus disertai dengan membangun mentalitas SDM yg berkualitas. Dan hal ini hanya dapat dilakukan oleh orang muda, yg sangat gerah dengan cara2 lama dan gak bisa bisa keluar dari lingkaran hidup nyaman orang lama yg sudah menjadi bagian dari korupsi. Makanya kalo bongkar2 masa lalu, ngga ada lah yg gak kotor. Yang penting adalah kedepan TIDAK LAGI dan kerja untuk memperbaiki’nya. Kerja kerja kerja. Kita perlu pemimpin yg bisa kerja kerja kerja. Jokowi 3 periode, pilih 2"
2024-02-03T06:00:27Z,@dwieratnawinarsihkuntjoro6881,Pemerintah itu jangan hanya sekedar membantu tp perlu mendidik yg dibantu. Agar yg dibantu tidak terus terusan nunggu bantuan. Tapi perlu untuk yg dibantu keluar dari “mental dibantu” menjadi turut membantu.
2024-02-01T04:22:06Z,@yuliantikaputri6037,Pokoknya mah terserah cak imin aja ngelawak nya seru kok 😂
2024-01-31T18:42:52Z,@anandanurmaghfira8723,"liat isi penyampaian bukan orangnya, someday pas join capres bisa tau jwbnya kek gimana"
2024-01-31T00:08:11Z,@pets_lover79,40kota disulap😂😂😅😅
2024-01-30T09:56:29Z,@pets_lover79,"Ini lah yang disebut, jangan seorangpun menganggap engkau rendah karna engkau muda jadilah teladan dalam perkataanmu, dalam tingkah lakumu."
2024-01-30T08:00:06Z,@user-nu4cy3wm4j,"Pak mahfud tau kesalahannya dari situ,lalu knp gk ditindak lanjuti... pdhl prof punya wewengan untuk itu krna prof adlh menko nya... <a href=""https://www.youtube.com/watch?v=NbVudON5cDE&amp;t=7040"">1:57:20</a>"
