publishedAt,authorDisplayName,textDisplay
2024-02-10T18:59:44Z,@SuryoPramono-gd8kd,Lllllllllllllllllll0plppppppppppppppppppppppppp00pppppppppp0ppp
2024-02-10T17:26:35Z,@rosnawati8396,Jawaban recehan mntaaapp prof gas truss
2024-02-10T09:20:18Z,@masakikoizumi7011,"WOI MAHFUD, GIBRAN ITU ANAKNYA JOKOWI BUKAN JOKOWI!! LU MAU NGETES ANAKNYA APA BAPAKNYA??!! GA USAH BAWA2 PRESIDEN SEBELUMNYALAH, GA NYAMBUNG!!!!"
2024-02-09T12:25:04Z,@user-do5uy8nb8q,02
2024-02-08T19:16:45Z,@Ahiewan,Debat pertama sampe debat terakhir yg diandalin..etika..etika...ahlak...ahlak...😂😂😂😂😂
2024-02-08T19:15:34Z,@Ahiewan,Emang kalo muhaimin jd wapres mau kasih lahan????😂😂😂😂😂😂
2024-02-08T18:17:40Z,@gifanfahrijan6604,Hayang nonyok si gibran aing mah
2024-02-08T17:48:24Z,@bayualhidayahalhidayah811,intinya pak mahfut gagal menyelesaikan masalah. sebagai mentri. di beri tugas sebagai mentri untuk menyelesaikan masalah pak intelijen kok kebobolan informasi ada mafia yg mencuri aset bumi nkri
2024-02-08T17:05:57Z,@VivoY21-wh7ld,"jangan bawa suku pak,kalimantan full dayak"
2024-02-08T15:00:13Z,@FauzanAzmi-lc4js,Mahmud md fisik misi ny kok membaca ya..<br>Bawak catatan..<br>Ngopek kah😂😂😂
2024-02-08T02:44:02Z,@AdityaPratama-lr7jh,disuruh menyampaikan visi misi malah meng kritik dasar imin mahfud keplar
2024-02-08T01:03:53Z,@ananda1617,gak usah nunggu sudah selesai
2024-02-08T01:02:57Z,@ananda1617,mendingan nonton nya dirumah kalau yel yel bebas
2024-02-07T15:10:04Z,@sayyem6221,Tetep mas gibran
2024-02-07T11:16:42Z,@12345678964487,Cak imin tdk menguasai
2024-02-07T08:05:16Z,@monicapalankayak7523,Penentu  Tuhan Amen🙏🙏😘
2024-02-07T02:32:55Z,@nopitafitriyanti1630,"Sehat selalu y pak muhaimin iskandar, semoga BPK sukses di pemilu 2024 ini, SALAM DARI TANJUNG BATU"
2024-02-07T00:19:20Z,@SamsungGalaxy-kt1mu,ADA YG HANYA PINTAR BICARA TAPI BELUM TENTU BISA MELAKUKANNYA😂😂😂
2024-02-06T22:40:06Z,@AmahKonselor,Si gibran itu2 aja yang di omongin wkkwwkk😂😂
2024-02-06T22:28:31Z,@AmahKonselor,Gibran gak nyambung wkkwkwk😂
2024-02-06T22:26:42Z,@AmahKonselor,"Ya bapak lu janji gak infor gibran nyata nya infor, janji palsu ,pasti lu sama seperti bapak lu jokowi janji palsu wkwwk😂"
2024-02-06T22:12:01Z,@AbdulRohman-gl7mi,Visi misi Imin ko susah d cerna ya.
