publishedAt,authorDisplayName,textDisplay
2024-02-10T16:05:46Z,@calonpeternaksapi9383,"Ini kalo yg pilih 2 aneh bgt sih, bencana klo 2 bnran jd presiden"
2024-02-10T16:05:33Z,@calonpeternaksapi9383,"Ini kalo yg pilih 2 aneh bgt sih, bencana klo 2 bnran jd presiden"
2024-02-10T12:55:38Z,@rikanurainia7521,"Aku percaya sama Pak Anies, karena selalu ada aja ide out of the box darinya.. misal aja di masa kampanye saat ini, dijaman yg sulit ini cuma 01 yg bisa kerahin masa tanpa dibayar sepeserpun.. malah pendukung yg keluar uang banyak, itulah hebatnya Pak Anies.. jadi aku percaya insyaallah Papua akan mendapatkan kedamaian dg cara keadilan yg out of the box pula.."
2024-02-08T06:55:36Z,@aliyadnf,Tapi bagaimana jika pilihan rakyat dimanipulasi?
2024-02-07T11:31:33Z,@user-zk8vz8yh9b,❤merdeka.indonisia❤❤
2024-02-07T11:08:17Z,@channa7993,🙂✌
2024-02-06T18:33:38Z,@AAAAAK5,Indonesia lebih bebas bersuara berdebat berbanding di Malaysia
2024-02-04T16:33:50Z,@autumnsmood,Time-lapsenya dong
2024-02-04T15:26:20Z,@ahmadedwin8675,1putaranuntuk paslon no 1
2024-02-04T13:22:35Z,@user-fm5ql6vv4w,Costum yng siap Presiden RI 2024-209 mulai debat pertama sampai kelima adalah paslon 01 AMIN
2024-02-03T19:43:15Z,@rissaazizah6766,"Disini abah Anies masih gigi 1, nanti di debag terakhir kayanya udah langsung pake gigi 5 deh. Semangat Abaaaaah❤❤❤"
2024-02-02T02:04:26Z,@user-rr8jo2qd1g,Semuanya hanya pandai berkata2 terutama ganjar dan anies tolong kurangkan janji janjinya apa bila diantara dua ini menjadi presiden apakah anda akan menepati janji anda dan apabila anda menepati janji anda pasti hutan negara akan meningi jadi apabila hutan negara meningi sudah pasti janji anda akan hangus.
2024-02-01T11:18:19Z,@user-hw2jy3tg7g,Pak prabowo tetap semangat
2024-01-30T04:47:43Z,@dhickytriaji12,kubu 1 dan 3 hanya teori2 sdangkan 02 selalu menjelaskan yang ada dilapangan . makin yakin 02 1 putaran
2024-01-30T02:41:26Z,@massukeri7598,I love pak Prabowo
2024-01-30T01:48:41Z,@Nrdharyna,Baarokallaahu fiyk abaaahhh. Kereeennnn bgt cara abah menanggapi yg lain.
2024-01-29T13:18:27Z,@opungbens,"ni KPU mana kog tidak melaksanakan tugasnya sebagai juri pelaksanaan pemilu yang adil dan tegas.Pada debat ini KPU harus nya menjadi Juri yang adil dan tegas terhadap pelaksanaan debat  Capres dan Cawapres. Harusnya harus ada priiwit  dari KPU bila ada Peserta menyampaikan materi yg  tidak sesuai dengan Materi debat. Masa KPU diam saja sampai sekarang tidak merespon atas adanya peserta debat Capres menghina peserta lainnya dengan mengatakan niali kinerja 5 dan 11 dari 100 . Pertanyaan receh  dan kembalikan ke moderator. Penghinaan juga masih lanjut di luar debat dengan menyidir tanam singkong tumbuh jagung. KPU mana  kinerjamu, dan menghina ibu ibu  dosa besar melahir anak yang tidak baik. emangnya sejak kapan dia menjadi Sekretas Sorga dan Neraka.  kalian punya hak dan kewajiban untuk Pelasanaan Pemilu 2024, bertugasnlah baik dalam debat maupun di luar debat. Makasih"
2024-01-29T08:05:28Z,@user-jx4lq7zw5c,TidAk bersembunyi tapi bermain kata kata ajA ya
2024-01-29T07:40:16Z,@user-jx4lq7zw5c,Jakarta udah sempit tanah turun terus
2024-01-29T07:05:44Z,@user-jx4lq7zw5c,Waduh no 1.jangan 2 biaya partai dimasukin apbn.
2024-01-28T01:53:10Z,@megatristanto6258,"Dialog bagus dg pimpinan separatis Papua, tp jgn sampai diijinkan membuat partai lokal spt aceh"
2024-01-28T01:48:31Z,@megatristanto6258,Saya berharap skb 3 menteri dihapuskan menyangkut perijinan pembangunan rumah ibadah. Masih dibuat rumit pembangunan rumah ibadah
