publishedAt,authorDisplayName,textDisplay
2024-02-02T08:23:02Z,@bresinarjonan2468,"<a href=""https://www.youtube.com/watch?v=qzt3c0KD0Z4&amp;t=14040"">3:54:00</a>"
2024-02-01T12:26:32Z,@SyafiraDwidamayanti,Ganjar 🤟🤟🤟
2024-01-25T15:45:36Z,@sellincute-eu8yu,Sudah yaa prabowo adalah presiden RI
2024-01-25T15:45:00Z,@sellincute-eu8yu,"Prabowo di paksa buka data itu kan jebakan,nnti giliran Prabowo buka data nnti dia bakal di hina lagi serba salah apa si mau kalian wahai wni?"
2024-01-24T22:10:58Z,@user-zm8pw3me1u,Prabowo pasti menang
2024-01-24T14:08:00Z,@RickySamara2-wg4is,Ini menurut pandangan sya terserah kalian seperti apa <br>01 anis itu bermuka 2 lain mulut lain hati.... Kanapa setelah berbicara harus jilat bibirnya... <br><br>02 prabowo orang yg keras tegas dan hati lembut pengalaman pula <br><br>03 ganjar itu pintar dan baik juga tapi sayangnya tida punya pendirian.... Teman nya sja dihianati apa lagi rakyat.... Pasti ada yg paham..... All in 02
2024-01-18T11:30:59Z,@amrinsyaihu8122,NTB insyaallah smg dapat 75% suara untuk AMIN.....
2024-01-18T04:43:19Z,@bulbulbul3325,"al inn anis, ganjar"
2024-01-17T05:40:40Z,@abdulwahabnasarawn4899,"Smga Allah berpihak sama capres yg btl&quot; baik, cerdas, ramah, sopan, sholeh dan ber Akhlak sempurna, bertindak dan berbuat tdk sesuka hatinya, tapi sllu ingat sama Allah, KABULKAN LAH YA ALLAH😢😢😢"
2024-01-16T19:09:31Z,@ngalorngedol4467,PEndukung aNIS
2024-01-16T09:37:45Z,@Prei_Satru,ttp 02 ki...
2024-01-15T11:48:01Z,@lilianingfitria9962,Pak Prabowo luar biasa... Dukungan penuh untuk pak Prabowo ❤❤❤
2024-01-15T11:48:01Z,@lilianingfitria9962,Pak Prabowo luar biasa... Dukungan penuh untuk pak Prabowo ❤❤❤
2024-01-15T05:57:41Z,@stevenh1713,Bisa ngomong doang gak becus kerja…tahu dong kalian😂😂maju trus pak Prabowoo… 💪💪✌️
2024-01-15T04:06:46Z,@fujoshiotaku3332,Doa kami......ayo Aaminkan....<br>Ya Allah jadikan sifat dan karakter orang-orang dan anak cucu keturunan nya yang mendukung Paslon capres dan cawapres nya sama persis dengan sifat dan karakter yang dia dukung..... Aamiin
2024-01-14T17:02:24Z,@EgyAryana-vn1rh,Prabowo
2024-01-14T15:08:57Z,@balonkangker5957,Bpk anies yg lain depat ngomongin wisi misi lah bpk anies ngomongin org dri awal big no
2024-01-14T14:20:13Z,@user-uz2wo8zp2f,"He 02,apa yg dìtakìuthi,kan suve  amin no.2."
2024-01-13T14:44:51Z,@omarhasan1713,Salam perubahan ❤ AMIN kan saja dulu
2024-01-13T14:43:59Z,@omarhasan1713,Yang bersih cerdas ANIES BASWEDAN ❤
2024-01-13T14:42:57Z,@omarhasan1713,Yang amanah..tabliq.. Fathonah..ok
2024-01-13T14:41:25Z,@omarhasan1713,Jgn lupa hanya nomer satu pilihan rakyat❤
2024-01-13T14:38:48Z,@omarhasan1713,Tdk tranparan
2024-01-12T14:39:10Z,@irwanto9292,01 licik dan menjijikan<br>02 temperamen dan menyedihkan<br>03 diam-diam memanfaatkan situasi<br><br>dan KPU sebagai penyelenggara kayaknya emang sengaja mengatur acara seakan-akan ini jadi perseteruan antara 01 vs 02
2024-01-12T13:46:09Z,@wahyunisriyah5680,"Anis cuma omdo=omong doang.<br>Berkaca dari  gubernur DKI,program anda dulu tercapai/tidak.hahahaha"
2024-01-12T12:53:42Z,@imierawatialwi1834,Debat yg terbaik ya pak Ganjar dan.pak Anies
2024-01-12T11:00:36Z,@ratnafatmaladewi2957,sebenaernya ga mencla mencle kak dia sedang melindungi negaraanya 🥺
2024-01-11T12:28:14Z,@user-dr8fn4zx1t,All in prabowo
2024-01-11T10:06:18Z,@user-hr4in4ri6y,"Pak prabowo sangat menyebalkan karena terus melakukan serangan personal seperti &quot;Belajar lagi yah&quot; Atau ketika di acara lain beliau bilang &quot;BEGO&quot; ke orang lain<br><br>Pertama kali dalam sejarah, ada seorang capres yang budi pekerti nya 0"
2024-01-11T08:16:02Z,@adison-gokil4533,"Prabowo lucu banget, sampe malu guaa😂, yang melanggar etika siapa yang dibilang tidak beretika siapa lawak lawak, udah tua pak udah waktunya nikmatin hidup, harta kekayaan banyak, malah Masi mau mikirin negara, jadi nelen ludah sendiri kan sama omongan nya😂"
2024-01-11T07:04:32Z,@mayorseafood4172,anis n.ganjar sdah nerasakan bakal kalah sehingga denggan brutal menyerang prabowo. pak prabowo orangnya natural. nggak banyak gimik. klo yang ono klihatanya benci sekali sama pak prabowo semoga pak prabowo kuwat
2024-01-10T15:58:07Z,@alvinaramayanti2811,"pak anies pak aniess, karna keperluan kpribadi jdi licikkkk"
2024-01-10T15:53:06Z,@IntanHCN1122,"Dari komen dan bbrp social media yg banyak pendukungnya pak prabowo, klo yg jd bukan pak prabowo yaaaaaa patut dicurigahiii😅😅😅😅"
2024-01-10T14:28:52Z,@Birnasaniah,"SE andai nya Jokowi 3 periode.  ,, aku pilih Jokowi"
2024-01-10T11:42:08Z,@sapulidi00,"Tenang wahai wayang&quot;partai 😂 rakyat sudah cerdas tau mana pemimpin yang bark uktuk negara ini,!"
2024-01-10T04:33:52Z,@resebae8107,Bagaimana pun cara kalian untuk menjatuhkan paslon tetapi pilihan kami tetap prabowo gibran
2024-01-10T04:22:41Z,@verasianturi4447,"Jokowers,,, Elingg,,, eLINGG,,, Coblos NO. 3 QUALIFIED,, Semakin BULATT UTK MEMILIH GANJAR,,, TERGANJAR GANJARR,, Krn sempat sy galau antara milih GIBRAN APA GANJAR,,, TERNYATA Ada GUNANYA JG DEBAT INI,,, GW YG GALAU JADI MELEK &amp;  ELINGG,, FIX GANJARR,,BERKUALITAS CERDAS,,LEADERSHIPNYA BAGUS,,"
2024-01-10T02:32:07Z,@agungwibowo1362,"Pak Anis dalam debat mengganas tapi itu itu aja yang menjadi target presiden Jokowi  Dan paslon 2 jarang melempar gagasan tetapi yang dipojokan cuma anggaran negara, klu kita beberkan secara terbuka jumlah anggaran musuh negara dpt kalkulasi kekuatan alustita kita"
2024-01-09T17:01:16Z,@IntanHCN1122,Galfok pertanyaannya C mulu
2024-01-09T15:31:10Z,@ashumanbeing9043,"prof. fredy bl tobing yakin ga d latar belakangi 1/3,dr penyampaiannya pun keknya beliau selalu pro dengan paslon 1&amp;3 pdahal jelas2 paslon tersebut SELALU meroasting paslon no 2 dan tidak bisa memposisikan bagaimana no 2 saat d pojokkan untuk ungkap data, wahai bapak prof fredy bp anis dan bp ganjar acara kaya gini pasti luar negara pun bisa nonton kalo di umbar mereka semua bisa tau strategi pertahanan negara kita. kenapa terlalu mengulik data kenapa terlalu memojokkan lawan apa tidak ada potensi diri yg harus d tonjolkan sehingga nafsu bp anis dan bp ganjar terus menerus menjatuhkan lawan?"
2024-01-09T15:25:01Z,@ashumanbeing9043,tak dongakno pihak ngendi wae sik nyurangi Pemilu semoga karma di bayar kontan aamiin.
2024-01-09T15:09:08Z,@ashumanbeing9043,"komentator nya keknya di bayar sih, mihak ganjar sama anis trs"
2024-01-09T14:39:35Z,@VieraAnnisaOfficial,"SEMOGA ORANG-ORANG YANG CURANG, DITUNJUKKAN OLEH ALLAH DAN DIHINAKAN SEHINA-HINANYA DI MATA SELURUH MASYARAKAT INDONESIA. TUNJUKKAN KUASAMU YA ALLAH. AAMIIN."
2024-01-09T14:21:14Z,@AraiYanti-ql8xb,Garis keras nih Parah no 01 dn 03 sbk ngurus 02
2024-01-09T11:53:19Z,@user-uz5ef6wf8j,1 dan 3 . Hanya mau menang denat wlaupun menceng . Mau ajak gaduh kayaknya 1 dan 3 hihihi
2024-01-09T11:51:53Z,@user-uz5ef6wf8j,1 dan 3 . Hanya pokus pada hartanya pak prabowo dan kepribadian  . Bkn bicara masalah negara
2024-01-09T11:50:14Z,@user-uz5ef6wf8j,Banyak omong tak penting klo kerja rdk selesai
2024-01-09T11:33:25Z,@dessysetiya551,"Anis caper, ambisius, kenapa harus menyerang personal."
2024-01-09T11:25:37Z,@dessysetiya551,"Anis cari muka terus, dan menjelek2 kan lawan. Padahal belum tentu dia bisa menjadi lebih baik."
2024-01-09T09:21:30Z,@sitiromlah9685,"Dari sini saya melihat jelas kalo paslon 2 dan 3 itu sama, satu regu, paslon 2 jelas sinis banget giliran sama paslon 1. 😅"
2024-01-09T08:59:09Z,@HossamMido-21,Terima kasih.
2024-01-09T08:48:39Z,@irmayanuarita,Bowo gemoy
2024-01-09T08:42:57Z,@Elannr,"Goreng terus chef, goreng 😂"
2024-01-09T08:21:16Z,@alfonso.fualbert7322,Kok Paslon no 1 dn 3 bisa dpt data Menteri Pertahanan? Kebocoran darimana ini? Sedangkan data Negara gabisa disebar sembarangan dan hanya orang-orang tertentu yg bisa mengakses
2024-01-09T08:15:25Z,@Fatikhudin,"Pak Prabowo......katanya pernah menggadaikan tanah untuk mendukung om Anis ya, keren banget udah dibalas hari ini pak.<br>Semoga Pak Ganjar dan Pak Anis tetap kuat<br>untuk menghadiri pelantikan  presiden RI  2024 Bapak Prabowo  Subianto."
2024-01-09T07:32:05Z,@Doni_Fernandes,"Omongan ngga masuk akal wkwkw, cuma orang tlol yang percaya sama yang itu wkwkwk😂"
2024-01-09T07:22:12Z,@naomiconniettasilaen311,"Heran+sedih banget liat capres1,3 ini mengapa kesan nya ingin menjatuhkan pak prabowo yak , apa pak anis g ingat dia itu di pecat presiden jadi menteri pendidikan,dan saya respect sama pak Prabowo 💙"
2024-01-09T06:56:11Z,@ngobrolinteknologi3329,Prabowo Prabowo..
2024-01-09T06:55:50Z,@neni3239,"Dari temanya aja menjurus ke prabowo kn? Jls capres 1&amp;3 ksmptn utk menyerang prabowo,tpi salut sma prabowo,tenang aja ga terpancing emosinya😂"
2024-01-09T06:23:08Z,@retnomanggali9076,Pak prabowo ❤
2024-01-09T06:08:00Z,@nanahamida3609,"Menurutku yg penyempaiannya rapi tuh pak anis sm pak ganjar, kalo pak prabowo rada belepotan kalo menyampaikan gagasan. Kalo kinerja sih ga tau ya, cm komen mslah ketrampilan bicara aja"
2024-01-09T05:46:48Z,@vanillaura7502,Saya sudah memberi nilai pak Anis tetap pak Prabowo yg dpt nilai seratuss
2024-01-09T05:37:32Z,@sisiliakristina5781,Prabowo Gibran ✌️
2024-01-09T05:35:04Z,@raazzahra4180,Tenang Pak prabowo Kami tahu mana yang pencintraan dan mana yang suka jadi kompor isu dan mana  yang bener2 tulus. Allah tidak akan membiarkan hambay dianiaya semena2. kami mendukungmu bukan hanya lewat kata pak melainkan sebuah doa tulus.💪💪💪💪💪💪💪💪 AllahummaSholiallahMuhammad❤
2024-01-09T05:19:22Z,@athosin7,JADI MENTERI PENDIDIKAN DIPECAT!!! JADI GUBERNUR PROGAM DP 0% APA KABAR??? NILAI BERAPA DONG???!!!!
2024-01-09T04:56:20Z,@naufalassidiq4881,Pak Prabowo mereka tak sebanding denganMU pak..engkau terlalu tinggi untuk dibandingkan dngan mereka...RAKYAT YANG AKAN MENILAI..Dan sya yakin akan semakin banyak rakyat yg mendukung &amp; mencintaiMU..LOVE YOU JENDRAL
2024-01-09T04:28:41Z,@nurfatihahrahmasari4309,merendahkan lawan ga bikin kita keliatan bagus wkwk
2024-01-09T03:19:43Z,@user-ji5mw3fh9f,"GAPAHAM PRIVASII APAAA, NANYA SOAL DATA MULU"
2024-01-09T03:00:51Z,@dnlsmn7692,"ya jelas o2 banyak diserang, kan isu nya hankam"
2024-01-09T02:59:59Z,@user-ut2pu1yc2j,Otak ya gnjar gk dipkk..suruh jlasin mslh tumit hnya 1 menit..
2024-01-09T02:59:10Z,@user-vl1vh7rr8h,Jngn tkut pak prabowo.kami mendukungmu
2024-01-09T02:58:32Z,@user-ut2pu1yc2j,Prabowo gibran ❤❤❤
2024-01-09T02:58:12Z,@kucinghitam8450,Pak Prabowo presiden 2024 amin
2024-01-09T02:48:08Z,@user-gw8ic5sz6l,AMIN
2024-01-09T02:41:20Z,@rudiansyahdodoy2336,"Harga mati, pilihan kami tida salah pilih, presiden masa depan, BP Prabowo,&amp;,Gibran, tegas juga lugas, untuk bangsa dan negara Indonesia,"
2024-01-09T02:28:44Z,@uciramadhani181,"Ini capres atau kritik menhan, aneh emg paslon 1 dan 3. Nyerang mulu"
2024-01-09T02:07:51Z,@ayuarisya3668,"Ngomentarin kerja org trus, jakarta noh banjir, polusi"
2024-01-09T01:42:20Z,@ayuarisya3668,"Nis jago amat ngmgnya, dimulai dari 0%"
2024-01-09T01:23:19Z,@offosial.basther,Bicara tentang politik golobal tpi tdk ada satu pun punya visi mengatasi kemiskinan di negri sendiri z setuju jawaban praboho yg mensejatrakan rakyatnya dulu bru memikirkan pertahan golobal
2024-01-09T01:06:45Z,@BelajarAgama-wk2eu,"Luar biasa pak anies.. Etika sangat penting, tapi faktanya sdh jelas proses jadi cawapresnya  gibran di awali pelanggaran etika.."
2024-01-08T23:27:49Z,@Rakaaae,ini yang pilih anies di butakan ama ucapan&quot;nya doang tah?<br><br>Sudah banyak kesalahan&quot; yang di buat pa anies gw malah mencurigai pa anies ini korupsi sama main pasar gelap.. cem perjualan rakyat rohingya<br><br>suka heran sendiri gw...<br>Kalo pun pa prabowo ga ikut capres pun saya lebih milih pa ganjar
2024-01-08T22:07:38Z,@annekesurentu1525,Poloknya jangan sampe orang yaman memerintah di Indonesia masih banyak pribumi yang lebih layak memerintah nusantara
