publishedAt,authorDisplayName,textDisplay
2024-02-08T08:21:10Z,@aliftourpusat-im1mv,Songong banget to
2024-02-08T03:28:12Z,@yaumilfadribah6725,Istiqomah Prabowo Gibran menang satu putaran go to Indonesia emas siap menjaga dan membangun Indonesia maju ✌️✌️🇮🇩🇮🇩
2024-02-05T07:41:31Z,@Nazio0101-up2bq,ya alloh semoga yg jadi di beri amanah  artinya dapat di percaya dapat mengayomi rakyat amin.
2024-02-05T02:15:45Z,@satingsating6014,debat sibuk mendapat kan suara yang banak rakyat vusing debat avah si debat vake teks ituh sangat malu jika ditana lihat teks ulang di ulang lihat teks lagih lagih malu contoh tamampuh debat versiden malu liat Gibran tamva teks lancar sekalih Gibran bravo maav 🇲🇨👍👍👍👍👍👍👍👍👍👍🇲🇨👍👍👍👍👍👍👍👍👍👍🇲🇨👍👍👍👍👍 tetav adil semuag rakyat🇲🇨lihat ajah nanti bisa atoh tida🇲🇨nanti liah🇲🇨ahjah👍nanti ya maav Gibran🇲🇨 bravo maav ya
2024-02-04T19:28:46Z,@arnolddfh9570,Belimbing Sayur Gibran Raka hingga hari ini diskusinya tidak berkemnang tapi gaya segudang potensi jeblok.!!!
2024-02-04T19:02:35Z,@igobastian97,SEORANG PROFESOR DITANYA KOK JAWABNYA GAK ETIS DI ANGGAP RECEH?
2024-02-04T17:31:27Z,@kala_kurniawan,Pemindahan Ibu Kota Nusantara akan membuka peluang baru bagi perkembangan ekonomi Indonesia
2024-02-04T17:11:21Z,@rafi_prasasta3,"Pemindahan ibu kota, bukti bahwa kita serius dalam mengelola sumber daya alam."
2024-02-04T13:30:36Z,@syariah_mulya,"Industri kreatif kita semakin berkembang, bikin kita jadi lebih kreatif."
2024-02-04T10:59:56Z,@user-ix7jm6nl1h,"tumbang  kn kekuasaan,, yg menginjak&quot; perusak hukum negara"
2024-02-04T10:57:52Z,@user-ix7jm6nl1h,"N0 1 ,PAK  ANIS  PRESIDEN"
2024-02-04T09:26:26Z,@HjDihaman-fq1oh,Mohon Maaf Saudaraku tidak apa 2 ambisi yang penting demi Rakyat
2024-02-04T06:03:14Z,@SBS.O,yg pilihh anis &amp; aminn sama&quot; org gila nya hhhhaa
2024-02-03T21:16:21Z,@rosidahrosidah484,Jelek22 semuaaa
2024-02-03T21:15:51Z,@rosidahrosidah484,Jelek2 smuaa gk pantes banget buat mnjadi pemimpin indonesia
2024-02-03T17:12:21Z,@erikhalasson5417,Anak Muda kera sakti 😂
2024-02-03T16:48:22Z,@rositarosita9644,Semoga no urut 3yg jdi ya
2024-02-03T16:47:51Z,@rositarosita9644,"Muak lihat mukanya Gibran,semoga ga jdi dia"
