publishedAt,authorDisplayName,textDisplay
2023-12-31T17:26:35Z,@gunawansepuh5824,Generasi muda seharusnya ikut bangga.. Bisa masuk ke jenjang RI 2.suatu gebrakan.. Selangkah lagi anak muda bisa RI 1..negara ini butu pendobrak jika yg tua tua sudah tidak mampu mengendalikan teror korupsi.. Yg muda yg masih bersih kesempatan maju kedepan.
2023-12-31T08:23:19Z,@dinanur6532,Pak mahfud jooss
2023-12-31T06:57:08Z,@dinanur6532,Pak Mahfud pilihanku
2023-12-26T18:00:54Z,@sutarman4835,"Sudah waktunya geberasi muncul dipermukaan , inilah wakil presiden termuda dan dan terbaru ,,ingat yesus jadi nabi umur betapa , bukan umur 40 tahun , sedang ahklak nya juga tidak kalah dengan nabi yang berumur ,"
2023-12-26T04:08:55Z,@jacobpairunan3038,Gama hebat untuk Indonesia
2023-12-25T03:46:37Z,@ardiprimananda8009,Gibran menguasai materi debat sosok anak muda yg hebat karakrernysa tdk banyak bicara tapi prestasi kerja luar biasa  telah dibuktikan membangun solo maju signifikan kalau dibandingkan walikota sebelumnya gibran lebih hebat
2023-12-24T07:19:23Z,@bravojulian516,"hrusnya tanya gibran apa itu BS = belimbing sayur, sama tanya dia gimana cara om kmu bikin undung2 untuk memberi jalan untuk kamu naik jadi cawapres"
2023-12-24T05:22:43Z,@wawanlauw8329,❤❤❤ Bpk Ganjar Bpk Mahpud MD untuk rakyat Indonesia
2023-12-24T01:58:44Z,@mbahdarmo25,"Di kuping gibran kok ada suara Udah ,,,Apakah KPU tuli. ?"
2023-12-23T23:39:10Z,@sukriadi8237,"Di menit ke 42,43 dengan majunya gibran ke hadapan prof mahfud gayanya songong amat,,,, orang solo yg terkenal adab nya tapi adab gibran payah"
2023-12-23T19:43:30Z,@adimardiansyah8437,SGIE pakai bahasa inggris atau Indonesia? Knp gak di jelaskan subtansi nya saja. Prof Mahmud dan cah Muhaimin sepertinya masih ngerem karena masih menghormati siapa yang di ajak debat
2023-12-23T17:21:30Z,@user-hm9zi1hy2n,"Korupsi tembak mati,masalah tuntas."
2023-12-23T17:06:39Z,@user-hm9zi1hy2n,"Pak mahmud,misalnya jdi cawapres prabowo joss"
2023-12-23T16:58:12Z,@antonbimoo4458,"Sy pilih capres yg punya pekerjaan pokok ketika tidak menjabat di pemerintahan, Krn orang cerdas &amp; pemimpin hebat adalah orang yg tidak bergantung hidup pada jabatan publik <br>😂😂😂 Salam untuk capres yg pengangguran <br>🫰🫰🫰"
2023-12-23T16:48:17Z,@user-hm9zi1hy2n,Debat cawapres lebih sportifitas dan saling menghormati sesama cawapres.good✅✅👍👍👍
2023-12-23T16:39:02Z,@tsc4065,SI Imin ke SELEPETANNYA SENDIRI<br>PROF. MAHFUD SALAH MILIH PARTAI yg kayaknya bakal jd boneka aja..<br>Gibran walau masih kecil bisa menyeimbangi kedua orang tua ini..<br>Bagi gw yg terbaik adalah yg bs menyeimbangi orang tua yg merasa paling bisa dan cepet naek darah😂😂😂😂
2023-12-23T16:21:37Z,@user-hm9zi1hy2n,"gibran ,yesss"
2023-12-23T16:08:39Z,@sahrufchannel5256,Yg ungul dri segi bertanya dan menjawab ya no 3🤟
2023-12-23T14:54:14Z,@darkside4997,1&amp;3 becanda mulu debatnya
2023-12-23T14:29:40Z,@user-zf3qr8wv1t,Gibran
2023-12-23T14:08:48Z,@rizalfahlevi3335,"Ini kan polisi militer merazia TNI sekarang coba polisi merazia polisi d jln raya coba, berani gak?"
2023-12-23T14:08:13Z,@suyatiyati2186,"Gak hujan2 sawahw sudah kekeringan, menanam padi susahnya,uang tabungan udah habis"
2023-12-23T14:05:54Z,@suyatiyati2186,"Rakyat sudah pusing, harga kebutuhan pokok sudah podo naik semua,,liat itu para petap"
2023-12-23T13:37:49Z,@cecephandria2873,Rakyat nga butuh bansos <br>Yg dibutuhkan laporan pekerjaan.<br>Hukum ditegakkan.<br>Dan yg lebih terpenting korupsi diberantas sampai keakar akarnya.
2023-12-23T13:00:30Z,@Mig-31K,Gue sebenarnya kesian sih ama Prof Mahfud yg mau dan rela jadi Cawapres dan gue akui klo beliau ini jenius cuman sangat disayangkan harus memilih partai banteng yg bntar lagi akan di Tenggelamkan oleh rakyat yg benar2 waras 😂<br>Putaran ke 2 ( PRABOWO vs ANIES )
2023-12-23T12:55:43Z,@robertaja7724,GAMA the best
