publishedAt,authorDisplayName,textDisplay
2024-02-07T12:44:44Z,@beyourself1306,Serius nyesel gak nonton live debat keduanya juga.😭💔💔
2024-02-07T12:44:11Z,@beyourself1306,"Saya dulu punya cita-cita pertama yang di impikan yaitu jadi pemain sepakbola profesional. Kalo impian saya tercapai masuk timnas Garuda, bermain di Eropa, juara Piala AFF/Asia sudah berjanji sepenuhnya, saya akan memberikan hukuman yang setimpal bagi para koruptor, hukuman nyawa dibayar dengan nyawa lagi, bagi pezina hukuman kebiri merata setiap daerah, membangun rumah sakit, sekolah, masjid, dan bantuan sosial bagi orang tidak mampu, itu lewat sepakbola yang saya cita-citakan dan impikan. Yaeahh sekarang apalah dayaku ini, hanya sebatas angan-angan saja yang bekerja seorang buruh pabrik hanya sebuah mencari uang saja, daripada menganggur tiada guna dirumah, hidup memang tidak adil jadi biasakanlah seperti diriku.🥺💔🥀"
2024-02-04T14:11:20Z,@enikzunaidah739,2222
2024-02-02T17:15:09Z,@CTCprojeckt,Gibran kenapa sih kalau ngomong kaya orang lagi nangis gitu
2024-01-30T06:32:06Z,@PrabowoPresiden337,"<a href=""https://www.youtube.com/watch?v=wUuzVQlyYUI&amp;t=3859"">01:04:19</a> Music: ???"
2024-01-29T15:32:57Z,@josesaung,komennya isinya Amin semua. wkwkwk
2024-01-25T03:51:00Z,@SJXSYNC,"Semoga Presidenku Bukan Fir&#39;aun , Keluarganya Fir&#39;aun , Saudaranya Fir&#39;aun , Tetangganya Fir&#39;aun , Keturunannya Fir&#39;aun , dan Darahnya Fir&#39;aun , Aamiin Yra"
2024-01-24T20:04:24Z,@VelgSpeleng,Hilihkintilisasi
2024-01-23T05:30:09Z,@nurlailierfa6358,Alhamdulillah
2024-01-22T08:25:12Z,@LekatYasir,AMIN anies
2024-01-19T15:10:17Z,@tikuskejepit9468,Btw yg pilih imin ini sbnrnya memang koment karena ada tugas sklh ya untuk like dan comment mendukung imin?soalnya dlu di sklh PRnya ada like comment trs disuruh pake template comment yang mendukung video youtube😅
2024-01-19T15:01:23Z,@tikuskejepit9468,"GINI YA. JELAS JELAS YANG ADA ANGKA DAN VISI MISI KONKRET ITU SI GIBRAN. YANG SIAP DENGAN WAKTU TERBATAS ITU CUMA GIBRAN, CAK IMIN BANYAK PEMBUKA, MAHFUD KEBANYAKAN CERITA. YANG TERSTRUKTUR DAN MENGAKAR KE INTI MASALAH ITU GIBRAN, MENJELASKAN STEP STEP YANG BENAR JUGA SI GIBRAN. INI YANG KOMEN RATUSAN PAKE IMIN BELAJAR DIMANA. SAYA SEBAGAI AKADEMIK MURNI DAN PENELITI, SAYA JUSTRU MASUK KE GIBRAN, KARENA ADA DATA, ADA ANGKA, ADA STEP, GA CUMA BILANG &quot;KITA BERANTAS KORUPSI&quot;. DARI DULU PRESIDEN BILANG GITU TERUS TAPI APA?SMPE SKRG ADA KORUPSI. SKRG KALIAN TAU GAK BAHWA KORUPSI GA CUMA MAKAN ANGGARAN DAN MENJADIKAN ITU KEPENTINGAN PRIBADI? APA KABAR DISTRIBUSI INDONESIA YANG TERLALU PANJANG DAN JADI MENAMBAH ANGKA MENJADI BESAR? SEHARUSNYA ITU YANG DICUT. DIPERPENDEK TANGAN YANG MENDISTRIBUSI AGAR DUIT JUGA GA KELUAR BANYAK HANYA UNTUK BAYAR ONGKIRNYA. DAN IDE INI YANG PAHAM INI SI GIBRAN WOII. SIMAK YANG BENAR. GILA AJA KALIAN PILIH ORANG YANG BERTELE-TELE DAN BANYAK CERITA"
2024-01-19T12:23:31Z,@SofiyaRati,"pilih yg pasti pasti saja yg banyk bukti bukn jaji <a href=""UCkszU2WH9gy1mb0dV-11UJg/KsIfY6LzFoLM6AKanYDQAg""></a>"
2024-01-18T02:51:51Z,@wakepin5139,mesin buzzer amin mulai aktif yah bun😂😂😂😂😂
2024-01-17T14:16:34Z,@raflessianipar4224,p
2024-01-17T10:01:09Z,@Hmidaulff_,AMIN CALON PRESIDEN INDONESIA 2024
2024-01-15T14:09:15Z,@reviewfilm4248,survey  ayam goreng...ga netral
2024-01-13T18:23:18Z,@siska7438,Gibran suaranya mirip bngt pak jokowi .....😮😮
2024-01-13T08:52:10Z,@risabnormus,"Nahh gini kek adem wkwkwkw. Teruntuk pasangannya masing-masing seharusnya merasa malu apalagi dipandang sebagai pemimpinnya, tapi sayang eh uneg-uneg pribadi dibawa dan dipertontonkan ke khalayak ramai tanpa rasa malu sama sekali 👎<br><br>Btw serem amet komen diisi buzzer semua 👄👁👊"
2024-01-08T03:37:02Z,@PrivateBahasa,❤❤❤ Prabowo Gibran ❤❤❤ <br><br>Indonesia semakin maju
2024-01-06T09:28:45Z,@YantiYusuf-hi3uo,Oke selamat siang dan salam cinta damai untuk kita semuanya seluruh rakyat bangsa Indonesia dan NKRI  harga mati is the best
2024-01-01T20:01:11Z,@kddkurniawan,Amin .amin amin🤲
2023-12-29T15:02:01Z,@aanwar812,Naik lagi pajak kedepan🤦
2023-12-29T09:17:26Z,@user-bs7wu4xc6t,"Klo ngomong soal kok plin plan, lahh gmana sama bapaknya dulu merah skrg berbelok. Sma aja tohhhh"
2023-12-29T09:16:29Z,@user-bs7wu4xc6t,Memang gak salah kok tetap terdepan PASLON 1 AMIN
2023-12-29T02:08:03Z,@oneytchannel1321,"Ga butuh pemimpin yg pandai berbicara, kami hanya butuh pemimpin yg tegas real,tulus untuk nusantara jaya."
2023-12-27T01:55:52Z,@satriamuhammad7964,"<a href=""https://www.youtube.com/watch?v=wUuzVQlyYUI&amp;t=17137"">4:45:37</a> lah siapa ya 🤔"
2023-12-26T18:08:30Z,@sigimantika5095,Tetap cak Imin pilihan ku....
2023-12-26T17:47:45Z,@sigimantika5095,Alaaaahhh.kemiskinan di Indonesia terus melanda .semua sibuk sama infrastruktur.kesejahteraan masyarat hanya omongan....
2023-12-26T10:38:54Z,@HobiCerdas,"Saya baru lihat data. Kata Prabowo di 2018, tiap bayi lahir menanggung hutang negara 8jt. Skrg tiap bayi lahir menanggung 40-50jt. <br>Ditukar makan siang &amp; susu gratis? <br>GEN Z masih mau MELANJUTKAN? <br>Pikirkan matang-matang"
2023-12-25T15:33:02Z,@brajasakti5536,Makasih atas ucapan natalnya pak gibran
2023-12-25T14:16:05Z,@riyaditubaba533,Anisss pilihan rakyat yg sholeh dan cerdas
2023-12-25T13:13:28Z,@bayurahmathidayat3027,Ekspresinya Gibran songong
2023-12-25T11:45:39Z,@wurianjarhidayah,Pasangan AMIN the next presiden. AMIN aja dulu
2023-12-25T11:18:42Z,@TIB1J,Jangan melihat beliau anak muda lihat lah contoh sejarah Al- fatih  bravo mas gibran SGIE😂
2023-12-25T10:56:13Z,@iamspiderman622,"Kecerdasan Gus Imin memang terbukti dari pengalamannya di bidang pemerintahan sekaligus santri yg insyaAllah amanah, beliau terlihat paling mumpuni dibanding 2 paslon lainnya"
2023-12-25T10:54:28Z,@iamspiderman622,Kombinasi Gus Imin dan Anies Baswedan adalah gabungan orang2 cerdas yg layak dipilih dan saya pun makin yakin pilih beliau berdua
2023-12-25T10:52:30Z,@iamspiderman622,"MasyaAllah, bukti cak imin sebagai santri sangat lugas dalam memaparkan penjelasan, semakin yakin all in AMIN"
2023-12-25T10:48:41Z,@wurianjarhidayah,Pokoknya ALL In AMIN
2023-12-25T09:06:14Z,@wurianjarhidayah,Sebagai anak muda yakin pilih pak Anies untuk perubahan lebih baik
2023-12-25T08:58:36Z,@ricakamelia8890,"Sudah sangat jelas disini pasangan amin yang sangat menonjol, jelas dalam memaparkan pejelaaan dalam debat, detail"
2023-12-25T08:57:26Z,@ricakamelia8890,"Program kerja yang sangat bagus, menginspirasi rakyat, semngat terus untuk pasangan AMIN"
2023-12-25T08:56:18Z,@ricakamelia8890,Sebagai rakyat yang cerdas kami yakin untuk memilih pasangan amin
2023-12-25T08:52:01Z,@iamspiderman622,"Kami anak muda butuh lapangan pekerjaan bukan makan siang gratis, kami butuh perubahan dan itu ada di AMIN"
2023-12-25T08:50:32Z,@iamspiderman622,Cuma AMIN yang layak jadi the next president 2024 krn gagasannya yg sdh teruji dan bukan hasil instant
2023-12-25T08:49:11Z,@iamspiderman622,"ALL IN AMIN demi Indonesia yg lebih maju, kapan lagi kita mau dipimpin pemimpin cerdas bukan cuma joget2 aja"
2023-12-25T08:47:48Z,@iamspiderman622,"Rakyat sekarang tdk butuh makan siang dan susu gratis, tapi rakyat butuh perubahan, dan itu ada di AMIN yang ada di hati rakyat"
2023-12-25T08:45:44Z,@iamspiderman622,"Program kerja AMIN jelas, masuk akal dan nggak muluk2, semoga AMIN diberi amanah di 2024 nanti"
2023-12-25T08:29:42Z,@DindaAuliya-ke1,"Kemampuan Gus Imin sebagai cawapres terlihat sangat mumpuni, mencerminkan keberpengalamanan dan pemahaman mendalam terhadap tantangan yang dihadapi oleh Indonesia"
2023-12-25T07:57:19Z,@maziaturrohmah1287,Sudah sejak dari awal saya yakin pada amin setelah melihat visi dan misinya yaitu perubahan indonesia
