publishedAt,authorDisplayName,textDisplay
2024-02-04T00:21:42Z,@okthaqameela4901,Enak baget y jawabnya lihat catatan😁 mas gibran q padamu 👍👍👍
2024-02-02T21:49:46Z,@mufiddaroini1645,Udah suruh diem aja si mimin
2024-02-01T08:44:35Z,@andriasriwanto9667,hilirisasi itu apa ya
2024-02-01T05:54:38Z,@rismaurum,&quot;Nanti ada waktunya&quot;
2024-01-30T06:21:41Z,@Naet1975,😂😂😂ahirnya bersama-sama membangun🇮🇩🇮🇩🇮🇩 mantep💪 perabowo giberan
2024-01-29T07:29:53Z,@nansyindonesia4461,Ituh yang benar ok
2024-01-29T07:27:40Z,@nansyindonesia4461,Dimana dimanapa yang
2024-01-29T06:58:32Z,@nurlaila8228,anis n muhaimin cocok<br>sama² bnyak
2024-01-29T06:35:07Z,@nurlaila8228,"no 1 sifat aslinya ketahuan , ingin menang tp dg cara menjatuhkan , orang² yg spt ini tidak lain karna mempunyai hati yg busuk <br><br>prof mahfud , sayang ny bersanding dg ganjar ,,,"
2024-01-27T06:26:33Z,@syamsudinnor4496,saya setuju mas gibran  untuk pembangunan indonesia sentris  bukan  jawa sentris.spy keadilal sosial bagi selruh rakyat  indonesia bisa terwujud.
2024-01-27T05:42:10Z,@syamsudinnor4496,seharusnya mas gibran mentaati aturan untuk menjelaskan singkatan?
2024-01-26T21:09:19Z,@user-qm6ez7ee5p,Oke sy se 7.. Untk sling hrgai dlm forom brdebatt..🙏...Tpi ingat...03
2024-01-26T20:57:32Z,@user-qm6ez7ee5p,Itu yg sy inginkn pa mahfud. untuk mmbrsihkakn linkkungn hidup 👍
2024-01-26T20:40:51Z,@user-qm6ez7ee5p,Hati²  BP/I.saUdra n saudariku..sbangsa Dn se tanah airr... Jngn sampapai slah pilih pemimpin untuk inddonesia yg merakyakyat.🙏🤟🤟
2024-01-26T20:19:46Z,@user-qm6ez7ee5p,Biar jdi kader clon pelpiress kedpan sja mass gibran...🙏👍
2024-01-26T20:11:15Z,@user-qm6ez7ee5p,Mantapp.. Pa mahfud.. 👍
2024-01-26T19:33:06Z,@user-qm6ez7ee5p,Jangan berbuahh sebelum berbunga masss  gibran.... Masi jau perjalanan buatmu mass..jngn cpt² mgambil jln buntu... Percylahh... 🙏🙏🤟🤟
2024-01-26T17:40:14Z,@mamamaya3063,Kosong 2 wakilnya mantaaaaaap semoga kemenangan ada dalam pasangan nr 2 amiin
2024-01-26T16:24:30Z,@akangcasto,"aga ngeri klo misal 02 jdi, jngan kan etika nya kya gitu hmm"
2024-01-26T16:01:12Z,@user-rz5sd8ln5w,"LayAKNYA ,,Bpk PRABOWO Dan MAS GIBRAN Memimpin Negeri kita"
2024-01-26T15:59:19Z,@user-rz5sd8ln5w,"Ini Mahfud MD mungkin orangnya ga suka SMA pak Jokowi,,,"
2024-01-25T17:17:10Z,@muhammadkursaniamkursani,Gak sabar tgl 14 February mau coblos 02 ✌️
2024-01-25T17:12:11Z,@muhammadkursaniamkursani,02✌️
2024-01-25T17:08:02Z,@lellyeliayustisianto3493,Gibran bel tut le
2024-01-25T16:54:16Z,@lellyeliayustisianto3493,Gibran cerewet kamu sendiri gimana Le
2024-01-25T16:51:31Z,@lellyeliayustisianto3493,katakan tidak pada Gibran
2024-01-25T16:50:44Z,@lellyeliayustisianto3493,O Alah Gibran ngesane le pipis we durung lurus
2024-01-25T16:47:02Z,@user-pp4jo1ki8f,Tetap 01 di hatii ❤❤ Masyarakat sudah semakin cerdas pasti bisa menilai mana yg beretika dan tidak
2024-01-25T16:14:22Z,@lellyeliayustisianto3493,Oalah Gibran le. wis lurus po rung .................
2024-01-25T15:15:24Z,@putunelurah9239,All in no 2
2024-01-25T15:15:15Z,@lellyeliayustisianto3493,kalo Giran jadi wapres sanggup ndak tuh membatasi kepemilikan tanah pribadi?!!!!
2024-01-25T15:10:52Z,@putunelurah9239,"Yang jelas Paslon no2 di pro no1&amp;3, kasian, orang tua kalah sama bocil kan malu,, bawa2 etika, haduuuhhh"
2024-01-25T14:09:00Z,@nurulkhotimah8556,"Pk mahfud gk bisa jawab akhirnya bilang pertanyaan receh,,,kalo receh kok gk bisa jawab seharusnya di jawab😂😂😂😂😂😂😂😂😂"
2024-01-25T14:07:49Z,@nurulkhotimah8556,Pk mahfud jawabanya nyasar😂😂😂
2024-01-25T11:31:13Z,@varramelinda9840,"Yaelah nyontek semua emg 02 doang yang benar2 cerdas, salam gemoykuuuuu uhuyyyyy❤"
2024-01-25T07:16:31Z,@ivannovianto576,Mbah Mahfud.... <br>Gak sanggup menghadapi mafia😂😂😂.... Itulah mental orang udah Tua😂😂😂😂LOYOOOO
2024-01-25T06:58:13Z,@ivannovianto576,"Negara ini didirikan oleh anak2 muda, diperjuangkan oleh anak2 muda.... <br><br>Kapan lagi negri ini akan dipimpin oleh anak muda kembali.... <br><br>Yang tuek2 mundur dong😂😂😂<br>Ngotot amat ma dunia... Udah bau tanah.... Harusnya mengabdi diMesjid<br>Mendekatkan diri dg Allah...... <br><br>Orang tua udah gak punya mental.... <br>Ntar diobok2 ma Barat lagi pada ngalah, gak mampu melawan kayak Joko Widodo..... <br><br>Heyyyy....<br>Pak tua... Sudahlah... 😂😂😂"
2024-01-25T06:37:19Z,@DionBajawa,Mari kita berdoa yg terbaik itu adalah suara rakyat(jgn menghina antara satu dan yg lain).
