publishedAt,authorDisplayName,textDisplay
2024-02-10T16:53:44Z,@lailisulistiyani4211,Sehat selalu bapak Prabowo.All in 02
2024-02-10T14:18:27Z,@anaserianto9609,🎉prabowo gibran tetap yg terbaik
2024-02-10T12:31:09Z,@PojokCymer,"Keren Pak Prabowo Subianto,Jangan Lupa terus mengaung, untuk Republik Indonesia,by Muhammad Juhri_ Benteng Selayar _Sulawesi Selatan."
2024-02-10T05:30:15Z,@fahmidanko_,2
2024-02-10T05:30:12Z,@Andidonk-hx1oh,prabowo yg akn mnggantikn jokowi
2024-02-10T05:09:12Z,@JokoMulyo_PratamaSosrodiharjo,Sunan Bonang Maulana Makhdum S.Pd.I. S.T.Kom. M.I.Kom. M.Pd.I. Bin <br>Joko Mulyo Pratama Sosrodiharjo A.Md.Kom S.Hum. M.I.Kom Ph.D. Bin <br>Raden Muhammad Ridwan Sutarjo S.S. S.Pd. M.I.Kom. M.Pd.I. Bin <br>Prof. Drs. K.H. Raden Muhammad Hassan Hariyanto
2024-02-10T05:02:45Z,@JokoMulyo_PratamaSosrodiharjo,Ketua Pemimpin Partainyaa IndosilaMerdeka <br>Joko Mulyo Pratama Sosrodiharjo<br>Wakil Pemimpin Partainyaa IndosilaMerdeka<br>Raden Achmadi Dwiana Erlangga<br>Ketua Sekretaris Partainyaa IndosilaMerdeka<br>Raden Raditya Faizhal Multazam<br>Wakil Sekretaris Partainyaa IndosilaMerdeka<br>Radika Pratama Putra Laksono
2024-02-10T04:39:30Z,@JokoMulyo_PratamaSosrodiharjo,Muhammad Ganjar Pranowo S.H.I. M.I.P. Ph.D. <br>Prof. Dr. H. Mohammad Mahfud Mahmodin
2024-02-09T16:23:13Z,@busmanbusman8245,Anis lagi baca puisi karna yg terjadi di jakarta saat jadi gubernur sangat bertolak belakan yg di ucapkan dasar penjilak
2024-02-09T16:19:47Z,@amirul3596,Saya dari dari brunei pilih probowo jadi president...dri tahun lepas lagi sy sering amati probowo kerna dia ada watak sesuai sesungguhnya...seluruh negara brunei mnyokong probowo👌👌👌👌👌👌 klu ani dan ganjar memang tidak ada langsung watak apa pun😂 bahkn selamanya tidak layak...kerna tiada pngalaman langsung 👐👐👐👐 mrwka bdua bagaikn sampahh
2024-02-09T16:15:20Z,@ripalajahran9998,yng saya heran no 1 sama no 3 sllu mnyerang no 2 apa no 2 saingan berat kah bagi no 1 sama no 3
2024-02-09T12:37:50Z,@nazlatulhusnanazlacantik6610,1
2024-02-09T12:29:15Z,@nining1643,"Pak wowo tipu2 minta maafnya lagi cari simfati dan dukungan,di desa2 sekarang lagi panen uang dan sembako ,cuma orang yang cerdas yang pilih amin❤"
2024-02-09T12:18:27Z,@nining1643,No 1 cerdas paling the bes❤
2024-02-09T12:17:57Z,@nining1643,No 1 cerdas paling the bes❤
2024-02-09T11:52:08Z,@saadatulashfiya2512,Anis bagusnya jadi jubir Pk Prabowo aja. Bismillah 02 ❤
2024-02-09T03:38:27Z,@darsinsemodiwiryo3486,"Menyelamatkan semuanya,TDK pilih Prabowo Gibran."
2024-02-08T20:54:53Z,@mdandiirawan7118,Kok gelar capres no 02 ga di sebut
2024-02-08T19:33:06Z,@alvinanurwijayanti495,Makan meluluuuu wowo wowo😅
2024-02-08T18:57:24Z,@fitriapujilestari4600,Pak ganjar cocok jika jadi seorang narasumber di seminar seminar dilihat dari cara bicaranya nada serta penekanan dalam berkata. Bisa mengaduk emosi pendengar.
2024-02-08T18:21:43Z,@LangkahkecilChannel,Teori aja kamu Anis...ISINYA KOSONG
2024-02-08T17:42:42Z,@YuangCudun,"Bansos turun nya 100 ribu,pas sampai tujuan tinggal 25 ribu,75 ribu nya kmana"
2024-02-08T17:39:37Z,@YuangCudun,"Pak para capres,korup yg perlu diatasi,indonesia korup terbanyak"
2024-02-08T17:37:43Z,@IdiTarik,SetelahacehTNImerahputih
2024-02-08T16:33:22Z,@ahmadmasturi3581,"Salut banget dengan pak ganjar hadir dengan santun dan hormat kepada penggemarnya siapa sangka bliau akhirnya menjadi capres untuk Indonesia,bliau hadir di debat capres ke 5 dengan penuh semangat dan sportif dan memakai jaket super keren, hehehe tapi boleh lahh di ganti dendan nomor DUA😂"
2024-02-08T16:12:24Z,@inasimplelife,"Anis pintar,pak Prabowo bijak,pak Ganjar angkuh.inilah kesimpulan dari debat kali ini.silahkan pilih mana yg terbaik utk dicoblos mnrt kalian."
2024-02-08T15:27:26Z,@idaida135,Siap mendukung kebenaran dan keadilan bagi seluruh rakyat Indonesia. Hidup NKRI
2024-02-08T15:21:58Z,@jainorjr9229,All in bapak gemoyy✌✌✌✌✌✌✌✌✌
2024-02-08T14:54:30Z,@user-ql6zw6bu2u,Kalau saya selalu lolutif dan tindakan klau memang hnya stega T perlu kehendak politik bangun itu  pabrik segera hebak pak probowo cerdas 💪💪✌
2024-02-08T14:07:48Z,@antonsiregar2791,Semangat untuk perabowo
2024-02-08T13:16:27Z,@IbuJipah,All in gemoyy ku
2024-02-08T12:28:45Z,@AmbrosiusDedi,No urut 2 Prabowo Gibran presidenku...
2024-02-08T11:04:12Z,@drswibowo2461,"Debat capres ke 5 2024, no 02 Unggul mutlak....atas paslon 01dan 03....pilpres 1 putaran. Ahok masuk 03 bikin kepastian putaran ke dua gonjang ganjing...voter smakin yakin Gen Z dan voter usia 25 - 35 = diatas 50%...Paslon 02 diatas 50%.<br>Makan gratis anak sekolah fit diperlukan/bantu kel miskin."
2024-02-08T11:01:17Z,@nurmiaty5456,"Paslon 3,saya gak ngerti apa yg disampaikan,muter&quot; sarangeo dah buat gemoyyyyy"
2024-02-08T08:18:38Z,@user-cv7tn5nx2r,Pak ganjar..menutup statment bahasa nya terlalu menyindir dan memberikan ujaran kebencian..tidak seperti pak prabowo dan pak anis menutup statement murni dari hati untuk rakyat...sekarang bisa terlihat rakyat yang memilih mana yang baik dan tidak.
2024-02-08T08:06:22Z,@rihertpit5971,"Bpk,prabowo,gibran,visi misinya,tepat sasaran,itu baru betul top👍👍👍"
2024-02-08T07:34:36Z,@nuramriyati9275,Saya dr bln desember udah pilih pak prabowo semoga pak prabowo pemimpin yg amanah amiin.
