publishedAt,authorDisplayName,textDisplay
2024-02-10T13:04:30Z,@user-fn5un9sq7s,Siapapun presiden nya harus bisa menutup perjudian online yg menyesatkan masyarakat kecil sebab banyak yg terlilit hutang dan banyak yg rmh tangga ny berantakan akibat judol
2024-02-10T12:41:16Z,@Nawin123-bh9ln,Semoga capres no 02 jdi presiden amin
2024-02-10T11:57:14Z,@dedepnd8450,😊p0
2024-02-10T01:17:18Z,@theovilnius7399,Cii ga cio cio cio cio cio cio cio cio cio ga kskdkd
2024-02-09T19:48:12Z,@user-sq1kc4ui1d,Analoginya gini <br>Kita susah ngadu <br>Datang ke 01di kasih harapan di salah salahin di suruh ingget dosa lalu ibadah <br>Datang ke 02 di suruh makan  ....<br>Datang ke 03 di suruh kerja yg dulu di suruh mikir  ...  <br>😅😅😅😅😅
2024-02-09T17:17:36Z,@predy9356,KATA GUSDUR ORANG YG TULUS BUAT RAKYAT ITU BP.PRABOWO
2024-02-09T16:48:58Z,@jiwangmedleyhitsrock-gw9sg,Kini baru saya sedari bahwa yang terbaik iyalah saya harus bekerja keras untuk merubah nasib dunia dan akhirat kalau predisen sapa saja oke.
2024-02-09T15:26:26Z,@user-dy6tf1jm1i,"Berbicara soal kesejahteraan PNS tenaga pengajar sy kurang setuju,,ok lah yg honorer,yg sdh sertifikasi aja tidak maksimal..yg ada cuma topeng PNS masuk kantor karaokean dan banyak juga yg dll...cerita konga akn trcipta SDM yg benar klu soo bgni.paling juga mrka brpikir yg penting sy masuk kantor soal bimbingan dan pengajaran kurang mereka nnti si siswa, ..mau gila mau bodo,bodoh amat yg penting gw gajih.itu fakta Riel nya."
2024-02-09T15:25:57Z,@user-dy6tf1jm1i,"Berbicara soal kesejahteraan PNS tenaga pengajar sy kurang setuju,,ok lah yg honorer,yg sdh sertifikasi aja tidak maksimal..yg ada cuma topeng PNS masuk kantor karaokean dan banyak juga yg dll...cerita konga akn trcipta SDM yg benar klu soo bgni.paling juga mrka brpikir yg penting sy masuk kantor soal bimbingan dan pengajaran kurang mereka nnti si siswa, ..mau gila mau bodo,bodoh amat yg penting gw gajih.itu fakta Riel nya."
2024-02-09T15:24:51Z,@user-dy6tf1jm1i,"Berbicara soal kesejahteraan PNS tenaga pengajar sy kurang setuju,,ok lah yg honorer,yg sdh sertifikasi aja tidak maksimal..yg ada cuma topeng PNS masuk kantor karaokean dan banyak juga yg dll...cerita konga akn trcipta SDM yg benar klu soo bgni.paling juga mrka brpikir yg penting sy masuk kantor soal bimbingan dan pengajaran kurang mereka nnti si siswa, ..mau gila mau bodo,bodoh amat yg penting gw gajih.itu fakta Riel nya."
2024-02-09T15:13:54Z,@user-dy6tf1jm1i,"Bicara soal tenaga pengajar,yg pada nyata nya di rejim skrg ini nihill!! Yang honorer masih pantas tidak akurat,,bukti nyata yg sdh sertifikasi aja tidak maksimal ...topeng saja PNS msk kantor paling karaokean dll."
2024-02-09T10:52:52Z,@cutauraliaprafita5520,ngerasa gasiii debat terakhir ini pada adem semua vibes nyaaaa
2024-02-09T08:11:18Z,@desainpachira4282,"AMIN <a href=""UCkszU2WH9gy1mb0dV-11UJg/G8AfY6yWGuKuhL0PlbiA2AE""></a>"
2024-02-09T05:00:57Z,@megamustikawati3271,Kemliti jar ganjar
2024-02-08T18:11:49Z,@Tentpoless,Pilih lah presiden dari kelima debat bkan debat yang terakhir ini saja. Bismillah prabowo-gibran
2024-02-08T18:00:23Z,@hendraumboh3527,Rekam jejak anis mantul jagonya putar kata&quot; 😂😂😂
2024-02-08T17:58:50Z,@hendraumboh3527,"01 abis ngomong janji besoknya di tanya,,&quot;apa janji saya&quot;🤣🤣🤣"
2024-02-08T14:39:44Z,@nurbuahrenmaur592,"Pidato terakhir ganjar sudah di stir sama PDIP,sindiran yang keras"
2024-02-08T13:22:21Z,@nurbuahrenmaur592,Urus foodestet saja ga becus
2024-02-08T13:14:02Z,@nurbuahrenmaur592,Semoga hasyim ashari jurdil.
2024-02-08T13:12:17Z,@nurbuahrenmaur592,"Pidato nya ga masuk ke paslon lain,hanya amin yg kerja nyata di jakarta,"
2024-02-08T08:58:15Z,@lalaland1258,AMIN 01 🫶🏻
2024-02-08T08:42:19Z,@user-yn3or9dj4t,AMIN ❤
2024-02-08T08:24:12Z,@steven_nathan,"Pemilu aman dan damai, jadi ikutan itu wajib, guys"
2024-02-08T08:18:30Z,@ifti_tahida,Pemilu harus menjadi ajang yang damai dan tidak mengandung politisa
2024-02-08T05:52:10Z,@RuangBacaKomunitas,Mantaaap
2024-02-08T05:47:56Z,@abangbintangbola,"SBY Jokowi Prabowo bersatu dalam memberikan dukungan mengurus negara dan rakyat sejahtera <br><br>Apakah kurang cukup kah bagi kita melihat dengan jelas kekuatan dukungan dan pengalaman yg matang??<br><br>Apakah ada lagi yg lebih baik dari Prabowo ??<br>Yg d dukung oleh presiden2 sebelumnya oleh bapak SBY dan Jokowi yg berpengalaman di bidang pemerintahan <br><br>Kalau sudah ada yg pasti dan matang<br><br>Ngapain lagi kita harus mencoba yg baru?<br><br>Perubahan gtu 01 ??<br>Dipecat jadi gubernur,dipecat jadi menteri, itukah prestasi atau perubahan?? <br>Jakarta d bohongin masalah rumah DP 0 , Anis dulu didukung prabowo Sandiaga uno menjadi gubernur ??? Ap yg terjadi ?? Anis berhianat , kacang lupa pada kulitnya, tidak akan menjadi oposisi poros ke 3 apabila prabowo maju jadi capres 2024 , buktinya apa? Berhianat, tak tau diri ,<br><br> dan apakah kita memilih presiden 01 yg prestasi nya dipecat jadi gubernur, dipecat jadi menteri , berbohong kpd masyarakat jakarta rumah dp 0 , dan berhianat kpd org yg telah mendukung nya dulu jadi gubernur??? Ap bedanya nanti pemilu , ketika dia jadi capres , dia pun menghianati rakyatnya. Pake logika waras berpikir , jgn ikut2 orang , jgn tertipu daya dengan mulut manis dan janjinya. Hati hati tipe karakter orang seperti ini, <br>Manis dimulut dan di bibir, siap2 rakyat dihianatin<br><br>Ap yg mau di ubah? G ada yg perlu d ubah , rakyat perlu kesejahteraan di bidang semua sektor sosial pangan pendidikan kebudayaan lapangan pekerjaan dll , dan yg namanya perubahan pasti banyak mengeluarkan anggaran negara , utang semakin numpuk..pake logika waras berpikir..g ada yg perlu diubah2 yg perlu skrg ini ditingkatkan kesejahteraan rakyat di bidang semua sektor <br><br>Ganjar gitu ?? Jawa Tengah masyarakat nya masih bnyak yg miskin dan susah , prestasi ganjar? Terlibat kasus korupsi 5 milyar..presiden nya di setir sama ketua umum..itu yg namanya mau jadi presiden?? Hanya org buta saja yg memilih capres seperti ini<br><br>Jadi klo kita waras berpikir , kita sudah tau yg mna layak jadi presiden<br><br>Klo IQ nya masih rendah dan dangkal pasti tidak akan sampai tingkat LOGIKA WARAS <br><br>Salam Indonesia emas 02<br><br>All in Prabowo<br><br>Kita cari calon presiden yg matang<br><br>Bukan calon presiden yg sensasional, bukan presiden yg manis d mulut , bukan presiden yg berhianat dan tak tau diri , bukan presiden yg berbohong kepada masyarakat, bukan presiden yg korupsi<br><br>Pakai LOGIKA WARAS BERPIKIR <br><br>Pemilu Nanti Pilihlah Presiden Yg Matang Bukan Presiden Yg Coba2 BuKan Presiden Yg Kita Pilih Karena Ikut2 Pengaruh Org Lain<br><br>Salam LOGIKA WARAS BERPIKIR<br><br>ALL IN PRABOWO GIBRAN <br><br>Presiden Yg Tanpa Disetir Jadi BONEKA"
2024-02-08T02:11:49Z,@revengewits6918,Butuh yg berani . Prabowo demi NKRI  lebih berani lagi . Abil pripot indonesia
2024-02-07T23:31:37Z,@devjamstore5785,01.SEMOGA PAK ANIES PRESIDEN RI TERPILIH.AMIN
2024-02-07T19:12:24Z,@endilaw2182,"Yang di butuhkan Indonesia itu ,lapangan pekerjaan dan gaji yg cukup (minimal UMK nya di berlakukan)<br>Saya tau banyak sekali lulusan SMA/SMK ,mahasiswa,dan lain lain yang susah banget mau cari kerja, kalaupun dpt kerja gajinya di bawah UMK ,<br>Dan gak ada 1 capres pun ,yang mengatakan/berjanji akan membukakan lapangan pekerjaan dan benar2 menjalankan gaji sesuai minimal UMK !!<br>Yang selalu di gaungkan hanyalah<br>Berantas korupsi : saya yakin siapapun nanti presidennya pasti korupsi akan tetap ada!!<br>Memajukan pendidikan : pendidikan di majukan seperti apapun kalau lapangan kerja kurang ,lalu kalaupun ada gajinya masih di bawah UMK ,ya buat apa pendidikan tinggi ?<br>Pangan mudah ,pembangunan ,pro rakyat, petani ,nelayan<br>Tapi tidak pernah memperhatikan soal karyawan swasta !!"
2024-02-07T15:08:00Z,@diladole,Debat ke 5 ini terharu sma smua jawaban dan closing statement nya Abah.. Bismillah Presiden RI ya Abah kita semuaaaa.. 01 01 01 ❤
