publishedAt,authorDisplayName,textDisplay
2024-02-10T18:58:18Z,@candraedi929,tong kosong nyaring bunyinya
2024-02-10T17:55:37Z,@mhmmdsopian6717,Pak ganjar lupa bagaimana dia telah mengecewakan anak muda kita untuk bermain di piala dunia yang mereka cita citakan berada di panggung sepak bola tertinggi 😢
2024-02-10T17:09:52Z,@harlayarauna7779,01  namanya ada gelar alademik<br>03 pun ada juga gelar akademiknya<br>02 koq ngk ada gelar akademik ya yah 🤣🤣🤣🤣🤣
2024-02-10T16:49:35Z,@ekowalujodjati967,Pidato Anies keren. <br>Satunya kata fan perbuatan.Sabdo Pandito Ratu. <br>Data dan fakta sdh disampaikan. <br>Solusi sdh dipaparkan.
2024-02-10T16:47:45Z,@albertDitilebit-qx2cg,"No, 1: mulut manis tapi omongkosong<br><br>No, 2: watak garang <br><br>No, 3: penuh senyum yamg bahagia"
2024-02-10T16:41:09Z,@ekowalujodjati967,Visi misi prabowo lucu. Food estate saja gagal total. <br>Utang peninggalan joko widodo tembus hampir 10 juta trilyun. <br>Duit darimana untuk mewujudkan visi misi mu Wo  ???.
2024-02-10T16:35:26Z,@panduadeta7286,No. 2 Ngumpul Sini🎉🎉🎉
2024-02-10T15:32:25Z,@rosnawati8396,Aamiin Ya Allah
2024-02-10T14:06:52Z,@marianarante9359,Cuma retorika dan ala abunawas. Manis dibibir lsin. dihati.
2024-02-10T13:56:59Z,@dheadwi-ry7ob,Aniis emang pinter ngmng ya🤣<br>Ttp ajh prabowo ga ada lawan✌️🔥
2024-02-10T13:49:46Z,@tetyyohana7045,PAK ANIES 77<br>PAK PRABOWO 88<br>PAK GANJAR 92  <br>SEMOGA YG TERPILIH NANTI KERJANYA NYATA KALO AKU NO 3 GAMA TAPI NILAI ITU SESUAI PERTIMBANGAN
2024-02-10T13:44:29Z,@user-xn8kb8ev4q,Pak anis memang cerdas
2024-02-10T13:29:12Z,@user-xn8kb8ev4q,Pidatonya pak anis luar biasa
2024-02-10T13:28:12Z,@user-xn8kb8ev4q,Mantap pak anis
