publishedAt,authorDisplayName,textDisplay
2024-02-10T16:29:32Z,@peniwidiastuti1677,"Mas Bagus ttp Cayo  yg muda yg berkarya ,biar Indonesia maju 👍👍👍❤️❤️❤️ Cayo 2😂😂😂 mas Gibran"
2024-02-09T04:03:39Z,@apriamc684,di mojokerto..itu wisata desa pasti..terkenal dengan kebun buah coklatnya n dpt penghargaan MURI
2024-02-09T03:25:19Z,@khairina_m,Gibran.. gibran songong bgt seolah meremehkan gus imin &amp; prof mahfud
2024-02-08T16:58:50Z,@agusluarbiasasuaranyatiraw1854,02
2024-02-07T23:43:33Z,@rengokukyojiro8638,02.00.00 akan menjadi sejarah debat cawapres di Indonesia. Saya anak muda. Etika penting. Anda tidak beretika.
2024-02-06T15:38:16Z,@DadangSuhendar89,Hanya wacana
2024-02-06T14:19:59Z,@nopitafitriyanti1630,Saya suka melihat BPK Muhaimin Iskandar menyampaikan visi dan misinya
2024-02-05T21:14:12Z,@dedijunaedi802,Siapapun presidentnya yang penting harga2 sembako terjangkau.
2024-02-05T19:21:55Z,@we19AmS,"setuju💯, smua team berdarah2 nk smpi ke Qatar. bkan lolos sacara geli-geli....."
2024-02-05T17:24:11Z,@rangochannelcbs2184,01 sama 03 bukan debat malah saling setuju dan memuji..hanya saling menambahkan kata2..apakah mereka kerjasama?
2024-02-05T15:04:46Z,@vayanadyac,"sumpah semua suporter yg di studio kampungan bgt dr debat pertama. gapeduli dr paslon mana, tp semuanya sama. bnr2 norak &amp; kampungan bgt teriakan2nya. mending bsk2 gausa ada suporternya deh di studio. gabisa bgt matuhin aturan sdm rendah."
2024-02-05T08:32:02Z,@febrianto6746,Nama saya yantiii
2024-02-05T00:38:26Z,@user-vf2yc6he4q,"Mana Ada yang Model gini di Negara kaum melayu dungu sebelah. .yang ada cuma koar koar gak jelas dan soal perkauman 66 tahun gak wujud selesai dan huru hara soal tenaga kerja yang ribut terus.<br>Nitizen kaum kunyuk pun juga gak jelas mau kemana, , banyak nyinyirnya sambil angkuh dan selalu sombong, padahal otaknya kosong."
2024-02-04T15:24:32Z,@bukansepuh496,Halo
2024-02-04T14:20:24Z,@xandraya_briana,Pembangunan di Papua telah mencetuskan pertumbuhan yang pesat
2024-02-04T10:26:55Z,@reginamutiaratammy9178,Siwowo setiap 5thun sekali pasti dpt panggilan haji wowo sedang kan yg sdh haji gibran knpa gibran tdk di panggil haji gibrang si anak pk lurah😅😅😅😅😅😅😅😊😅
