publishedAt,authorDisplayName,textDisplay
2024-02-01T18:53:16Z,@alfiankusumasetyawan5372,Semuanya tidak tahu tapi tetap dibahas n nanya
2024-01-28T09:17:04Z,@aditindria.w.h7032,Closing statement Anies Baswedan sangat berkelas dan penuh wibawa.<br>Ciri pemimpin cerdas dan ber integritas ❤
2024-01-27T23:48:06Z,@FaisalMusa-cl6wl,Brabowo maju ok 👈🇮🇩Duniaok Brabowo 2029 🇮🇩maju 🇮🇩itu ok 👈👆💪💪💪💪💪💪😘😘😘😘🇮🇩🇷🇺🇮🇩🇨🇳🇮🇩🇮🇷🇮🇩🇰🇵🇮🇩🇮🇶🇮🇩🇾🇪🇮🇩🇸🇩🇮🇩🇵🇰🇮🇩🇪🇬🇮🇩🤲🤲🤲🤲🤲🤲🤲😘😘😘😘😘😘😘😘💪💪💪💪💪Bagus Brabowo maju dia ok maju wow
2024-01-27T20:42:30Z,@sangpencerah4089,Korupsi gak cukup hanya modal memiskinkan bagi pelakunya.. Hanya UUD HUKUMAN MATI yg benar-benar cocok bagi pelaku KORUPSI.. <br><br>Dari ketiga paslon ini kenapa tdk ada yg berani<br>bicara tentang HUKUMAN MATI bagi KORUPTOR😒
2024-01-22T14:13:50Z,@muhammadrijaldi3288,Wowo menua bersama kotak suara😂😂😂😂😂
2024-01-20T13:18:11Z,@user-xo7ju5dj1o,Oke😅
2024-01-20T11:34:28Z,@KunaengsihKunaengsih,"Pak anissss,, jangan cuman omon&quot; Doang pak anies"
2024-01-16T07:21:15Z,@hugh_syaff,@hugh.syaff:PASLON ABAH ANIES ORANGNYA PADA KRITIS DAN GAK NYEBAR EMOSI/FITNAH 🥰🥰🥰 SALAM PERUBAHAN🙏🙏🙏
2024-01-16T03:20:20Z,@sukmawatisukmawati1909,SELAMAT HARI RAYA BULAN PERTAMA 2024 M. Bulan januari tahun 2024 M. INDONESIA MERDEKA MERDEKA 79 TAHUN.  SUKSES JAKARTA UNTUK INDONESIA.
2024-01-16T02:48:00Z,@sukmawatisukmawati1909,Notes: NEGRI MAKSUD NEGARA maksudNEGARA REPUBLIK INDONESIA ATAS PETUNJUK DARI BUNGKARNO LAGU INI DICIPTAKAN KUSBINI PADA TAHUN 1942
2024-01-16T02:40:30Z,@sukmawatisukmawati1909,"INDONESIA RAYA. DO=G 4/4 MARCIA CONBRA VURA WR SOEPRATMAN.  Indonesia tanah air ku tanah tumpah darahku  Disanalah aku berdirijadi pandu Ibuku Indonesia Kebangsaanku Bangsa dan Tanah airku Marilah kita berseru &quot;Indonesia Bersatu&quot;HiduplaTanah ku hiduplah Negriku, Bangsaku Rakyatku Semuanya. Bangunlah Jiwanya Bangunlah badanya untuk INdonesia Raya INDONESIA RAYA MERDEKA MERDEKA TANAH KU NEGERI KU YANG KUCINTA INDONESIA RAYA MERDEKA MERDEKA HIDUPLAH INDONESIA RAYa  sukmawati suka senang INDONESIA KALAU MENYANYI  menangishatibersedih karena aku cinta sayang bahagia sukmawati anak Indonesia merdeka.❤❤"
2024-01-15T19:22:41Z,@PawzeaSitifauziah,Jane gibran ambek ganjar cocok pling 😂
