publishedAt,authorDisplayName,textDisplay
2024-01-22T05:22:00Z,@EmanSulaeman-jk8ux,Saya memilih presiden yang mencintai rakyat miskin bukan pendukung 02 cawapresnya mau naikin gaji pejabat
2024-01-21T01:40:23Z,@rahmatkolinda7352,"Dari sini saya makin yakin 02 ga bakal gagal lagi, pejabat di gajih besarin rakyat dipajakin, sungguh mulia bapak ini di mata para pejabat"
2024-01-21T01:33:16Z,@rahmatkolinda7352,Kt nya ambil aja klu nyoblos seterah hati😅😅😅 gimana si kt si paslon
2024-01-19T16:13:59Z,@berkatasaja568,Aduuh tolonglah kasih ide yg aga normal dikit...masa naikan gaji pejabat buat berantas korupsi😂 tepok jidat...saya oke minimal 01 atau 03 deh....
2024-01-19T13:46:40Z,@irwin640,Saya setuju dengan bapak ganjar
2024-01-19T13:17:29Z,@HeriGinanjar-ni3zo,Anies Baswedan 👍👍👍👍👍
2024-01-19T10:39:59Z,@MUKASUKU,Apapun pendapat kalian..itu hak kalian..tapi untuk saya ..prabowo gibran untuk 2024 ❤✌️
2024-01-19T06:44:41Z,@ahmadronifaisolHAmdKep,Belum tembus ......lah kyk orang lagi dapet😂
2024-01-19T05:31:08Z,@puasalehakarimsalehakarim39,Amin 2024
2024-01-19T04:38:06Z,@yusprogres5271,Putra putra terbaik indonesia
2024-01-19T00:39:04Z,@agungsuprapto3285,"Anies jadi presiden.<br>Mahfud jadi ketua KPK.<br>Food estate, Alutsista, IKN, Rempang diusut"
2024-01-19T00:14:50Z,@veridewantoro991,Padahal pak Anis ngomong pake data dan sudah dikerjakan... kaya gitu masih ada yg bilang omon2<br><br>Aneh
2024-01-18T22:38:02Z,@miqbalrifqi4826,"Logika kebalik nih Pak Wowo,<br>Akar masalah korupsi adalah keserakahan. Solusinya naikkan efek jera hukumannya.<br>Banyaknya masalah kriminalitas karena kemiskinan. Solusinya tingkatkan kesejahteraan masyarakatnya.<br><br>Jangan dibalik ah,<br>Boleh pejabat strategis dinaikkan gajinya, tapi naikkan dulu efek jera hukuman korupsinya, tingkatkan dulu kesejahteraan masyarakat miskinnya. Pentingnya memahami akar masalah untuk menentukan prioritas penyelesaian masalah.<br>Begitu?"
2024-01-18T13:24:16Z,@anahealthy25,"01 : memiskinkan koruptor : dan dampaknya utk rakyat Indonesia<br>02.: Menaikkan hanya gaji pejabat, bukan rakyat kecil..yg kaya tmbh kaya..<br>03. Netral"
2024-01-18T08:56:19Z,@raeshabilqis5862,"Well done mr.anis baswedan &amp; mr.muhaimin , greatly appreciated"
2024-01-18T08:55:08Z,@apikalapikbanyakakal9775,Kasiha gibran tanganya gatel pengen diangkat. Jadi pemandu sorak😅😅😅
2024-01-18T08:52:04Z,@MitraTrade-fv3zb,"Prabowo terlihat beberapa kali memegang mic, dia gugup dan tidak siap atas apa yang akan di sampaikan. Dan terlihat terlalu banyak ngarang."
2024-01-18T06:32:30Z,@ahmadsahal8440,Nahh gitu dong akur😂
2024-01-18T06:02:22Z,@ardikaara2660,"Cuma anies yang jelas<br>,- Prabowo sudah terduga mark up korupsi<br>-ganjar sudah terduga tersangka kasus korupsi EKTP tinggal rakyat sendiri yang nilai"
2024-01-18T05:44:55Z,@070ahmadyusufhidayat7,Ketua kpk nggak apal mars kpk😂
2024-01-18T05:27:42Z,@Tiyaz_putri89,Duuhh Gusti ..pak Prabowo.... Knp bapak malah mau naikin gaji pejabat yg notabene nya sdh bergaji besar.. 😢 astagfirulloh...
2024-01-18T03:45:50Z,@aliyaangell_1326,Pak anies luar biasa. Juara dlm anti korupsi dan bersih dari perbiatan korupsi. Anda layak menjadi RI 1 2024.<br><br>Semoga para rektor seluruh indonesia..anda sebaiknya mencontoh pak anies utk memasukkan mata kuliah wajib anti korupsi bagi mahasiswa. generasi intelektual yg akan memimpin bangsa di masa depan
2024-01-18T03:41:22Z,@kennyunair,"sepertinya Indonesia juga butuh KPN, Komisi Pemberantasan Nepotisme."
2024-01-18T03:24:42Z,@alfiekeren7969,hebat pak prabowo tidak
2024-01-18T03:19:21Z,@yssunjoko,cuma pak Ganjar Mahfud yang tetap mengenakan jaket integritas dari KPK sampai sesi standing statement
2024-01-18T03:00:37Z,@user-ns5bt4yn5p,Pak Prabowo ngalantur ke mana mana
2024-01-18T02:09:01Z,@kisikisigame7189,Dari komen ny banyak yg dukung Anies
2024-01-18T00:53:41Z,@user-pf5kh3zq7i,Apakah cuman dengan meningkatkan kualitas hidup pejabat. Bisa menurunkan korupsi. Maaf cuman bertanya😊
2024-01-18T00:53:36Z,@arrahman_55,"Saya akan pilih Capres yang termiskin &amp; sudah teruji. Sudah diuji jadi Menteri, Rektor, Gubernur tetap menjadi yang termiskin. Rekam jejak berintegritas &amp; kompetensi. Semoga kedepan tetap bebas korupsi &amp; Amanah. Sehat selalu untuk ke 3 paslon capres wacapres. Semoga Allah melindungi bapak semua &amp; seluruh rakyat dengan kebaikan."
2024-01-18T00:47:13Z,@Rienbo,Semoga AMIN bisa memimpin bangsa ini dan menjadikan Indonesia negara yg MAJU ADIL MAKMUR utk semua. Menjadi negara yg BERMARTABAT dimata dunia🎉❤
