publishedAt,authorDisplayName,textDisplay
2024-02-10T03:09:07Z,@sahdanpensiun1043,anis memang pintar..? pintar ngomong kerja nyatanya NOL (0) BESAR
2024-02-09T19:34:35Z,@MoodBoosterz,"Anis terlalu berambisi kayak anak baru yang norak debat politik, jadi gurbernur aje belom mateng udah nyapres"
2024-02-09T19:24:55Z,@MoodBoosterz,Anis gak banget
2024-02-09T11:47:46Z,@jalanmelipir4664,"Anis Jauh dari kata calon pemimpin , perkataanya menjatuhkan , ga cocok"
2024-02-09T02:40:19Z,@jerryjerry7375,Anis Baswedan TANPA PRABOWO anda tidak mungkin menjadi gurbernur DKI Jakarta orang2 tidak ada hati nurani !
2024-02-08T22:56:22Z,@mammankmalik1720,maju terus pak prabowo aku dukung sepenuh hati🙏
2024-02-08T11:01:44Z,@rizalfaqih,Tetap Prabowo yg ketiga kalinya karna dari tiga capres hanya beliau yg mempunyai jiwa nasionalisme dari dulu..sudah tidak diragukan lagi cinta tanah airnya👍
2024-02-08T05:03:51Z,@AkaSaidslow,"Anies membenarkan,tapi ditolak,padahal untuk perbaikan😢"
2024-02-07T22:15:10Z,@bayuapri8780,Pemaparan visi misi aja di awal ngga ada yg becus. Dasar badut2 koplak
2024-02-07T21:58:16Z,@bayuapri8780,SERIAL NETFLIK PENGEN DIJADIIN TOLOK UKUR UNTUK MEMILIH PEMIMPIN. BADUTBADUT DI NEGARA BARBIE.
2024-02-07T10:10:42Z,@barnekelboy2221,Amin☝
2024-02-06T19:21:37Z,@kaisayan66,Dah keliatan siapa yng nafsu nih 😂😂😂
2024-02-06T14:12:03Z,@omink3in161,Abis &amp; Ganjar maen nya kurang jauh ..<br>TNI / militer Indonesia peringkat pertama di asia
2024-02-06T09:53:33Z,@yeobo8432,Sebentar lagi anis ganjar kena srok😂😂
2024-02-06T09:31:57Z,@yeobo8432,Orang yg mnjelekkan orang lain sesungguhnya dy lebih buruk dri yg dijelekken....
2024-02-05T17:06:00Z,@carlosmartins-vk4lz,"Dari Berbagai Sesi Semua Akan Tersimpul Ketika Pada Pernyataan Ahir Dari Proses...<br><br>No 1 No 2 Dan No 3 Capres.<br>Yang Perlu Di Nilai Hanya 1 Ketulusan Di Mana Akan Melahirkan Cinta Dan Kasih Dari Situ Entah Itu keputusan Yang salah Atau Benar Pasti Akan di Sertai Sang Pencipta Menuju Kesejatheraan Dan Kemakmuran..<br><br>Kalo Di Hati Hanya Mencari Menuntut Kesalahan Orang Lain Bukannya jadi Pedoman Tuk Kedepan Lebih Baik Itu Hanya Akan Jadi Sia² Karna Sifat Dengki,  Ego, dan Kesombongan yang Tampa Sadar Masih Tertanam Di Dalam Hati....<br><br>Paslon No 2 Terlihat Jelas di Pernyataan Ahir Tersiat Dari Hati yang Tulus dari Pernyataan....<br><br>Namun Semua Kebenaran Hanya satu, Dari Sang Pencipta Siapa Pun Tidak Akan Tahu Di Masa Depan....<br><br>Semoga Rayat Indonesia Kedepannya Di Berikan Kesejateraan Dan Kemakmuran....Amiiiinnnnnnn"
2024-02-05T12:48:22Z,@ekopermana7150,DISKUALIFIKASI 02 DEMI DEMOKRASI YG BERSIH !!! 🇮🇩🔥
2024-02-05T12:47:53Z,@ekopermana7150,DISKUALIFIKASI 02 DEMI DEMOKRASI YG BERSIH !!! 🇮🇩🔥
2024-02-04T12:03:27Z,@WisnuPratitis-vx3wi,02 menang
2024-02-04T11:17:24Z,@ripaikopegmar5785,Hidup pak anis
2024-02-04T05:23:58Z,@lulukgoo,pak prabowo sanggat perjuang demi mamajukan negara ❤ semoga kali ini terkabul jadi jadi nomer 1 .. petani semoga tertolong dengan pemimpin yg adil.. no.2 pak.. kami sekluarga mendukung .
2024-02-03T15:51:42Z,@kassa1707,Beeeeeh gelar Kabeh  sundul langit tapi keadaan Indonesia tambah bobrok korupsi jor joran
2024-02-03T12:08:18Z,@user-fi3nc9st6v,Prabowo paling mantap dan ketahuan kualitas nya.....ketimbang capres yg ambisi demi jabatan ketahuan sifat aslinya
2024-02-03T12:07:05Z,@user-fi3nc9st6v,Prabowo paling mantap dan ketahuan kualitas nya.....ketimbang capres yg ambisi demi jabatan ketahuan sifat aslinya
2024-02-03T12:02:43Z,@user-fi3nc9st6v,Ketahuan capres yg berkualitas yg mana......Prabowo oke Anis👎
2024-02-03T08:02:44Z,@triwardhani3631,Perubahan ke arah positif hapus kemerdekaan  belajar yg salah arah.
2024-02-03T07:37:07Z,@zalikhoagustina5720,Debatnya kurang panas.
2024-02-01T18:55:45Z,@HansAfshin-uq7bv,Gemoysian kalah debat 👎
2024-02-01T18:42:42Z,@HansAfshin-uq7bv,Ga ada isinya si Wowo di debat ini👎
2024-02-01T13:42:03Z,@user-xd1rg3oj2m,ALL IN 02
2024-02-01T13:35:10Z,@jonijon5317,anis si tukang ngibul
2024-02-01T09:43:30Z,@mamahwenda1233,Pilihan ku tetap pa Prabowo Gibran❤✌️🤲🇮🇩
2024-02-01T01:14:50Z,@TrianaAna-kn6pv,Smoga pak prabowo menang
2024-01-31T23:11:17Z,@user-ph3lx6ev5r,Anies memang paling mantap 👍
2024-01-31T17:30:54Z,@obetgamaliatobondo3914,"Sepertinya seluruh pertanyaan panitia ini perlu di USUT, sebelum debat terakhir nanti, jgn jgn ada papanya,🤔🇲🇨"
2024-01-31T12:20:36Z,@user-yc5lt7jz5n,Aduh aduh bolak balik calon 1 dan 3 ini cari perhatian masyrakat pun tau klau jiwa pemberani hidup segan luar negeri segan jadi Gak usah Lah Calon 1 Atau Calon 3 terlalu banyak berbicara pemimpi itu teguh dan santun dan tegas
2024-01-31T10:37:29Z,@syahbudi6172,"Ada 2 cara ngeles, 1. Rahasia 2. Data anda salah"
2024-01-31T10:36:56Z,@HasrulHarahap-eh5ug,"Semangat pak prabowo,,anak petani dari sumatra sulawesi dan kalimantan dan papua dan ntt dan ntb slalu mendukung anda pak prabowo"
2024-01-30T18:02:38Z,@rositaandani9477,100% DUKUNG PRABOWO GIBRAN🔥
2024-01-30T12:43:29Z,@siampurnomo159,"Penilaian saya kedua calon tidak punya fisi misi , hanya menjatuhkan musuh walaupun mereka sendiri lebih buruk"
2024-01-29T09:33:30Z,@arulardian5362,Itu bukan menjatuhkan prabowo tapi mengkritik kinerja prabowo boleh dong biar makin bagus kerjanya
2024-01-29T06:02:45Z,@marlinasilitonga1667,Kok jijik bgt gw lht muka nya anis ini ya.. macam kebanyakan baca buku tp ilmu yg dia dpt itu hanya utk menjatuhkan org lain
2024-01-29T05:25:43Z,@dapuroppa8173,Dulu seneng sama ganjar...tapi sekarang 👎👎
2024-01-29T01:51:22Z,@muliyati6266,Pak prabowo dihatikuuu🥺💖💖
2024-01-29T01:47:33Z,@user-tz9zm3gu5u,buzzer Prabowo banyak bgt wkwk dibayar berapa?
2024-01-28T23:19:39Z,@user-ip3ir2tn8l,Jagan lwatkan ksempatan pak prabowo kami beri kau perbaiki negara ini Jagan kecewakan pahlawan yg gugur
2024-01-28T17:16:46Z,@user-kg2ck8qy2j,"Ini debat adu gagasan, apa niat desak jatuhkan pa Prabowo.,kompak bangeut 1. / 3"
2024-01-28T15:36:59Z,@DiandraSs,Siapapun yang menjadi.   Bapak negara .. berarti itu yank terbaik.   Gtu aja repot.
2024-01-28T14:48:19Z,@historyenjoyer3342,"malah pada bahas pak prabowo, pak prabowo bahas negara"
2024-01-28T14:45:18Z,@zukibinmuhammadnoor8295,pak anis. Bukan yg lain
2024-01-28T10:54:44Z,@maximus2431,Prabowo is the best
2024-01-28T09:55:36Z,@khairilansyar6404,"Tak ada capres yg berani mengatakan bakal menghukum mati koruptur, jadi masyarakat Indonesia bersiaplah siapapun presiddnnya yg naik maka korupsi akan tetap merajalela di Indonesia. 😊😊😊."
2024-01-28T08:19:08Z,@juneluhilima6130,Nies.. Nies.. Kau gaya ngomong.. Wong Jakarta aja hancur lembur berantakan di tanganmu.. Tukang bohong
2024-01-28T08:12:36Z,@dzx_project1662,"Jadi ingat kata-katanya bpk Ahok. <br>&quot;Beri dia kekuasaan,maka akan timbul sifat aslinya&quot;"
2024-01-28T06:29:28Z,@susantiayu3122,ari si anis ngabahas naon.. penutup ge ges teu puguh... ampunnn anis.. sare siateh
2024-01-28T05:24:50Z,@Xiexieyuu,Pak prabowo im with you😢🥰
2024-01-28T04:50:34Z,@kocakrandom427,Tetep brabowo di hati
2024-01-27T19:43:38Z,@haryonotakdout,tetap prabowo
2024-01-27T17:35:50Z,@indrayaniayulistya937,"bpk prabowo lengkap menyebutkan slm pembukaan,, ini yg tepat🙏🙏🙏"
2024-01-27T15:36:10Z,@endilaw2182,"Yang di suarakan pasti tentang rakyat kecil, petani, nelayan, korupsi, harga, pembangunan,<br>Coba sekali kali, buka lapangan kerja, banyak lo yang susah dpt kerja padahal udah lulusan sarjana,<br>Trs juga survey di semua wilayah, banyak bgt yg membuka lapangan kerja, tapi gajinya jauh di bawah umk,<br>Trs juga para petani yg saat ini menurun karena harga nya murah, pupuk nya kalo nggak langka yg harga nya naik,<br>Banyak orang orang yg pilih kerja di luar kota/luar negri, karena susah nya nyari kerja, kalau pun dpt kerja gajinya ga seberapa, mau jadi petani harganya murah tapi pupuknya kalo nggak langka ya naik,<br>Dari pada ngasih subsidi yg ga seberapa trs jg ga merata trs habis itu harganya naik, mending buat buka lapangan kerja."
2024-01-27T11:47:11Z,@rifkanurlaela1889,"yaAllah keren banget ini isi komentarnya, mantap buzzer nya pak. lanjutkan😂"
2024-01-27T11:17:03Z,@dhenashielddhenial6127,Bismillah pak PRABOWO NO 2
2024-01-27T10:34:31Z,@denupick2552,"Jaket yang di pakai Pa Ganjar,,<br>Asli atau Palsu ya .... ???<br><br>Barangkali ada yang tahu .. 😊."
2024-01-27T10:06:08Z,@andrirahmantic293,"Beda ntr klo udah jadi, pada tunduk sama ketum, beda lagi actualisasinya😂, mau debat 100x ga ngaruh...wkwk"
2024-01-27T08:38:27Z,@user-hw1ty8pb6c,"ini yg komen, nonton debat nya gasih 😭"
