publishedAt,authorDisplayName,textDisplay
2024-02-10T06:05:28Z,@JokoMulyo_PratamaSosrodiharjo,Raden Muhammad Ganjar Pranowo S.H. S.Pd. M.I.Kom. M.Pd.<br>Raden Mohammad Mahfud Mahmodin S.H. S.U. M.I.P. M.Pd.I.
2024-02-08T21:39:10Z,@zoronunes3543,Tindakan atau gagasan perilaku.
2024-02-08T15:23:58Z,@sevianarosei409,Lah tadinya pak anis bicara etika.<br>Tapi tanpa dia sadari sendiri tdk ada etika saat menjatuhkan pak prabowo.<br>Boleh kita merendahkan orang lain tapi bukan semua harus di buka di tempat umum.
2024-02-07T14:53:56Z,@nauranaura2207,Pak prabowo yang mantap dihati kami. ❤❤
2024-02-07T06:29:19Z,@user-rx2ei3hv3s,pak prabowo presidenya❤❤❤
2024-02-06T14:01:37Z,@PapiTegarSatrioGemilang,Tdk masuk akal jg Prof. Anis ngotot mendesak Pak Prabowo menjelaskan tentang Alutsista dan Food estate yg kompleks dalam 1 menit. Yang ada penjelasan yg terpotong yg berbahaya bisa menyesatkan. Bicara soal itu tdk cukup 1 jam.  Intinya dia menyerang pribadi....
2024-02-06T00:50:20Z,@ProRakyatKecil2045,"Wahai BangsaKU.<br>Kita sebagai bangsa bertaqwa, <br>Mari kita senantiasa berdoa semoga <b>Bangsa Indonesia</b> tetap <b>KUAT DERAJAT MENJADI BANGSA BESAR</b> karena memang negeri ini dilahirkan dari KEBHINEKAAN. Doakan semoga generasi penerus kita bisa HIDUP LEBIH SEJAHTERA.  Semoga PEMILU 2024 bisa berjalan dengan sukses dan lancar.<br>Aamiin YRA.<br><br>HENDAKNYA PARA PEMIMPIN BANGSA BERSATULAH, tetap waspada <b>jng sampe bangsa ini di adu domba , di pecah belah.</b><br><br>KASIHANILAH ANAK CUCU ❤️ KITA. <br><br>Jangan EGOIS, <br><br><b>TOLONG DIWASPADAI bahwa : KONDISI GLOBAL SEDANG TIDAK BAIK BAIK SAJA.</b> <br>Waspadai provokator dari dalam negeri or luar negeri.<br><br>Janganlah hal hal kecil yg tidak substansial dan gak signifikan di otak atik terus.<br><br>sebetulnya simpel aja:<br><b>SUKA. --&gt; silahkan dipilih</b><br><b>TDK SUKA ---&gt; jangan dipilih</b><br>gitu aja kok repot.<br><br>14 FEB nanti <b>ada 204 juta suara rakyat</b>  yg akan menentukan hasil di PILPRES 2024. Jangan mengkerdilkan suara rakyat.<br>Semoga Pemilu Sukses, Lancar."
2024-02-04T16:48:33Z,@wiwitprioutomo3387,"pak anis nyerang terus, kurang suka saya"
2024-02-04T15:32:35Z,@OppoA-my3cd,Harga sembako harga pokok turunkan kasihan yg gk mampu&quot;pak jangan jaji&quot; dong
2024-02-04T15:04:03Z,@kartikarika5759,Hans 2
